book	chapter	verse	sort	greek	strong	bsb	pnc
1CO	1	1	142597	Παῦλος	G3972	Paul	,
1CO	1	1	142598	κλητὸς	G2822	called [to be]	
1CO	1	1	142599	ἀπόστολος	G652	an apostle	
1CO	1	1	142600	Χριστοῦ	G5547	of Christ	
1CO	1	1	142601	Ἰησοῦ	G2424	Jesus	
1CO	1	1	142602	διὰ	G1223	by	
1CO	1	1	142603	θελήματος	G2307	[the] will	
1CO	1	1	142604	Θεοῦ	G2316	of God	,
1CO	1	1	142605	καὶ	G2532	and	
1CO	1	1	142607	ὁ	G3588	[our]	
1CO	1	1	142608	ἀδελφὸς	G80	brother	
1CO	1	1	142606	Σωσθένης	G4988	Sosthenes	,
1CO	1	2	142619	Τῇ	G3588	To the	
1CO	1	2	142620	ἐκκλησίᾳ	G1577	church	
1CO	1	2	142621	τοῦ	G3588	-	
1CO	1	2	142622	Θεοῦ	G2316	of God	
1CO	1	2	142623	τῇ	G3588	-	
1CO	1	2	142624	οὔσῃ	G1510	-	
1CO	1	2	142625	ἐν	G1722	in	
1CO	1	2	142626	Κορίνθῳ	G2882	Corinth	,
1CO	1	2	142627	ἡγιασμένοις	G37	[to those] sanctified	
1CO	1	2	142628	ἐν	G1722	in	
1CO	1	2	142629	Χριστῷ	G5547	Christ	
1CO	1	2	142630	Ἰησοῦ	G2424	Jesus	
1CO	1	2	142631	κλητοῖς	G2822	[and] called	
1CO	1	2	142632	ἁγίοις	G40	[to be] holy	,
1CO	1	2	142633	σὺν	G4862	together with	
1CO	1	2	142634	πᾶσιν	G3956	all	
1CO	1	2	142635	τοῖς	G3588	those	
1CO	1	2	142644	ἐν	G1722	vvv	
1CO	1	2	142645	παντὶ	G3956	vvv	
1CO	1	2	142646	τόπῳ	G5117	everywhere	
1CO	1	2	142636	ἐπικαλουμένοις	G1941	[who] call on	
1CO	1	2	142637	τὸ	G3588	the	
1CO	1	2	142638	ὄνομα	G3686	name	
1CO	1	2	142641	ἡμῶν	G1473	of our	
1CO	1	2	142639	τοῦ	G3588	-	
1CO	1	2	142640	Κυρίου	G2962	Lord	
1CO	1	2	142642	Ἰησοῦ	G2424	Jesus	
1CO	1	2	142643	Χριστοῦ	G5547	Christ	,
1CO	1	2	142647	αὐτῶν	G846	their [Lord]	
1CO	1	2	142648	καὶ	G2532	and	
1CO	1	2	142649	ἡμῶν	G1473	ours	:
1CO	1	3	142660	Χάρις	G5485	Grace	
1CO	1	3	142662	καὶ	G2532	and	
1CO	1	3	142663	εἰρήνη	G1515	peace	
1CO	1	3	142661	ὑμῖν	G4771	to you	
1CO	1	3	142664	ἀπὸ	G575	from	
1CO	1	3	142665	Θεοῦ	G2316	God	
1CO	1	3	142667	ἡμῶν	G1473	our	
1CO	1	3	142666	Πατρὸς	G3962	Father	
1CO	1	3	142668	καὶ	G2532	and	
1CO	1	3	142669	Κυρίου	G2962	[the] Lord	
1CO	1	3	142670	Ἰησοῦ	G2424	Jesus	
1CO	1	3	142671	Χριστοῦ	G5547	Christ	.
1CO	1	4	142682	Εὐχαριστῶ	G2168	I always thank	
1CO	1	4	142686	πάντοτε	G3842	. . .	
1CO	1	4	142685	μου	G1473	my	
1CO	1	4	142683	τῷ	G3588	-	
1CO	1	4	142684	Θεῷ	G2316	God	
1CO	1	4	142687	περὶ	G4012	for	
1CO	1	4	142688	ὑμῶν	G4771	you	
1CO	1	4	142689	ἐπὶ	G1909	because of	
1CO	1	4	142690	τῇ	G3588	the	
1CO	1	4	142691	χάριτι	G5485	grace	
1CO	1	4	142692	τοῦ	G3588	-	
1CO	1	4	142693	Θεοῦ	G2316	[He]	
1CO	1	4	142694	τῇ	G3588	-	
1CO	1	4	142695	δοθείσῃ	G1325	has given	
1CO	1	4	142696	ὑμῖν	G4771	you	
1CO	1	4	142697	ἐν	G1722	in	
1CO	1	4	142698	Χριστῷ	G5547	Christ	
1CO	1	4	142699	Ἰησοῦ	G2424	Jesus	.
1CO	1	5	142710	ὅτι	G3754	For	
1CO	1	5	142714	ἐν	G1722	in	
1CO	1	5	142715	αὐτῷ	G846	Him	
1CO	1	5	142713	ἐπλουτίσθητε	G4148	you have been enriched	
1CO	1	5	142711	ἐν	G1722	in	
1CO	1	5	142712	παντὶ	G3956	every way	,
1CO	1	5	142716	ἐν	G1722	in	
1CO	1	5	142717	παντὶ	G3956	all	
1CO	1	5	142718	λόγῳ	G3056	speech	
1CO	1	5	142719	καὶ	G2532	and	
1CO	1	5	142720	πάσῃ	G3956	all	
1CO	1	5	142721	γνώσει	G1108	knowledge	,
1CO	1	6	142732	καθὼς	G2531	because	
1CO	1	6	142733	τὸ	G3588	[our]	
1CO	1	6	142734	μαρτύριον	G3142	testimony	
1CO	1	6	142735	τοῦ	G3588	about	
1CO	1	6	142736	Χριστοῦ	G5547	Christ	
1CO	1	6	142737	ἐβεβαιώθη	G950	was confirmed	
1CO	1	6	142738	ἐν	G1722	in	
1CO	1	6	142739	ὑμῖν	G4771	you	.
1CO	1	7	142750	ὥστε	G5620	Therefore	
1CO	1	7	142751	ὑμᾶς	G4771	you	
1CO	1	7	142752	μὴ	G3361	vvv	
1CO	1	7	142753	ὑστερεῖσθαι	G5302	do not lack	
1CO	1	7	142754	ἐν	G1722	. . .	
1CO	1	7	142755	μηδενὶ	G3367	[any]	
1CO	1	7	142756	χαρίσματι	G5486	spiritual gift	
1CO	1	7	142757	ἀπεκδεχομένους	G553	as you eagerly await	
1CO	1	7	142758	τὴν	G3588	the	
1CO	1	7	142759	ἀποκάλυψιν	G602	revelation	
1CO	1	7	142762	ἡμῶν	G1473	of our	
1CO	1	7	142760	τοῦ	G3588	-	
1CO	1	7	142761	Κυρίου	G2962	Lord	
1CO	1	7	142763	Ἰησοῦ	G2424	Jesus	
1CO	1	7	142764	Χριστοῦ	G5547	Christ	.
1CO	1	8	142776	καὶ	G2532	-	
1CO	1	8	142775	ὃς	G3739	[He]	
1CO	1	8	142777	βεβαιώσει	G950	will sustain	
1CO	1	8	142778	ὑμᾶς	G4771	you	
1CO	1	8	142779	ἕως	G2193	to	
1CO	1	8	142780	τέλους	G5056	[the] end	,
1CO	1	8	142781	ἀνεγκλήτους	G410	[so that you will be] blameless	
1CO	1	8	142782	ἐν	G1722	on	
1CO	1	8	142783	τῇ	G3588	the	
1CO	1	8	142784	ἡμέρᾳ	G2250	day	
1CO	1	8	142787	ἡμῶν	G1473	of our	
1CO	1	8	142785	τοῦ	G3588	-	
1CO	1	8	142786	Κυρίου	G2962	Lord	
1CO	1	8	142788	Ἰησοῦ	G2424	Jesus	
1CO	1	8	142789	Χριστοῦ	G5547	Christ	.
1CO	1	9	142801	ὁ	G3588	-	
1CO	1	9	142802	Θεὸς	G2316	God	,
1CO	1	9	142803	δι’	G1223	-	
1CO	1	9	142804	οὗ	G3739	who	
1CO	1	9	142805	ἐκλήθητε	G2564	has called you	
1CO	1	9	142806	εἰς	G1519	into	
1CO	1	9	142807	κοινωνίαν	G2842	fellowship	
1CO	1	9	142810	αὐτοῦ	G846	with His	
1CO	1	9	142808	τοῦ	G3588	-	
1CO	1	9	142809	Υἱοῦ	G5207	Son	
1CO	1	9	142811	Ἰησοῦ	G2424	Jesus	
1CO	1	9	142812	Χριστοῦ	G5547	Christ	
1CO	1	9	142815	ἡμῶν	G1473	our	
1CO	1	9	142813	τοῦ	G3588	-	
1CO	1	9	142814	Κυρίου	G2962	Lord	,
1CO	1	9	142800	πιστὸς	G4103	[is] faithful	.
1CO	1	10	142827	δὲ	G1161	-	
1CO	1	10	142826	Παρακαλῶ	G3870	I appeal	
1CO	1	10	142828	ὑμᾶς	G4771	to you	,
1CO	1	10	142829	ἀδελφοί	G80	brothers	,
1CO	1	10	142830	διὰ	G1223	in	
1CO	1	10	142831	τοῦ	G3588	the	
1CO	1	10	142832	ὀνόματος	G3686	name	
1CO	1	10	142835	ἡμῶν	G1473	of our	
1CO	1	10	142833	τοῦ	G3588	-	
1CO	1	10	142834	Κυρίου	G2962	Lord	
1CO	1	10	142836	Ἰησοῦ	G2424	Jesus	
1CO	1	10	142837	Χριστοῦ	G5547	Christ	,
1CO	1	10	142838	ἵνα	G2443	that	
1CO	1	10	142842	πάντες	G3956	all of	
1CO	1	10	142841	λέγητε	G3004	you agree together	
1CO	1	10	142839	τὸ	G3588	. . .	
1CO	1	10	142840	αὐτὸ	G846	. . .	,
1CO	1	10	142843	καὶ	G2532	[so that]	
1CO	1	10	142845	ᾖ	G1510	there may be	
1CO	1	10	142844	μὴ	G3361	no	
1CO	1	10	142848	σχίσματα	G4978	divisions	
1CO	1	10	142846	ἐν	G1722	among	
1CO	1	10	142847	ὑμῖν	G4771	you	
1CO	1	10	142850	δὲ	G1161	and [that]	
1CO	1	10	142849	ἦτε	G1510	you may be	
1CO	1	10	142851	κατηρτισμένοι	G2675	united	
1CO	1	10	142852	ἐν	G1722	in	
1CO	1	10	142853	τῷ	G3588	-	
1CO	1	10	142854	αὐτῷ	G846	-	
1CO	1	10	142855	νοῒ	G3563	mind	
1CO	1	10	142856	καὶ	G2532	and	
1CO	1	10	142857	ἐν	G1722	-	
1CO	1	10	142858	τῇ	G3588	-	
1CO	1	10	142859	αὐτῇ	G846	-	
1CO	1	10	142860	γνώμῃ	G1106	conviction	.
1CO	1	11	142872	γάρ	G1063	-	
1CO	1	11	142877	μου	G1473	My	
1CO	1	11	142876	ἀδελφοί	G80	brothers	,
1CO	1	11	142878	ὑπὸ	G5259	-	
1CO	1	11	142879	τῶν	G3588	some	
1CO	1	11	142880	Χλόης	G5514	from Chloe’s household	
1CO	1	11	142871	ἐδηλώθη	G1213	have informed	
1CO	1	11	142873	μοι	G1473	me	
1CO	1	11	142874	περὶ	G4012	-	
1CO	1	11	142875	ὑμῶν	G4771	-	
1CO	1	11	142881	ὅτι	G3754	that	
1CO	1	11	142885	εἰσιν	G1510	there are	
1CO	1	11	142882	ἔριδες	G2054	quarrels	
1CO	1	11	142883	ἐν	G1722	among	
1CO	1	11	142884	ὑμῖν	G4771	you	.
1CO	1	12	142897	δὲ	G1161	-	
1CO	1	12	142896	λέγω	G3004	What I mean	
1CO	1	12	142898	τοῦτο	G3778	[is] this	:
1CO	1	12	142899	ὅτι	G3754	-	
1CO	1	12	142900	ἕκαστος	G1538	Individuals	
1CO	1	12	142901	ὑμῶν	G4771	among you	
1CO	1	12	142902	λέγει	G3004	are saying	,
1CO	1	12	142903	Ἐγὼ	G1473	I	
1CO	1	12	142904	μέν	G3303	-	
1CO	1	12	142905	εἰμι	G1510	[follow]	
1CO	1	12	142906	Παύλου	G3972	Paul	,
1CO	1	12	142908	δὲ	G1161	-	
1CO	1	12	142907	Ἐγὼ	G1473	I	
1CO	1	12	142909	Ἀπολλῶ	G625	[follow] Apollos	,
1CO	1	12	142911	δὲ	G1161	-	
1CO	1	12	142910	Ἐγὼ	G1473	I	
1CO	1	12	142912	Κηφᾶ	G2786	[follow] Cephas	,”
1CO	1	12	142914	δὲ	G1161	[or]	
1CO	1	12	142913	Ἐγὼ	G1473	I	
1CO	1	12	142915	Χριστοῦ	G5547	[follow] Christ	.
1CO	1	13	142927	ὁ	G3588	-	
1CO	1	13	142928	Χριστός	G5547	{Is} Christ	
1CO	1	13	142926	Μεμέρισται	G3307	divided	?
1CO	1	13	142930	Παῦλος	G3972	{Was} Paul	
1CO	1	13	142929	μὴ	G3361	vvv	
1CO	1	13	142931	ἐσταυρώθη	G4717	crucified	
1CO	1	13	142932	ὑπὲρ	G5228	for	
1CO	1	13	142933	ὑμῶν	G4771	you	?
1CO	1	13	142934	ἢ	G2228	-	
1CO	1	13	142939	ἐβαπτίσθητε	G907	Were you baptized	
1CO	1	13	142935	εἰς	G1519	into	
1CO	1	13	142936	τὸ	G3588	the	
1CO	1	13	142937	ὄνομα	G3686	name	
1CO	1	13	142938	Παύλου	G3972	of Paul	?
1CO	1	14	142950	εὐχαριστῶ	G2168	I thank	
1CO	1	14	142951	τῷ	G3588	-	
1CO	1	14	142952	θεῷ	G2316	God	
1CO	1	14	142953	ὅτι	G3754	that	
1CO	1	14	142956	ἐβάπτισα	G907	I did not baptize any	
1CO	1	14	142954	οὐδένα	G3762	. . .	
1CO	1	14	142955	ὑμῶν	G4771	of you	
1CO	1	14	142957	εἰ	G1487	except	
1CO	1	14	142958	μὴ	G3361	. . .	
1CO	1	14	142959	Κρίσπον	G2921	Crispus	
1CO	1	14	142960	καὶ	G2532	and	
1CO	1	14	142961	Γάϊον	G1050	Gaius	,
1CO	1	15	142972	ἵνα	G2443	so	
1CO	1	15	142973	μή	G3361	no	
1CO	1	15	142974	τις	G5100	one	
1CO	1	15	142975	εἴπῃ	G2036	can say	
1CO	1	15	142976	ὅτι	G3754	that	
1CO	1	15	142981	ἐβαπτίσθητε	G907	you were baptized	
1CO	1	15	142977	εἰς	G1519	into	
1CO	1	15	142979	ἐμὸν	G1699	my	
1CO	1	15	142978	τὸ	G3588	-	
1CO	1	15	142980	ὄνομα	G3686	name	.
1CO	1	16	142993	δὲ	G1161	Yes	,
1CO	1	16	142994	καὶ	G2532	vvv	
