book	chapter	verse	sort	greek	strong	bsb	pnc
1PE	1	1	194724	Πέτρος	G4074	Peter	,
1PE	1	1	194725	ἀπόστολος	G652	an apostle	
1PE	1	1	194726	Ἰησοῦ	G2424	of Jesus	
1PE	1	1	194727	Χριστοῦ	G5547	Christ	,
1PE	1	1	194728	Ἐκλεκτοῖς	G1588	To [the] elect	
1PE	1	1	194729	παρεπιδήμοις	G3927	who are exiles	
1PE	1	1	194730	Διασπορᾶς	G1290	of [the] Dispersion	
1PE	1	1	194731	Πόντου	G4195	[throughout] Pontus	,
1PE	1	1	194732	Γαλατίας	G1053	Galatia	,
1PE	1	1	194733	Καππαδοκίας	G2587	Cappadocia	,
1PE	1	1	194734	Ἀσίας	G773	Asia	,
1PE	1	1	194735	καὶ	G2532	and	
1PE	1	1	194736	Βιθυνίας	G978	Bithynia, [chosen]	
1PE	1	2	194747	κατὰ	G2596	according to	
1PE	1	2	194748	πρόγνωσιν	G4268	[the] foreknowledge	
1PE	1	2	194749	Θεοῦ	G2316	of God	
1PE	1	2	194750	Πατρός	G3962	[the] Father	
1PE	1	2	194752	ἁγιασμῷ	G38	[and] sanctified	
1PE	1	2	194751	ἐν	G1722	by	
1PE	1	2	194753	Πνεύματος	G4151	[the] Spirit	
1PE	1	2	194754	εἰς	G1519	for	
1PE	1	2	194755	ὑπακοὴν	G5218	obedience	
1PE	1	2	194759	Ἰησοῦ	G2424	to Jesus	
1PE	1	2	194760	Χριστοῦ	G5547	Christ	
1PE	1	2	194756	καὶ	G2532	and	
1PE	1	2	194757	ῥαντισμὸν	G4473	sprinkling	
1PE	1	2	194758	αἵματος	G129	by [His] blood	:
1PE	1	2	194761	Χάρις	G5485	Grace	
1PE	1	2	194763	καὶ	G2532	and	
1PE	1	2	194764	εἰρήνη	G1515	peace	
1PE	1	2	194762	ὑμῖν	G4771	be yours	
1PE	1	2	194765	πληθυνθείη	G4129	in abundance	.
1PE	1	3	194776	Εὐλογητὸς	G2128	Blessed [be]	
1PE	1	3	194777	ὁ	G3588	the	
1PE	1	3	194778	Θεὸς	G2316	God	
