book	chapter	verse	sort	greek	strong	bsb	pnc
1TH	1	1	173751	Παῦλος	G3972	Paul	,
1TH	1	1	173752	καὶ	G2532	-	
1TH	1	1	173753	Σιλουανὸς	G4610	Silvanus	,
1TH	1	1	173754	καὶ	G2532	and	
1TH	1	1	173755	Τιμόθεος	G5095	Timothy	,
1TH	1	1	173756	Τῇ	G3588	To the	
1TH	1	1	173757	ἐκκλησίᾳ	G1577	church	
1TH	1	1	173758	Θεσσαλονικέων	G2331	of the Thessalonians	
1TH	1	1	173759	ἐν	G1722	in	
1TH	1	1	173760	Θεῷ	G2316	God	
1TH	1	1	173761	Πατρὶ	G3962	[the] Father	
1TH	1	1	173762	καὶ	G2532	and	
1TH	1	1	173763	Κυρίῳ	G2962	[the] Lord	
1TH	1	1	173764	Ἰησοῦ	G2424	Jesus	
1TH	1	1	173765	Χριστῷ	G5547	Christ	:
1TH	1	1	173766	Χάρις	G5485	Grace	
1TH	1	1	173768	καὶ	G2532	and	
1TH	1	1	173769	εἰρήνη	G1515	peace	
1TH	1	1	173767	ὑμῖν	G4771	to you	.
1TH	1	2	173780	Εὐχαριστοῦμεν	G2168	We always thank	
1TH	1	2	173783	πάντοτε	G3842	. . .	
1TH	1	2	173781	τῷ	G3588	. . .	
1TH	1	2	173782	Θεῷ	G2316	God	
1TH	1	2	173784	περὶ	G4012	for	
1TH	1	2	173785	πάντων	G3956	all	
1TH	1	2	173786	ὑμῶν	G4771	of you	,
1TH	1	2	173788	ποιούμενοι	G4160	remembering [you]	
1TH	1	2	173787	μνείαν	G3417	. . .	
1TH	1	2	173789	ἐπὶ	G1909	in	
1TH	1	2	173792	ἡμῶν	G1473	our	
1TH	1	2	173790	τῶν	G3588	-	
1TH	1	2	173791	προσευχῶν	G4335	prayers	
1TH	1	3	173803	ἀδιαλείπτως	G89	[and] continually	
1TH	1	3	173804	μνημονεύοντες	G3421	recalling	
1TH	1	3	173825	ἔμπροσθεν	G1715	before	
1TH	1	3	173830	ἡμῶν	G1473	our	
1TH	1	3	173826	τοῦ	G3588	-	
1TH	1	3	173827	Θεοῦ	G2316	God	
1TH	1	3	173828	καὶ	G2532	and	
1TH	1	3	173829	Πατρὸς	G3962	Father	
1TH	1	3	173805	ὑμῶν	G4771	your	
1TH	1	3	173806	τοῦ	G3588	-	
1TH	1	3	173807	ἔργου	G2041	work	
1TH	1	3	173808	τῆς	G3588	-	
1TH	1	3	173809	πίστεως	G4102	of faith	,
1TH	1	3	173810	καὶ	G2532	-	
1TH	1	3	173811	τοῦ	G3588	[your]	
1TH	1	3	173812	κόπου	G2873	labor	
1TH	1	3	173813	τῆς	G3588	-	
1TH	1	3	173814	ἀγάπης	G26	of love	,
1TH	1	3	173815	καὶ	G2532	and	
1TH	1	3	173816	τῆς	G3588	[your]	
1TH	1	3	173817	ὑπομονῆς	G5281	enduring	
1TH	1	3	173818	τῆς	G3588	-	
1TH	1	3	173819	ἐλπίδος	G1680	hope	
1TH	1	3	173820	τοῦ	G3588	in	
1TH	1	3	173822	ἡμῶν	G1473	our	
1TH	1	3	173821	Κυρίου	G2962	Lord	
1TH	1	3	173823	Ἰησοῦ	G2424	Jesus	
1TH	1	3	173824	Χριστοῦ	G5547	Christ	.
1TH	1	4	173842	ἀδελφοὶ	G80	Brothers	
1TH	1	4	173843	ἠγαπημένοι	G25	who are beloved	
1TH	1	4	173844	ὑπὸ	G5259	by	
1TH	1	4	173845	τοῦ	G3588	-	
1TH	1	4	173846	Θεοῦ	G2316	God	,
1TH	1	4	173841	εἰδότες	G1492	we know	
1TH	1	4	173847	τὴν	G3588	-	
1TH	1	4	173848	ἐκλογὴν	G1589	[that] He has chosen	
1TH	1	4	173849	ὑμῶν	G4771	you	,
1TH	1	5	173860	ὅτι	G3754	because	
1TH	1	5	173863	ἡμῶν	G1473	our	
1TH	1	5	173861	τὸ	G3588	-	
1TH	1	5	173862	εὐαγγέλιον	G2098	gospel	
1TH	1	5	173865	ἐγενήθη	G1096	came	
1TH	1	5	173866	εἰς	G1519	to	
1TH	1	5	173867	ὑμᾶς	G4771	you	
1TH	1	5	173864	οὐκ	G3756	not	
1TH	1	5	173870	μόνον	G3440	only	
1TH	1	5	173868	ἐν	G1722	in	
1TH	1	5	173869	λόγῳ	G3056	word	,
1TH	1	5	173871	ἀλλὰ	G235	but	
1TH	1	5	173872	καὶ	G2532	also	
1TH	1	5	173873	ἐν	G1722	in	
1TH	1	5	173874	δυνάμει	G1411	power	,
1TH	1	5	173875	καὶ	G2532	-	
1TH	1	5	173876	ἐν	G1722	in	
1TH	1	5	173878	Ἁγίῳ	G40	[the] Holy	
1TH	1	5	173877	Πνεύματι	G4151	Spirit	,
1TH	1	5	173879	καὶ	G2532	and	
1TH	1	5	173880	ἐν	G1722	with	
1TH	1	5	173882	πολλῇ	G4183	great	
1TH	1	5	173881	πληροφορίᾳ	G4136	conviction	—
1TH	1	5	173883	καθὼς	G2531	just as	
1TH	1	5	173884	οἴδατε	G1492	you know	
1TH	1	5	173885	οἷοι	G3634	-	
1TH	1	5	173886	ἐγενήθημεν	G1096	we lived	
1TH	1	5	173887	ἐν	G1722	among	
1TH	1	5	173888	ὑμῖν	G4771	you	
1TH	1	5	173889	δι’	G1223	for your sake	
1TH	1	5	173890	ὑμᾶς	G4771	. . .	.
1TH	1	6	173901	Καὶ	G2532	And	
1TH	1	6	173902	ὑμεῖς	G4771	you	
1TH	1	6	173905	ἐγενήθητε	G1096	became	
1TH	1	6	173903	μιμηταὶ	G3402	imitators	
1TH	1	6	173904	ἡμῶν	G1473	of us	
1TH	1	6	173906	καὶ	G2532	and	
1TH	1	6	173907	τοῦ	G3588	of the	
1TH	1	6	173908	Κυρίου	G2962	Lord	
1TH	1	6	173909	δεξάμενοι	G1209	when you welcomed	
1TH	1	6	173910	τὸν	G3588	the	
1TH	1	6	173911	λόγον	G3056	message	
1TH	1	6	173915	μετὰ	G3326	with	
1TH	1	6	173916	χαρᾶς	G5479	[the] joy	
1TH	1	6	173918	Ἁγίου	G40	of [the] Holy	
1TH	1	6	173917	Πνεύματος	G4151	Spirit	,
1TH	1	6	173912	ἐν	G1722	in [spite of your]	
1TH	1	6	173914	πολλῇ	G4183	great	
1TH	1	6	173913	θλίψει	G2347	suffering	.
1TH	1	7	173929	ὥστε	G5620	As a result	,
1TH	1	7	173931	ὑμᾶς	G4771	you	
1TH	1	7	173930	γενέσθαι	G1096	have become	
1TH	1	7	173932	τύπον	G5179	an example	
1TH	1	7	173933	πᾶσιν	G3956	to all	
1TH	1	7	173934	τοῖς	G3588	the	
1TH	1	7	173935	πιστεύουσιν	G4100	believers	
1TH	1	7	173936	ἐν	G1722	in	
1TH	1	7	173937	τῇ	G3588	-	
1TH	1	7	173938	Μακεδονίᾳ	G3109	Macedonia	
1TH	1	7	173939	καὶ	G2532	and	
1TH	1	7	173940	ἐν	G1722	-	
1TH	1	7	173941	τῇ	G3588	-	
1TH	1	7	173942	Ἀχαΐᾳ	G882	Achaia	.
1TH	1	8	173955	γὰρ	G1063	For	
1TH	1	8	173961	οὐ	G3756	not	
1TH	1	8	173962	μόνον	G3440	only	
1TH	1	8	173957	ὁ	G3588	{did} the	
1TH	1	8	173958	λόγος	G3056	message	
1TH	1	8	173959	τοῦ	G3588	of the	
1TH	1	8	173960	Κυρίου	G2962	Lord	
1TH	1	8	173956	ἐξήχηται	G1837	ring out	
1TH	1	8	173953	ἀφ’	G575	from	
1TH	1	8	173954	ὑμῶν	G4771	you	
1TH	1	8	173963	ἐν	G1722	to	
1TH	1	8	173964	τῇ	G3588	-	
1TH	1	8	173965	Μακεδονίᾳ	G3109	Macedonia	
1TH	1	8	173966	καὶ	G2532	and	
1TH	1	8	173967	ἐν	G1722	-	
1TH	1	8	173968	τῇ	G3588	-	
1TH	1	8	173969	Ἀχαΐᾳ	G882	Achaia	,
1TH	1	8	173970	ἀλλ’	G235	but	
1TH	1	8	173976	ὑμῶν	G4771	your	
1TH	1	8	173974	ἡ	G3588	-	
1TH	1	8	173975	πίστις	G4102	faith	
1TH	1	8	173977	ἡ	G3588	-	
1TH	1	8	173978	πρὸς	G4314	in	
1TH	1	8	173979	τὸν	G3588	-	
1TH	1	8	173980	Θεὸν	G2316	God	
1TH	1	8	173981	ἐξελήλυθεν	G1831	has gone out	
1TH	1	8	173971	ἐν	G1722	to	
1TH	1	8	173972	παντὶ	G3956	every	
1TH	1	8	173973	τόπῳ	G5117	place	,
1TH	1	8	173982	ὥστε	G5620	so that	
1TH	1	8	173986	ἡμᾶς	G1473	we	
1TH	1	8	173985	ἔχειν	G2192	have	
1TH	1	8	173983	μὴ	G3361	no	
1TH	1	8	173984	χρείαν	G5532	need	
1TH	1	8	173987	λαλεῖν	G2980	to say	
1TH	1	8	173988	τι	G5100	anything [more]	.
1TH	1	9	174000	γὰρ	G1063	For	
1TH	1	9	173999	αὐτοὶ	G846	they themselves	
1TH	1	9	174003	ἀπαγγέλλουσιν	G518	report	
1TH	1	9	174001	περὶ	G4012	-	
1TH	1	9	174002	ἡμῶν	G1473	-	
1TH	1	9	174004	ὁποίαν	G3697	what kind	
1TH	1	9	174005	εἴσοδον	G1529	of welcome	
1TH	1	9	174006	ἔσχομεν	G2192	you gave us	
1TH	1	9	174007	πρὸς	G4314	. . .	
1TH	1	9	174008	ὑμᾶς	G4771	. . .	,
1TH	1	9	174009	καὶ	G2532	and	
1TH	1	9	174010	πῶς	G4459	how	
1TH	1	9	174011	ἐπεστρέψατε	G1994	you turned	
1TH	1	9	174012	πρὸς	G4314	to	
1TH	1	9	174013	τὸν	G3588	-	
1TH	1	9	174014	Θεὸν	G2316	God	
1TH	1	9	174015	ἀπὸ	G575	from	
1TH	1	9	174016	τῶν	G3588	-	
1TH	1	9	174017	εἰδώλων	G1497	idols	
1TH	1	9	174018	δουλεύειν	G1398	to serve	
1TH	1	9	174020	ζῶντι	G2198	[the] living	
1TH	1	9	174021	καὶ	G2532	and	
1TH	1	9	174022	ἀληθινῷ	G228	true	
1TH	1	9	174019	Θεῷ	G2316	God	
1TH	1	10	174033	καὶ	G2532	and	
1TH	1	10	174034	ἀναμένειν	G362	to await	
1TH	1	10	174037	αὐτοῦ	G846	His	
1TH	1	10	174035	τὸν	G3588	-	
1TH	1	10	174036	Υἱὸν	G5207	Son	
1TH	1	10	174038	ἐκ	G1537	from	
1TH	1	10	174039	τῶν	G3588	-	
1TH	1	10	174040	οὐρανῶν	G3772	heaven	,
1TH	1	10	174041	ὃν	G3739	whom	
1TH	1	10	174042	ἤγειρεν	G1453	He raised	
1TH	1	10	174043	ἐκ	G1537	from	
1TH	1	10	174044	τῶν	G3588	the	
1TH	1	10	174045	νεκρῶν	G3498	dead	—
1TH	1	10	174046	Ἰησοῦν	G2424	Jesus	
1TH	1	10	174049	ἡμᾶς	G1473	our	
1TH	1	10	174047	τὸν	G3588	-	
1TH	1	10	174048	ῥυόμενον	G4506	deliverer	
1TH	1	10	174050	ἐκ	G1537	from	
1TH	1	10	174051	τῆς	G3588	the	
1TH	1	10	174053	τῆς	G3588	-	
1TH	1	10	174054	ἐρχομένης	G2064	coming	
1TH	1	10	174052	ὀργῆς	G3709	wrath	.
1TH	2	1	174066	γὰρ	G1063	-	
1TH	2	1	174065	Αὐτοὶ	G846	You yourselves	
1TH	2	1	174067	οἴδατε	G1492	know	,
1TH	2	1	174068	ἀδελφοί	G80	brothers	,
1TH	2	1	174075	ὅτι	G3754	that	
1TH	2	1	174071	ἡμῶν	G1473	our	
1TH	2	1	174069	τὴν	G3588	-	
1TH	2	1	174070	εἴσοδον	G1529	visit	
1TH	2	1	174072	τὴν	G3588	-	
1TH	2	1	174073	πρὸς	G4314	to	
1TH	2	1	174074	ὑμᾶς	G4771	you	
