book	chapter	verse	sort	greek	strong	bsb	pnc
1TI	1	1	177416	Παῦλος	G3972	Paul	,
1TI	1	1	177417	ἀπόστολος	G652	an apostle	
1TI	1	1	177418	Χριστοῦ	G5547	of Christ	
1TI	1	1	177419	Ἰησοῦ	G2424	Jesus	
1TI	1	1	177420	κατ’	G2596	by	
1TI	1	1	177421	ἐπιταγὴν	G2003	[the] command	
1TI	1	1	177422	Θεοῦ	G2316	of God	
1TI	1	1	177424	ἡμῶν	G1473	our	
1TI	1	1	177423	Σωτῆρος	G4990	Savior	
1TI	1	1	177425	καὶ	G2532	and	
1TI	1	1	177426	Χριστοῦ	G5547	of Christ	
1TI	1	1	177427	Ἰησοῦ	G2424	Jesus	
1TI	1	1	177430	ἡμῶν	G1473	our	
1TI	1	1	177428	τῆς	G3588	-	
1TI	1	1	177429	ἐλπίδος	G1680	hope	,
1TI	1	2	177441	Τιμοθέῳ	G5095	To Timothy	,
1TI	1	2	177442	γνησίῳ	G1103	[my] true	
1TI	1	2	177443	τέκνῳ	G5043	child	
1TI	1	2	177444	ἐν	G1722	in	
1TI	1	2	177445	πίστει	G4102	[the] faith	:
1TI	1	2	177446	Χάρις	G5485	Grace	,
1TI	1	2	177447	ἔλεος	G1656	mercy	,
1TI	1	2	177448	εἰρήνη	G1515	[and] peace	
1TI	1	2	177449	ἀπὸ	G575	from	
1TI	1	2	177450	Θεοῦ	G2316	God	
1TI	1	2	177451	πατρὸς	G3962	[the] Father	
1TI	1	2	177452	καὶ	G2532	and	
1TI	1	2	177453	Χριστοῦ	G5547	Christ	
1TI	1	2	177454	Ἰησοῦ	G2424	Jesus	
1TI	1	2	177457	ἡμῶν	G1473	our	
1TI	1	2	177455	τοῦ	G3588	-	
1TI	1	2	177456	κυρίου	G2962	Lord	.
1TI	1	3	177468	Καθὼς	G2531	As	
1TI	1	3	177469	παρεκάλεσά	G3870	I urged	
1TI	1	3	177470	σε	G4771	you	
1TI	1	3	177474	πορευόμενος	G4198	on my departure	
1TI	1	3	177475	εἰς	G1519	to	
1TI	1	3	177476	Μακεδονίαν	G3109	Macedonia	,
1TI	1	3	177471	προσμεῖναι	G4357	you should stay on	
1TI	1	3	177472	ἐν	G1722	at	
1TI	1	3	177473	Ἐφέσῳ	G2181	Ephesus	
1TI	1	3	177477	ἵνα	G2443	to	
1TI	1	3	177478	παραγγείλῃς	G3853	instruct	
