book	chapter	verse	sort	greek	strong	bsb	pnc
2JN	1	1	202362	Ὁ	G3588	The	
2JN	1	1	202363	πρεσβύτερος	G4245	elder	,
2JN	1	1	202364	Ἐκλεκτῇ	G1588	To [the] chosen	
2JN	1	1	202365	κυρίᾳ	G2959	lady	
2JN	1	1	202366	καὶ	G2532	and	
2JN	1	1	202369	αὐτῆς	G846	her	
2JN	1	1	202367	τοῖς	G3588	-	
2JN	1	1	202368	τέκνοις	G5043	children	,
2JN	1	1	202370	οὓς	G3739	whom	
2JN	1	1	202371	ἐγὼ	G1473	I	
2JN	1	1	202372	ἀγαπῶ	G25	love	
2JN	1	1	202373	ἐν	G1722	in	
2JN	1	1	202374	ἀληθείᾳ	G225	[the] truth	—
2JN	1	1	202375	καὶ	G2532	and	
2JN	1	1	202376	οὐκ	G3756	not	
2JN	1	1	202377	ἐγὼ	G1473	I	
2JN	1	1	202378	μόνος	G3441	alone	,
2JN	1	1	202379	ἀλλὰ	G235	but	
2JN	1	1	202380	καὶ	G2532	also	
2JN	1	1	202381	πάντες	G3956	all	
2JN	1	1	202382	οἱ	G3588	who	
2JN	1	1	202383	ἐγνωκότες	G1097	know	
2JN	1	1	202384	τὴν	G3588	the	
2JN	1	1	202385	ἀλήθειαν	G225	truth	—
2JN	1	2	202396	διὰ	G1223	because of	
2JN	1	2	202397	τὴν	G3588	the	
2JN	1	2	202398	ἀλήθειαν	G225	truth	
2JN	1	2	202399	τὴν	G3588	that	
2JN	1	2	202400	μένουσαν	G3306	abides	
2JN	1	2	202401	ἐν	G1722	in	
2JN	1	2	202402	ἡμῖν	G1473	us	
2JN	1	2	202403	καὶ	G2532	and	
2JN	1	2	202406	ἔσται	G1510	will be	
2JN	1	2	202404	μεθ’	G3326	with	
2JN	1	2	202405	ἡμῶν	G1473	us	
2JN	1	2	202407	εἰς	G1519	vvv	
2JN	1	2	202408	τὸν	G3588	vvv	
2JN	1	2	202409	αἰῶνα	G165	forever	:
2JN	1	3	202423	χάρις	G5485	Grace	,
2JN	1	3	202424	ἔλεος	G1656	mercy	,
2JN	1	3	202425	εἰρήνη	G1515	[and] peace	
2JN	1	3	202426	παρὰ	G3844	from	
