book	chapter	verse	sort	greek	strong	bsb	pnc
ACT	1	1	102619	μὲν	G3303	-	
ACT	1	1	102618	Τὸν	G3588	In my	
ACT	1	1	102620	πρῶτον	G4413	first	
ACT	1	1	102621	λόγον	G3056	book	,
ACT	1	1	102625	ὦ	G5599	O	
ACT	1	1	102626	Θεόφιλε	G2321	Theophilus	,
ACT	1	1	102622	ἐποιησάμην	G4160	I wrote	
ACT	1	1	102623	περὶ	G4012	about	
ACT	1	1	102624	πάντων	G3956	all	
ACT	1	1	102627	ὧν	G3739	that	
ACT	1	1	102630	Ἰησοῦς	G2424	Jesus	
ACT	1	1	102629	ὁ	G3588	-	
ACT	1	1	102628	ἤρξατο	G756	began	
ACT	1	1	102632	τε	G5037	-	
ACT	1	1	102631	ποιεῖν	G4160	to do	
ACT	1	1	102633	καὶ	G2532	and	
ACT	1	1	102634	διδάσκειν	G1321	to teach	,
ACT	1	2	102645	ἄχρι	G891	until	
ACT	1	2	102646	ἧς	G3739	the	
ACT	1	2	102647	ἡμέρας	G2250	day	
ACT	1	2	102656	ἀνελήμφθη	G353	He was taken up [to heaven]	,
ACT	1	2	102648	ἐντειλάμενος	G1781	after giving instructions	
ACT	1	2	102651	διὰ	G1223	through	
ACT	1	2	102653	Ἁγίου	G40	[the] Holy	
ACT	1	2	102652	Πνεύματος	G4151	Spirit	
ACT	1	2	102649	τοῖς	G3588	to the	
ACT	1	2	102650	ἀποστόλοις	G652	apostles	
ACT	1	2	102654	οὓς	G3739	-	
ACT	1	2	102655	ἐξελέξατο	G1586	He had chosen	.
ACT	1	3	102672	μετὰ	G3326	After	
ACT	1	3	102675	αὐτὸν	G846	His	
ACT	1	3	102673	τὸ	G3588	-	
ACT	1	3	102674	παθεῖν	G3958	suffering	,
ACT	1	3	102669	παρέστησεν	G3936	He presented	
ACT	1	3	102670	ἑαυτὸν	G1438	Himself	
ACT	1	3	102667	οἷς	G3739	to [them]	
ACT	1	3	102668	καὶ	G2532	-	
ACT	1	3	102676	ἐν	G1722	with	
ACT	1	3	102677	πολλοῖς	G4183	many	
ACT	1	3	102678	τεκμηρίοις	G5039	convincing proofs	
ACT	1	3	102671	ζῶντα	G2198	[that] He was alive	.
ACT	1	3	102682	ὀπτανόμενος	G3700	He appeared	
ACT	1	3	102683	αὐτοῖς	G846	to them	
ACT	1	3	102679	δι’	G1223	over [a span ]	
ACT	1	3	102681	τεσσεράκοντα	G5062	of forty	
ACT	1	3	102680	ἡμερῶν	G2250	days	
ACT	1	3	102684	καὶ	G2532	and	
ACT	1	3	102685	λέγων	G3004	spoke	
ACT	1	3	102686	τὰ	G3588	-	
ACT	1	3	102687	περὶ	G4012	about	
ACT	1	3	102688	τῆς	G3588	the	
ACT	1	3	102689	βασιλείας	G932	kingdom	
ACT	1	3	102690	τοῦ	G3588	-	
ACT	1	3	102691	Θεοῦ	G2316	of God	.
ACT	1	4	102702	Καὶ	G2532	And	
ACT	1	4	102703	συναλιζόμενος	G4871	while they were gathered together	,
ACT	1	4	102704	παρήγγειλεν	G3853	He commanded	
ACT	1	4	102705	αὐτοῖς	G846	them	:
ACT	1	4	102708	μὴ	G3361	vvv	
ACT	1	4	102709	χωρίζεσθαι	G5563	Do not leave	
ACT	1	4	102706	ἀπὸ	G575	. . .	
ACT	1	4	102707	Ἱεροσολύμων	G2414	Jerusalem	,
ACT	1	4	102710	ἀλλὰ	G235	but	
ACT	1	4	102711	περιμένειν	G4037	wait for	
ACT	1	4	102712	τὴν	G3588	the [gift]	
ACT	1	4	102714	τοῦ	G3588	the	
ACT	1	4	102715	Πατρὸς	G3962	Father	
ACT	1	4	102713	ἐπαγγελίαν	G1860	promised	,
ACT	1	4	102716	Ἣν	G3739	which	
ACT	1	4	102717	ἠκούσατέ	G191	you have heard	
ACT	1	4	102718	μου	G1473	Me [ discuss ]	.
ACT	1	5	102729	ὅτι	G3754	For	
ACT	1	5	102731	μὲν	G3303	. . .	
ACT	1	5	102730	Ἰωάννης	G2491	John	
ACT	1	5	102732	ἐβάπτισεν	G907	baptized	
ACT	1	5	102733	ὕδατι	G5204	with water	,
ACT	1	5	102735	δὲ	G1161	but	
ACT	1	5	102740	οὐ	G3756	vvv	
ACT	1	5	102742	πολλὰς	G4183	in a few	
ACT	1	5	102744	ἡμέρας	G2250	days	
ACT	1	5	102741	μετὰ	G3326	-	
ACT	1	5	102743	ταύτας	G3778	-	
ACT	1	5	102734	ὑμεῖς	G4771	you	
ACT	1	5	102738	βαπτισθήσεσθε	G907	will be baptized	
ACT	1	5	102736	ἐν	G1722	with	
ACT	1	5	102739	Ἁγίῳ	G40	[the] Holy	
ACT	1	5	102737	Πνεύματι	G4151	Spirit	.
ACT	1	6	102757	οὖν	G3767	So	
ACT	1	6	102756	μὲν	G3303	-	
ACT	1	6	102755	Οἱ	G3588	[when] they	
ACT	1	6	102758	συνελθόντες	G4905	came together	,
ACT	1	6	102759	ἠρώτων	G2065	they asked	
ACT	1	6	102760	αὐτὸν	G846	Him	
ACT	1	6	102761	λέγοντες	G3004	-	,
ACT	1	6	102762	Κύριε	G2962	Lord	,
ACT	1	6	102764	ἐν	G1722	{will You} at	
ACT	1	6	102767	τούτῳ	G3778	this	
ACT	1	6	102765	τῷ	G3588	-	
ACT	1	6	102766	χρόνῳ	G5550	time	
ACT	1	6	102763	εἰ	G1487	vvv	
ACT	1	6	102768	ἀποκαθιστάνεις	G600	restore	
ACT	1	6	102769	τὴν	G3588	the	
ACT	1	6	102770	βασιλείαν	G932	kingdom	
ACT	1	6	102771	τῷ	G3588	-	
ACT	1	6	102772	Ἰσραήλ	G2474	to Israel	?
ACT	1	7	102784	δὲ	G1161	-	
ACT	1	7	102783	Εἶπεν	G2036	[Jesus] replied	
ACT	1	7	102785	πρὸς	G4314	. . .	
ACT	1	7	102786	αὐτούς	G846	. . .	,
ACT	1	7	102789	ἐστιν	G1510	It is	
ACT	1	7	102787	Οὐχ	G3756	not	
ACT	1	7	102788	ὑμῶν	G4771	for you	
ACT	1	7	102790	γνῶναι	G1097	to know	
ACT	1	7	102791	χρόνους	G5550	times	
ACT	1	7	102792	ἢ	G2228	or	
ACT	1	7	102793	καιροὺς	G2540	seasons	
ACT	1	7	102794	οὓς	G3739	that	
ACT	1	7	102795	ὁ	G3588	the	
ACT	1	7	102796	Πατὴρ	G3962	Father	
ACT	1	7	102797	ἔθετο	G5087	has fixed	
ACT	1	7	102798	ἐν	G1722	by	
ACT	1	7	102800	ἰδίᾳ	G2398	His own	
ACT	1	7	102799	τῇ	G3588	-	
ACT	1	7	102801	ἐξουσίᾳ	G1849	authority	.
ACT	1	8	102812	ἀλλὰ	G235	But	
