book	chapter	verse	sort	greek	strong	bsb	pnc
COL	1	1	171217	Παῦλος	G3972	Paul	,
COL	1	1	171218	ἀπόστολος	G652	an apostle	
COL	1	1	171219	Χριστοῦ	G5547	of Christ	
COL	1	1	171220	Ἰησοῦ	G2424	Jesus	
COL	1	1	171221	διὰ	G1223	by	
COL	1	1	171222	θελήματος	G2307	[the] will	
COL	1	1	171223	Θεοῦ	G2316	of God	,
COL	1	1	171224	καὶ	G2532	and	
COL	1	1	171225	Τιμόθεος	G5095	Timothy	
COL	1	1	171226	ὁ	G3588	[our]	
COL	1	1	171227	ἀδελφὸς	G80	brother	,
COL	1	2	171238	Τοῖς	G3588	To the	
COL	1	2	171241	ἁγίοις	G40	saints	
COL	1	2	171242	καὶ	G2532	and	
COL	1	2	171243	πιστοῖς	G4103	faithful	
COL	1	2	171244	ἀδελφοῖς	G80	brothers	
COL	1	2	171245	ἐν	G1722	in	
COL	1	2	171246	Χριστῷ	G5547	Christ	
COL	1	2	171239	ἐν	G1722	at	
COL	1	2	171240	Κολοσσαῖς	G2857	Colossae	:
COL	1	2	171247	Χάρις	G5485	Grace	
COL	1	2	171249	καὶ	G2532	and	
COL	1	2	171250	εἰρήνη	G1515	peace	
COL	1	2	171248	ὑμῖν	G4771	to you	
COL	1	2	171251	ἀπὸ	G575	from	
COL	1	2	171252	Θεοῦ	G2316	God	
COL	1	2	171254	ἡμῶν	G1473	our	
COL	1	2	171253	Πατρὸς	G3962	Father	.
COL	1	3	171265	Εὐχαριστοῦμεν	G2168	We always thank	
COL	1	3	171274	πάντοτε	G3842	. . .	
COL	1	3	171266	τῷ	G3588	-	
COL	1	3	171267	Θεῷ	G2316	God	,
COL	1	3	171268	Πατρὶ	G3962	[the] Father	
COL	1	3	171271	ἡμῶν	G1473	of our	
COL	1	3	171269	τοῦ	G3588	-	
COL	1	3	171270	Κυρίου	G2962	Lord	
COL	1	3	171272	Ἰησοῦ	G2424	Jesus	
COL	1	3	171273	Χριστοῦ	G5547	Christ	,
COL	1	3	171277	προσευχόμενοι	G4336	when we pray	
COL	1	3	171275	περὶ	G4012	for	
COL	1	3	171276	ὑμῶν	G4771	you	,
COL	1	4	171288	ἀκούσαντες	G191	because we have heard about	
COL	1	4	171291	ὑμῶν	G4771	your	
COL	1	4	171289	τὴν	G3588	-	
COL	1	4	171290	πίστιν	G4102	faith	
COL	1	4	171292	ἐν	G1722	in	
COL	1	4	171293	Χριστῷ	G5547	Christ	
COL	1	4	171294	Ἰησοῦ	G2424	Jesus	
COL	1	4	171295	καὶ	G2532	and	
COL	1	4	171298	ἣν	G3739	vvv	
COL	1	4	171299	ἔχετε	G2192	your	
COL	1	4	171296	τὴν	G3588	-	
COL	1	4	171297	ἀγάπην	G26	love	
COL	1	4	171300	εἰς	G1519	for	
COL	1	4	171301	πάντας	G3956	all	
COL	1	4	171302	τοὺς	G3588	the	
COL	1	4	171303	ἁγίους	G40	saints	—
COL	1	5	171314	διὰ	G1223	[the faith and love] proceeding from	
COL	1	5	171315	τὴν	G3588	the	
COL	1	5	171316	ἐλπίδα	G1680	hope	
COL	1	5	171317	τὴν	G3588	-	
COL	1	5	171318	ἀποκειμένην	G606	stored up	
COL	1	5	171319	ὑμῖν	G4771	for you	
COL	1	5	171320	ἐν	G1722	in	
COL	1	5	171321	τοῖς	G3588	-	
COL	1	5	171322	οὐρανοῖς	G3772	heaven	,
COL	1	5	171323	ἣν	G3739	of which	
COL	1	5	171324	προηκούσατε	G4257	you have already heard	
COL	1	5	171325	ἐν	G1722	in	
COL	1	5	171326	τῷ	G3588	the	
COL	1	5	171327	λόγῳ	G3056	word	
COL	1	5	171328	τῆς	G3588	-	
COL	1	5	171329	ἀληθείας	G225	of truth	,
COL	1	5	171330	τοῦ	G3588	the	
COL	1	5	171331	εὐαγγελίου	G2098	gospel	
COL	1	6	171342	τοῦ	G3588	that	
COL	1	6	171343	παρόντος	G3918	has come	
COL	1	6	171344	εἰς	G1519	to	
COL	1	6	171345	ὑμᾶς	G4771	you	.
COL	1	6	171346	καθὼς	G2531	-	
COL	1	6	171347	καὶ	G2532	-	
COL	1	6	171349	παντὶ	G3956	All	
COL	1	6	171348	ἐν	G1722	over	
COL	1	6	171350	τῷ	G3588	the	
COL	1	6	171351	κόσμῳ	G2889	world	
COL	1	6	171352	ἐστὶν	G1510	[this gospel] is	
COL	1	6	171353	καρποφορούμενον	G2592	bearing fruit	
COL	1	6	171354	καὶ	G2532	and	
COL	1	6	171355	αὐξανόμενον	G837	growing	,
COL	1	6	171356	καθὼς	G2531	just as	
COL	1	6	171357	καὶ	G2532	[it has been doing]	
COL	1	6	171358	ἐν	G1722	among	
COL	1	6	171359	ὑμῖν	G4771	you	
COL	1	6	171360	ἀφ’	G575	since	
COL	1	6	171361	ἧς	G3739	the	
COL	1	6	171362	ἡμέρας	G2250	day	
COL	1	6	171363	ἠκούσατε	G191	you heard [it]	
COL	1	6	171364	καὶ	G2532	and	
COL	1	6	171370	ἐν	G1722	vvv	
COL	1	6	171371	ἀληθείᾳ	G225	truly	
COL	1	6	171365	ἐπέγνωτε	G1921	understood	
