book	chapter	verse	sort	greek	strong	bsb	pnc
EPH	1	1	164573	Παῦλος	G3972	Paul	,
EPH	1	1	164574	ἀπόστολος	G652	an apostle	
EPH	1	1	164575	Χριστοῦ	G5547	of Christ	
EPH	1	1	164576	Ἰησοῦ	G2424	Jesus	
EPH	1	1	164577	διὰ	G1223	by	
EPH	1	1	164578	θελήματος	G2307	[the] will	
EPH	1	1	164579	Θεοῦ	G2316	of God	,
EPH	1	1	164580	Τοῖς	G3588	To the	
EPH	1	1	164581	ἁγίοις	G40	saints	
EPH	1	1	164582	τοῖς	G3588	-	
EPH	1	1	164583	οὖσιν	G1510	-	
EPH	1	1	164584	ἐν	G1722	in	
EPH	1	1	164585	Ἐφέσῳ	G2181	Ephesus	,
EPH	1	1	164586	καὶ	G2532	-	
EPH	1	1	164587	πιστοῖς	G4103	[the] faithful	
EPH	1	1	164588	ἐν	G1722	in	
EPH	1	1	164589	Χριστῷ	G5547	Christ	
EPH	1	1	164590	Ἰησοῦ	G2424	Jesus	:
EPH	1	2	164601	Χάρις	G5485	Grace	
EPH	1	2	164603	καὶ	G2532	and	
EPH	1	2	164604	εἰρήνη	G1515	peace	
EPH	1	2	164602	ὑμῖν	G4771	to you	
EPH	1	2	164605	ἀπὸ	G575	from	
EPH	1	2	164606	Θεοῦ	G2316	God	
EPH	1	2	164608	ἡμῶν	G1473	our	
EPH	1	2	164607	Πατρὸς	G3962	Father	
EPH	1	2	164609	καὶ	G2532	and	
EPH	1	2	164610	Κυρίου	G2962	[the] Lord	
EPH	1	2	164611	Ἰησοῦ	G2424	Jesus	
EPH	1	2	164612	Χριστοῦ	G5547	Christ	.
EPH	1	3	164623	Εὐλογητὸς	G2128	Blessed [be]	
EPH	1	3	164624	ὁ	G3588	the	
EPH	1	3	164625	Θεὸς	G2316	God	
EPH	1	3	164626	καὶ	G2532	and	
EPH	1	3	164627	Πατὴρ	G3962	Father	
EPH	1	3	164630	ἡμῶν	G1473	of our	
EPH	1	3	164628	τοῦ	G3588	-	
EPH	1	3	164629	Κυρίου	G2962	Lord	
EPH	1	3	164631	Ἰησοῦ	G2424	Jesus	
EPH	1	3	164632	Χριστοῦ	G5547	Christ	,
EPH	1	3	164633	ὁ	G3588	who	
EPH	1	3	164634	εὐλογήσας	G2127	has blessed	
EPH	1	3	164635	ἡμᾶς	G1473	us	
EPH	1	3	164643	ἐν	G1722	in	
EPH	1	3	164644	Χριστῷ	G5547	Christ	
EPH	1	3	164636	ἐν	G1722	with	
EPH	1	3	164637	πάσῃ	G3956	every	
EPH	1	3	164639	πνευματικῇ	G4152	spiritual	
EPH	1	3	164638	εὐλογίᾳ	G2129	blessing	
EPH	1	3	164640	ἐν	G1722	in	
EPH	1	3	164641	τοῖς	G3588	the	
EPH	1	3	164642	ἐπουρανίοις	G2032	heavenly realms	.
EPH	1	4	164655	καθὼς	G2531	For	
EPH	1	4	164656	ἐξελέξατο	G1586	He chose	
EPH	1	4	164657	ἡμᾶς	G1473	us	
EPH	1	4	164658	ἐν	G1722	in	
EPH	1	4	164659	αὐτῷ	G846	Him	
EPH	1	4	164660	πρὸ	G4253	before	
EPH	1	4	164661	καταβολῆς	G2602	[the] foundation	
EPH	1	4	164662	κόσμου	G2889	of [the] world	
EPH	1	4	164664	ἡμᾶς	G1473	-	
EPH	1	4	164663	εἶναι	G1510	to be	
EPH	1	4	164665	ἁγίους	G40	holy	
EPH	1	4	164666	καὶ	G2532	and	
EPH	1	4	164667	ἀμώμους	G299	blameless	
EPH	1	4	164668	κατενώπιον	G2714	in His presence	
EPH	1	4	164669	αὐτοῦ	G846	. . .	.
EPH	1	4	164670	ἐν	G1722	In	
EPH	1	4	164671	ἀγάπῃ	G26	love	
EPH	1	5	164682	προορίσας	G4309	He predestined	
EPH	1	5	164683	ἡμᾶς	G1473	us	
EPH	1	5	164684	εἰς	G1519	for	
EPH	1	5	164685	υἱοθεσίαν	G5206	adoption as His sons	
EPH	1	5	164689	εἰς	G1519	. . .	
EPH	1	5	164690	αὐτόν	G846	. . .	
EPH	1	5	164686	διὰ	G1223	through	
EPH	1	5	164687	Ἰησοῦ	G2424	Jesus	
EPH	1	5	164688	Χριστοῦ	G5547	Christ	,
EPH	1	5	164691	κατὰ	G2596	according to	
EPH	1	5	164692	τὴν	G3588	the	
EPH	1	5	164693	εὐδοκίαν	G2107	good pleasure	
EPH	1	5	164694	τοῦ	G3588	of	
EPH	1	5	164696	αὐτοῦ	G846	His	
EPH	1	5	164695	θελήματος	G2307	will	,
EPH	1	6	164707	εἰς	G1519	to	
EPH	1	6	164708	ἔπαινον	G1868	[the] praise	
EPH	1	6	164710	τῆς	G3588	of	
EPH	1	6	164712	αὐτοῦ	G846	His	
EPH	1	6	164709	δόξης	G1391	glorious	
EPH	1	6	164711	χάριτος	G5485	grace	,
EPH	1	6	164713	ἧς	G3739	which	
EPH	1	6	164714	ἐχαρίτωσεν	G5487	He has freely given	
EPH	1	6	164715	ἡμᾶς	G1473	us	
EPH	1	6	164716	ἐν	G1722	in	
EPH	1	6	164717	τῷ	G3588	the	
EPH	1	6	164718	Ἠγαπημένῳ	G25	Beloved [One]	.
EPH	1	7	164729	ἐν	G1722	In	
EPH	1	7	164730	ᾧ	G3739	[Him]	
EPH	1	7	164731	ἔχομεν	G2192	we have	
EPH	1	7	164732	τὴν	G3588	-	
EPH	1	7	164733	ἀπολύτρωσιν	G629	redemption	
EPH	1	7	164734	διὰ	G1223	through	
EPH	1	7	164737	αὐτοῦ	G846	His	
EPH	1	7	164735	τοῦ	G3588	-	
EPH	1	7	164736	αἵματος	G129	blood	,
EPH	1	7	164738	τὴν	G3588	the	
EPH	1	7	164739	ἄφεσιν	G859	forgiveness	
EPH	1	7	164740	τῶν	G3588	of our	
EPH	1	7	164741	παραπτωμάτων	G3900	trespasses	,
EPH	1	7	164742	κατὰ	G2596	according to	
EPH	1	7	164743	τὸ	G3588	the	
EPH	1	7	164744	πλοῦτος	G4149	riches	
EPH	1	7	164745	τῆς	G3588	of	
EPH	1	7	164747	αὐτοῦ	G846	His	
EPH	1	7	164746	χάριτος	G5485	grace	
EPH	1	8	164758	ἧς	G3739	that	
EPH	1	8	164759	ἐπερίσσευσεν	G4052	He lavished	
EPH	1	8	164760	εἰς	G1519	on	
EPH	1	8	164761	ἡμᾶς	G1473	us	
EPH	1	8	164762	ἐν	G1722	with	
EPH	1	8	164763	πάσῃ	G3956	all	
EPH	1	8	164764	σοφίᾳ	G4678	wisdom	
EPH	1	8	164765	καὶ	G2532	and	
EPH	1	8	164766	φρονήσει	G5428	understanding	.
EPH	1	9	164777	γνωρίσας	G1107	[And] He has made known	
EPH	1	9	164778	ἡμῖν	G1473	to us	
EPH	1	9	164779	τὸ	G3588	the	
EPH	1	9	164780	μυστήριον	G3466	mystery	
EPH	1	9	164783	αὐτοῦ	G846	of His	
EPH	1	9	164781	τοῦ	G3588	-	
EPH	1	9	164782	θελήματος	G2307	will	
EPH	1	9	164784	κατὰ	G2596	according to	
EPH	1	9	164787	αὐτοῦ	G846	His	
EPH	1	9	164785	τὴν	G3588	-	
EPH	1	9	164786	εὐδοκίαν	G2107	good pleasure	,
EPH	1	9	164788	ἣν	G3739	which	
EPH	1	9	164789	προέθετο	G4388	He purposed	
EPH	1	9	164790	ἐν	G1722	in	
EPH	1	9	164791	αὐτῷ	G846	[Christ]	
EPH	1	10	164802	εἰς	G1519	as	
EPH	1	10	164803	οἰκονομίαν	G3622	a plan	
EPH	1	10	164804	τοῦ	G3588	for the	
EPH	1	10	164805	πληρώματος	G4138	fullness	
EPH	1	10	164806	τῶν	G3588	of	
EPH	1	10	164807	καιρῶν	G2540	time	,
EPH	1	10	164808	ἀνακεφαλαιώσασθαι	G346	to bring	
EPH	1	10	164810	πάντα	G3956	all things	
EPH	1	10	164814	τὰ	G3588	-	
EPH	1	10	164815	ἐπὶ	G1909	in	
EPH	1	10	164816	τοῖς	G3588	-	
EPH	1	10	164817	οὐρανοῖς	G3772	heaven	
EPH	1	10	164818	καὶ	G2532	and	
EPH	1	10	164819	τὰ	G3588	-	
EPH	1	10	164820	ἐπὶ	G1909	on	
EPH	1	10	164821	τῆς	G3588	-	
EPH	1	10	164822	γῆς	G1093	earth	
EPH	1	10	164811	ἐν	G1722	{together} in	
