book	chapter	verse	sort	greek	strong	bsb	pnc
GAL	1	1	160852	Παῦλος	G3972	Paul	,
GAL	1	1	160853	ἀπόστολος	G652	an apostle	—
GAL	1	1	160854	οὐκ	G3756	[sent] not	
GAL	1	1	160855	ἀπ’	G575	from	
GAL	1	1	160856	ἀνθρώπων	G444	men	
GAL	1	1	160857	οὐδὲ	G3761	nor	
GAL	1	1	160858	δι’	G1223	by	
GAL	1	1	160859	ἀνθρώπου	G444	man	,
GAL	1	1	160860	ἀλλὰ	G235	but	
GAL	1	1	160861	διὰ	G1223	by	
GAL	1	1	160862	Ἰησοῦ	G2424	Jesus	
GAL	1	1	160863	Χριστοῦ	G5547	Christ	
GAL	1	1	160864	καὶ	G2532	and	
GAL	1	1	160865	Θεοῦ	G2316	God	
GAL	1	1	160866	Πατρὸς	G3962	[the] Father	,
GAL	1	1	160867	τοῦ	G3588	who	
GAL	1	1	160868	ἐγείραντος	G1453	raised	
GAL	1	1	160869	αὐτὸν	G846	Him	
GAL	1	1	160870	ἐκ	G1537	from	
GAL	1	1	160871	νεκρῶν	G3498	[the] dead	—
GAL	1	2	160882	καὶ	G2532	and	
GAL	1	2	160886	πάντες	G3956	all	
GAL	1	2	160883	οἱ	G3588	the	
GAL	1	2	160887	ἀδελφοί	G80	brothers	
GAL	1	2	160884	σὺν	G4862	with	
GAL	1	2	160885	ἐμοὶ	G1473	me	,
GAL	1	2	160888	Ταῖς	G3588	To the	
GAL	1	2	160889	ἐκκλησίαις	G1577	churches	
GAL	1	2	160890	τῆς	G3588	-	
GAL	1	2	160891	Γαλατίας	G1053	of Galatia	:
GAL	1	3	160902	Χάρις	G5485	Grace	
GAL	1	3	160904	καὶ	G2532	and	
GAL	1	3	160905	εἰρήνη	G1515	peace	
GAL	1	3	160903	ὑμῖν	G4771	to you	
GAL	1	3	160906	ἀπὸ	G575	from	
GAL	1	3	160907	Θεοῦ	G2316	God	
GAL	1	3	160909	ἡμῶν	G1473	our	
GAL	1	3	160908	Πατρὸς	G3962	Father	
GAL	1	3	160910	καὶ	G2532	and	
GAL	1	3	160911	Κυρίου	G2962	the Lord	
GAL	1	3	160912	Ἰησοῦ	G2424	Jesus	
GAL	1	3	160913	Χριστοῦ	G5547	Christ	,
GAL	1	4	160924	τοῦ	G3588	who	
GAL	1	4	160925	δόντος	G1325	gave	
GAL	1	4	160926	ἑαυτὸν	G1438	Himself	
GAL	1	4	160927	ὑπὲρ	G5228	for	
GAL	1	4	160930	ἡμῶν	G1473	our	
GAL	1	4	160928	τῶν	G3588	-	
GAL	1	4	160929	ἁμαρτιῶν	G266	sins	
GAL	1	4	160931	ὅπως	G3704	to	
GAL	1	4	160932	ἐξέληται	G1807	rescue	
GAL	1	4	160933	ἡμᾶς	G1473	us	
GAL	1	4	160934	ἐκ	G1537	from	
GAL	1	4	160935	τοῦ	G3588	the	
GAL	1	4	160938	ἐνεστῶτος	G1764	present	
