book	chapter	verse	sort	greek	strong	bsb	pnc
HEB	1	1	183914	πάλαι	G3819	{On many} past	
HEB	1	1	183911	Πολυμερῶς	G4181	occasions	
HEB	1	1	183912	καὶ	G2532	and	
HEB	1	1	183913	πολυτρόπως	G4187	in many different ways	,
HEB	1	1	183915	ὁ	G3588	-	
HEB	1	1	183916	Θεὸς	G2316	God	
HEB	1	1	183917	λαλήσας	G2980	spoke	
HEB	1	1	183918	τοῖς	G3588	to [our]	
HEB	1	1	183919	πατράσιν	G3962	fathers	
HEB	1	1	183920	ἐν	G1722	through	
HEB	1	1	183921	τοῖς	G3588	the	
HEB	1	1	183922	προφήταις	G4396	prophets	.
HEB	1	2	183933	ἐπ’	G1909	But in	
HEB	1	2	183937	τούτων	G3778	these	
HEB	1	2	183934	ἐσχάτου	G2078	last	
HEB	1	2	183935	τῶν	G3588	-	
HEB	1	2	183936	ἡμερῶν	G2250	days	
HEB	1	2	183938	ἐλάλησεν	G2980	He has spoken	
HEB	1	2	183939	ἡμῖν	G1473	to us	
HEB	1	2	183940	ἐν	G1722	by	
HEB	1	2	183941	Υἱῷ	G5207	[His] Son	,
HEB	1	2	183942	ὃν	G3739	whom	
HEB	1	2	183943	ἔθηκεν	G5087	He appointed	
HEB	1	2	183944	κληρονόμον	G2818	heir	
HEB	1	2	183945	πάντων	G3956	of all things	,
HEB	1	2	183948	καὶ	G2532	and	
HEB	1	2	183946	δι’	G1223	through	
HEB	1	2	183947	οὗ	G3739	whom	
HEB	1	2	183949	ἐποίησεν	G4160	He made	
HEB	1	2	183950	τοὺς	G3588	the	
HEB	1	2	183951	αἰῶνας	G165	universe	.
HEB	1	3	183962	ὃς	G3739	[The Son]	
HEB	1	3	183963	ὢν	G1510	is	
HEB	1	3	183964	ἀπαύγασμα	G541	[the] radiance	
HEB	1	3	183965	τῆς	G3588	of [God’s]	
HEB	1	3	183966	δόξης	G1391	glory	
HEB	1	3	183967	καὶ	G2532	and	
HEB	1	3	183968	χαρακτὴρ	G5481	[the] exact representation	
HEB	1	3	183969	τῆς	G3588	of	
HEB	1	3	183971	αὐτοῦ	G846	His	
HEB	1	3	183970	ὑποστάσεως	G5287	nature	,
HEB	1	3	183973	τε	G5037	-	
HEB	1	3	183972	φέρων	G5342	upholding	
HEB	1	3	183974	τὰ	G3588	-	
HEB	1	3	183975	πάντα	G3956	all things	
HEB	1	3	183976	τῷ	G3588	by	
HEB	1	3	183978	τῆς	G3588	vvv	
HEB	1	3	183981	αὐτοῦ	G846	His	
HEB	1	3	183979	δυνάμεως	G1411	powerful	
HEB	1	3	183977	ῥήματι	G4487	word	.
HEB	1	3	183980	δι’	G1223	[After]	
HEB	1	3	183985	ποιησάμενος	G4160	He had provided	
HEB	1	3	183982	καθαρισμὸν	G2512	purification	
HEB	1	3	183983	τῶν	G3588	-	
HEB	1	3	183984	ἁμαρτιῶν	G266	for sins	,
HEB	1	3	183986	ἐκάθισεν	G2523	He sat down	
HEB	1	3	183987	ἐν	G1722	at	
HEB	1	3	183988	δεξιᾷ	G1188	[the] right hand	
HEB	1	3	183989	τῆς	G3588	of the	
HEB	1	3	183990	Μεγαλωσύνης	G3172	Majesty	
HEB	1	3	183991	ἐν	G1722	on	
HEB	1	3	183992	ὑψηλοῖς	G5308	high	.
HEB	1	4	184005	γενόμενος	G1096	[So] He became	
HEB	1	4	184003	τοσούτῳ	G5118	as far	
HEB	1	4	184004	κρείττων	G2909	superior	
HEB	1	4	184006	τῶν	G3588	to the	
HEB	1	4	184007	ἀγγέλων	G32	angels	
HEB	1	4	184008	ὅσῳ	G3745	as	
HEB	1	4	184013	ὄνομα	G3686	[the] name	
HEB	1	4	184012	κεκληρονόμηκεν	G2816	He has inherited	
HEB	1	4	184009	διαφορώτερον	G1313	[is] excellent	
HEB	1	4	184010	παρ’	G3844	beyond	
HEB	1	4	184011	αὐτοὺς	G846	theirs	.
HEB	1	5	184025	γὰρ	G1063	For	
HEB	1	5	184024	Τίνι	G5101	to which	
HEB	1	5	184028	τῶν	G3588	of the	
HEB	1	5	184029	ἀγγέλων	G32	angels	
HEB	1	5	184027	ποτε	G4218	vvv	
HEB	1	5	184026	εἶπέν	G2036	did [God] ever say	:
HEB	1	5	184033	σύ	G4771	You	
HEB	1	5	184032	εἶ	G1510	are	
HEB	1	5	184031	μου	G1473	My	
HEB	1	5	184030	Υἱός	G5207	Son	;
HEB	1	5	184035	σήμερον	G4594	today	
HEB	1	5	184034	ἐγὼ	G1473	I	
HEB	1	5	184036	γεγέννηκά	G1080	have become Your Father	
HEB	1	5	184037	σε	G4771	. . .	”
HEB	1	5	184038	Καὶ	G2532	[Or]	
HEB	1	5	184039	πάλιν	G3825	again	:
HEB	1	5	184040	Ἐγὼ	G1473	I	
HEB	1	5	184041	ἔσομαι	G1510	will be	
HEB	1	5	184042	αὐτῷ	G846	His	
HEB	1	5	184043	εἰς	G1519	-	
HEB	1	5	184044	Πατέρα	G3962	Father	,
HEB	1	5	184045	καὶ	G2532	and	
HEB	1	5	184046	αὐτὸς	G846	He	
HEB	1	5	184047	ἔσται	G1510	will be	
HEB	1	5	184048	μοι	G1473	My	
HEB	1	5	184049	εἰς	G1519	-	
HEB	1	5	184050	Υἱόν	G5207	Son	”
HEB	1	6	184062	δὲ	G1161	And	
HEB	1	6	184063	πάλιν	G3825	again	,
HEB	1	6	184061	Ὅταν	G3752	when	
HEB	1	6	184064	εἰσαγάγῃ	G1521	[God] brings	
HEB	1	6	184065	τὸν	G3588	[His]	
HEB	1	6	184066	πρωτότοκον	G4416	firstborn	
HEB	1	6	184067	εἰς	G1519	into	
HEB	1	6	184068	τὴν	G3588	the	
HEB	1	6	184069	οἰκουμένην	G3625	world	,
HEB	1	6	184070	λέγει	G3004	He says	:
HEB	1	6	184071	Καὶ	G2532	-	
HEB	1	6	184074	πάντες	G3956	{Let} all	
HEB	1	6	184076	Θεοῦ	G2316	God’s	
HEB	1	6	184075	ἄγγελοι	G32	angels	
HEB	1	6	184072	προσκυνησάτωσαν	G4352	worship	
HEB	1	6	184073	αὐτῷ	G846	Him	.”
HEB	1	7	184087	Καὶ	G2532	Now	
HEB	1	7	184089	μὲν	G3303	. . .	
HEB	1	7	184088	πρὸς	G4314	about	
HEB	1	7	184090	τοὺς	G3588	the	
HEB	1	7	184091	ἀγγέλους	G32	angels	
HEB	1	7	184092	λέγει	G3004	He says	:
HEB	1	7	184093	Ὁ	G3588	He	
HEB	1	7	184094	ποιῶν	G4160	makes	
HEB	1	7	184097	αὐτοῦ	G846	His	
HEB	1	7	184095	τοὺς	G3588	-	
HEB	1	7	184096	ἀγγέλους	G32	angels	
HEB	1	7	184098	πνεύματα	G4151	winds	,
HEB	1	7	184099	καὶ	G2532	-	
HEB	1	7	184102	αὐτοῦ	G846	His	
HEB	1	7	184100	τοὺς	G3588	-	
HEB	1	7	184101	λειτουργοὺς	G3011	servants	
HEB	1	7	184104	φλόγα	G5395	flames	
HEB	1	7	184103	πυρὸς	G4442	of fire	.”
HEB	1	8	184116	δὲ	G1161	But	
HEB	1	8	184115	Πρὸς	G4314	about	
HEB	1	8	184117	τὸν	G3588	the	
HEB	1	8	184118	Υἱόν	G5207	Son [He says]	:
HEB	1	8	184121	σου	G4771	Your	
HEB	1	8	184119	Ὁ	G3588	-	
HEB	1	8	184120	θρόνος	G2362	throne	,
HEB	1	8	184122	ὁ	G3588	O	
HEB	1	8	184123	Θεὸς	G2316	God	,
HEB	1	8	184124	εἰς	G1519	[endures] forever	
HEB	1	8	184125	τὸν	G3588	. . .	
HEB	1	8	184126	αἰῶνα	G165	. . .	
HEB	1	8	184127	τοῦ	G3588	vvv	
HEB	1	8	184128	αἰῶνος	G165	and ever	,
HEB	1	8	184129	καὶ	G2532	and	
HEB	1	8	184130	ἡ	G3588	-	
HEB	1	8	184131	ῥάβδος	G4464	-	
HEB	1	8	184132	τῆς	G3588	-	
HEB	1	8	184133	εὐθύτητος	G2118	justice [is]	
HEB	1	8	184134	ῥάβδος	G4464	the scepter	
HEB	1	8	184135	τῆς	G3588	of	
HEB	1	8	184137	σου	G4771	Your	
HEB	1	8	184136	βασιλείας	G932	kingdom	.
HEB	1	9	184148	ἠγάπησας	G25	You have loved	
HEB	1	9	184149	δικαιοσύνην	G1343	righteousness	
HEB	1	9	184150	καὶ	G2532	and	
HEB	1	9	184151	ἐμίσησας	G3404	hated	
HEB	1	9	184152	ἀνομίαν	G458	wickedness	;
HEB	1	9	184153	διὰ	G1223	therefore	
HEB	1	9	184154	τοῦτο	G3778	. . .	
HEB	1	9	184157	ὁ	G3588	-	
HEB	1	9	184158	Θεός	G2316	God	,
HEB	1	9	184161	σου	G4771	Your	
HEB	1	9	184159	ὁ	G3588	-	
HEB	1	9	184160	Θεός	G2316	God	,
HEB	1	9	184155	ἔχρισέν	G5548	has anointed	
HEB	1	9	184156	σε	G4771	You	
HEB	1	9	184164	παρὰ	G3844	above	
HEB	1	9	184167	σου	G4771	Your	
HEB	1	9	184165	τοὺς	G3588	-	
HEB	1	9	184166	μετόχους	G3353	companions	
HEB	1	9	184162	ἔλαιον	G1637	with [the] oil	
HEB	1	9	184163	ἀγαλλιάσεως	G20	of joy	.”
HEB	1	10	184178	Καί	G2532	And	:
HEB	1	10	184180	κατ’	G2596	In	
HEB	1	10	184181	ἀρχάς	G746	[the] beginning	,
HEB	1	10	184182	Κύριε	G2962	O Lord	,
HEB	1	10	184179	Σὺ	G4771	You	
HEB	1	10	184185	ἐθεμελίωσας	G2311	laid the foundations	
HEB	1	10	184183	τὴν	G3588	of the	
HEB	1	10	184184	γῆν	G1093	earth	,
HEB	1	10	184186	καὶ	G2532	and	
HEB	1	10	184192	οἱ	G3588	the	
HEB	1	10	184193	οὐρανοί	G3772	heavens	
HEB	1	10	184191	εἰσιν	G1510	are	
HEB	1	10	184187	ἔργα	G2041	[the] work	
HEB	1	10	184188	τῶν	G3588	of	
