book	chapter	verse	sort	greek	strong	bsb	pnc
JAS	1	1	191901	Ἰάκωβος	G2385	James	,
JAS	1	1	191907	δοῦλος	G1401	a servant	
JAS	1	1	191902	Θεοῦ	G2316	of God	
JAS	1	1	191903	καὶ	G2532	and	
JAS	1	1	191904	Κυρίου	G2962	of [the] Lord	
JAS	1	1	191905	Ἰησοῦ	G2424	Jesus	
JAS	1	1	191906	Χριστοῦ	G5547	Christ	,
JAS	1	1	191908	Ταῖς	G3588	To the	
JAS	1	1	191909	δώδεκα	G1427	twelve	
JAS	1	1	191910	φυλαῖς	G5443	tribes	
JAS	1	1	191911	ταῖς	G3588	-	
JAS	1	1	191912	ἐν	G1722	of	
JAS	1	1	191913	τῇ	G3588	the	
JAS	1	1	191914	Διασπορᾷ	G1290	Dispersion	:
JAS	1	1	191915	Χαίρειν	G5463	Greetings	.
JAS	1	2	191928	ἡγήσασθε	G2233	Consider [it]	
JAS	1	2	191926	Πᾶσαν	G3956	pure	
JAS	1	2	191927	χαρὰν	G5479	joy	,
JAS	1	2	191930	μου	G1473	my	
JAS	1	2	191929	ἀδελφοί	G80	brothers	,
JAS	1	2	191931	ὅταν	G3752	when	
JAS	1	2	191933	περιπέσητε	G4045	you encounter	
JAS	1	2	191932	πειρασμοῖς	G3986	trials	
JAS	1	2	191934	ποικίλοις	G4164	of many kinds	,
JAS	1	3	191945	γινώσκοντες	G1097	because you know	
JAS	1	3	191946	ὅτι	G3754	that	
JAS	1	3	191947	τὸ	G3588	the	
JAS	1	3	191948	δοκίμιον	G1383	testing	
JAS	1	3	191949	ὑμῶν	G4771	of your	
JAS	1	3	191950	τῆς	G3588	-	
JAS	1	3	191951	πίστεως	G4102	faith	
JAS	1	3	191952	κατεργάζεται	G2716	develops	
JAS	1	3	191953	ὑπομονήν	G5281	perseverance	.
JAS	1	4	191965	δὲ	G1161	-	
JAS	1	4	191969	ἐχέτω	G2192	Allow	
JAS	1	4	191964	ἡ	G3588	-	
JAS	1	4	191966	ὑπομονὴ	G5281	perseverance	
JAS	1	4	191968	τέλειον	G5046	to finish	
JAS	1	4	191967	ἔργον	G2041	[its] work	,
JAS	1	4	191970	ἵνα	G2443	so that	
JAS	1	4	191971	ἦτε	G1510	you may be	
JAS	1	4	191972	τέλειοι	G5046	mature	
JAS	1	4	191973	καὶ	G2532	and	
JAS	1	4	191974	ὁλόκληροι	G3648	complete	,
JAS	1	4	191977	λειπόμενοι	G3007	[not] lacking	
JAS	1	4	191975	ἐν	G1722	-	
JAS	1	4	191976	μηδενὶ	G3367	[anything]	.
JAS	1	5	191989	δέ	G1161	Now	
JAS	1	5	191988	Εἰ	G1487	if	
JAS	1	5	191990	τις	G5100	any	
JAS	1	5	191991	ὑμῶν	G4771	of you	
JAS	1	5	191992	λείπεται	G3007	lacks	
JAS	1	5	191993	σοφίας	G4678	wisdom	,
JAS	1	5	191994	αἰτείτω	G154	he should ask	
JAS	1	5	191995	παρὰ	G3844	. . .	
JAS	1	5	191998	Θεοῦ	G2316	God	,
JAS	1	5	191996	τοῦ	G3588	who	
JAS	1	5	191997	διδόντος	G1325	gives	
JAS	1	5	192000	ἁπλῶς	G574	generously	
JAS	1	5	191999	πᾶσιν	G3956	to all	
JAS	1	5	192001	καὶ	G2532	-	
JAS	1	5	192002	μὴ	G3361	without	
JAS	1	5	192003	ὀνειδίζοντος	G3679	finding fault	,
JAS	1	5	192004	καὶ	G2532	and	
JAS	1	5	192005	δοθήσεται	G1325	it will be given	
JAS	1	5	192006	αὐτῷ	G846	to him	.
JAS	1	6	192018	δὲ	G1161	But	
JAS	1	6	192017	αἰτείτω	G154	he must ask	
JAS	1	6	192019	ἐν	G1722	in	
JAS	1	6	192020	πίστει	G4102	faith	,
JAS	1	6	192021	μηδὲν	G3367	without	
JAS	1	6	192022	διακρινόμενος	G1252	doubting	,
JAS	1	6	192024	γὰρ	G1063	because	
JAS	1	6	192023	ὁ	G3588	he who	
JAS	1	6	192025	διακρινόμενος	G1252	doubts	
JAS	1	6	192026	ἔοικεν	G1503	is like	
JAS	1	6	192027	κλύδωνι	G2830	a wave	
JAS	1	6	192028	θαλάσσης	G2281	of [the] sea	,
JAS	1	6	192029	ἀνεμιζομένῳ	G416	blown	
JAS	1	6	192030	καὶ	G2532	and	
JAS	1	6	192031	ῥιπιζομένῳ	G4494	tossed by the wind	.
JAS	1	7	192043	γὰρ	G1063	-	
JAS	1	7	192047	ἐκεῖνος	G1565	That	
JAS	1	7	192045	ὁ	G3588	-	
JAS	1	7	192046	ἄνθρωπος	G444	man	
JAS	1	7	192042	μὴ	G3361	{should} not	
JAS	1	7	192044	οἰέσθω	G3633	expect	
JAS	1	7	192048	ὅτι	G3754	-	
JAS	1	7	192049	λήμψεταί	G2983	to receive	
JAS	1	7	192050	τι	G5100	anything	
