book	chapter	verse	sort	greek	strong	bsb	pnc
JUD	1	1	203096	Ἰούδας	G2455	Jude	,
JUD	1	1	203099	δοῦλος	G1401	a servant	
JUD	1	1	203097	Ἰησοῦ	G2424	of Jesus	
JUD	1	1	203098	Χριστοῦ	G5547	Christ	
JUD	1	1	203101	δὲ	G1161	and	
JUD	1	1	203100	ἀδελφὸς	G80	a brother	
JUD	1	1	203102	Ἰακώβου	G2385	of James	,
JUD	1	1	203103	Τοῖς	G3588	To those who [are]	
JUD	1	1	203112	κλητοῖς	G2822	called	,
JUD	1	1	203107	ἠγαπημένοις	G25	loved	
JUD	1	1	203104	ἐν	G1722	by	
JUD	1	1	203105	Θεῷ	G2316	God	
JUD	1	1	203106	Πατρὶ	G3962	[the] Father	,
JUD	1	1	203108	καὶ	G2532	and	
JUD	1	1	203111	τετηρημένοις	G5083	kept	
JUD	1	1	203109	Ἰησοῦ	G2424	in Jesus	
JUD	1	1	203110	Χριστῷ	G5547	Christ	:
JUD	1	2	203123	Ἔλεος	G1656	Mercy	,
JUD	1	2	203125	καὶ	G2532	-	
JUD	1	2	203126	εἰρήνη	G1515	peace	,
JUD	1	2	203127	καὶ	G2532	and	
JUD	1	2	203128	ἀγάπη	G26	love	
JUD	1	2	203129	πληθυνθείη	G4129	be multiplied	
JUD	1	2	203124	ὑμῖν	G4771	to you	.
JUD	1	3	203140	Ἀγαπητοί	G27	Beloved	,
JUD	1	3	203143	ποιούμενος	G4160	[although] I made	
JUD	1	3	203141	πᾶσαν	G3956	every	
JUD	1	3	203142	σπουδὴν	G4710	effort	
JUD	1	3	203144	γράφειν	G1125	to write	
JUD	1	3	203145	ὑμῖν	G4771	to you	
JUD	1	3	203146	περὶ	G4012	about	
JUD	1	3	203147	τῆς	G3588	the	
JUD	1	3	203150	σωτηρίας	G4991	salvation	
JUD	1	3	203149	ἡμῶν	G1473	we	
JUD	1	3	203148	κοινῆς	G2839	share	,
JUD	1	3	203152	ἔσχον	G2192	I felt	
JUD	1	3	203151	ἀνάγκην	G318	it necessary	
JUD	1	3	203153	γράψαι	G1125	to write	
JUD	1	3	203155	παρακαλῶν	G3870	[and] urge	
JUD	1	3	203154	ὑμῖν	G4771	you	
JUD	1	3	203156	ἐπαγωνίζεσθαι	G1864	to contend earnestly	
JUD	1	3	203157	τῇ	G3588	for the	
JUD	1	3	203162	πίστει	G4102	faith	
JUD	1	3	203159	παραδοθείσῃ	G3860	entrusted	
JUD	1	3	203158	ἅπαξ	G530	once for all	
JUD	1	3	203160	τοῖς	G3588	to the	
JUD	1	3	203161	ἁγίοις	G40	saints	.
JUD	1	4	203174	γάρ	G1063	For	
JUD	1	4	203175	τινες	G5100	certain	
JUD	1	4	203176	ἄνθρωποι	G444	men	
JUD	1	4	203173	παρεισέδυσαν	G3921	have crept in [among you] unnoticed	—
JUD	1	4	203177	οἱ	G3588	-	
JUD	1	4	203184	ἀσεβεῖς	G765	ungodly [ones]	
JUD	1	4	203179	προγεγραμμένοι	G4270	who were designated	
JUD	1	4	203178	πάλαι	G3819	long ago	
JUD	1	4	203180	εἰς	G1519	for	
JUD	1	4	203181	τοῦτο	G3778	-	
JUD	1	4	203182	τὸ	G3588	-	
JUD	1	4	203183	κρίμα	G2917	condemnation	.
JUD	1	4	203190	μετατιθέντες	G3346	They turn	
JUD	1	4	203185	τὴν	G3588	the	
JUD	1	4	203189	χάριτα	G5485	grace	
JUD	1	4	203188	ἡμῶν	G1473	of our	
JUD	1	4	203186	τοῦ	G3588	-	
