book	chapter	verse	sort	greek	strong	bsb	pnc
LUK	1	1	47150	Ἐπειδήπερ	G1895	-	
LUK	1	1	47151	πολλοὶ	G4183	Many	
LUK	1	1	47152	ἐπεχείρησαν	G2021	have undertaken	
LUK	1	1	47153	ἀνατάξασθαι	G392	to compose	
LUK	1	1	47154	διήγησιν	G1335	an account	
LUK	1	1	47155	περὶ	G4012	of	
LUK	1	1	47156	τῶν	G3588	the	
LUK	1	1	47160	πραγμάτων	G4229	things that	
LUK	1	1	47157	πεπληροφορημένων	G4135	have been fulfilled	
LUK	1	1	47158	ἐν	G1722	among	
LUK	1	1	47159	ἡμῖν	G1473	us	,
LUK	1	2	47171	καθὼς	G2531	just as	
LUK	1	2	47174	οἱ	G3588	they	
LUK	1	2	47172	παρέδοσαν	G3860	were handed down	
LUK	1	2	47173	ἡμῖν	G1473	to us	
LUK	1	2	47175	ἀπ’	G575	by	
LUK	1	2	47176	ἀρχῆς	G746	the initial	
LUK	1	2	47180	γενόμενοι	G1096	-	
LUK	1	2	47177	αὐτόπται	G845	eyewitnesses	
LUK	1	2	47178	καὶ	G2532	and	
LUK	1	2	47179	ὑπηρέται	G5257	servants	
LUK	1	2	47181	τοῦ	G3588	of the	
LUK	1	2	47182	λόγου	G3056	word	.
LUK	1	3	47195	παρηκολουθηκότι	G3877	Therefore, having carefully investigated	
LUK	1	3	47198	ἀκριβῶς	G199	. . .	
LUK	1	3	47197	πᾶσιν	G3956	everything	
LUK	1	3	47196	ἄνωθεν	G509	from the beginning	,
LUK	1	3	47193	ἔδοξε	G1380	it seemed good	
LUK	1	3	47194	κἀμοὶ	G2504	also to me	
LUK	1	3	47201	γράψαι	G1125	to write	
LUK	1	3	47199	καθεξῆς	G2517	an orderly account	
LUK	1	3	47200	σοι	G4771	for you	,
LUK	1	3	47202	κράτιστε	G2903	most excellent	
LUK	1	3	47203	Θεόφιλε	G2321	Theophilus	,
LUK	1	4	47214	ἵνα	G2443	so that	
LUK	1	4	47215	ἐπιγνῷς	G1921	you may know	
LUK	1	4	47220	τὴν	G3588	the	
LUK	1	4	47221	ἀσφάλειαν	G803	certainty	
LUK	1	4	47216	περὶ	G4012	of	
LUK	1	4	47219	λόγων	G3056	[the] things	
LUK	1	4	47217	ὧν	G3739	-	
LUK	1	4	47218	κατηχήθης	G2727	you have been taught	.
LUK	1	5	47233	ἐν	G1722	In	
LUK	1	5	47234	ταῖς	G3588	the	
LUK	1	5	47235	ἡμέραις	G2250	time	
LUK	1	5	47236	Ἡρῴδου	G2264	of Herod	
LUK	1	5	47237	βασιλέως	G935	king	
LUK	1	5	47238	τῆς	G3588	-	
LUK	1	5	47239	Ἰουδαίας	G2449	of Judea	
LUK	1	5	47232	Ἐγένετο	G1096	there was	
LUK	1	5	47241	τις	G5100	a	
LUK	1	5	47240	ἱερεύς	G2409	priest	
LUK	1	5	47242	ὀνόματι	G3686	named	
LUK	1	5	47243	Ζαχαρίας	G2197	Zechariah	,
LUK	1	5	47244	ἐξ	G1537	who belonged to	
LUK	1	5	47245	ἐφημερίας	G2183	[the] priestly division	
LUK	1	5	47246	Ἀβιά	G7	of Abijah	,
LUK	1	5	47247	καὶ	G2532	and	
LUK	1	5	47249	αὐτῷ	G846	[whose]	
