book	chapter	verse	sort	greek	strong	bsb	pnc
MRK	1	1	29084	Ἀρχὴ	G746	[This is the] beginning	
MRK	1	1	29085	τοῦ	G3588	of the	
MRK	1	1	29086	εὐαγγελίου	G2098	gospel	
MRK	1	1	29087	Ἰησοῦ	G2424	of Jesus	
MRK	1	1	29088	Χριστοῦ	G5547	Christ	,
MRK	1	1	29089	Υἱοῦ	G5207	[the] Son	
MRK	1	1	29090	τοῦ	G3588	-	
MRK	1	1	29091	Θεοῦ	G2316	of God	.
MRK	1	2	29102	Καθὼς	G2531	As	
MRK	1	2	29103	γέγραπται	G1125	it is written	
MRK	1	2	29104	ἐν	G1722	in	
MRK	1	2	29105	τῷ	G3588	-	
MRK	1	2	29106	Ἠσαΐᾳ	G2268	Isaiah	
MRK	1	2	29107	τῷ	G3588	the	
MRK	1	2	29108	προφήτῃ	G4396	prophet	:
MRK	1	2	29109	Ἰδοὺ	G2400	Behold	,
MRK	1	2	29110	ἀποστέλλω	G649	I will send	
MRK	1	2	29113	μου	G1473	My	
MRK	1	2	29111	τὸν	G3588	-	
MRK	1	2	29112	ἄγγελόν	G32	messenger	
MRK	1	2	29114	πρὸ	G4253	ahead of You	
MRK	1	2	29116	σου	G4771	. . .	
MRK	1	2	29115	προσώπου	G4383	. . .	,
MRK	1	2	29117	ὃς	G3739	who	
MRK	1	2	29118	κατασκευάσει	G2680	will prepare	
MRK	1	2	29121	σου	G4771	Your	
MRK	1	2	29119	τὴν	G3588	-	
MRK	1	2	29120	ὁδόν	G3598	way	.”
MRK	1	3	29132	Φωνὴ	G5456	A voice	
MRK	1	3	29133	βοῶντος	G994	of one calling	
MRK	1	3	29134	ἐν	G1722	in	
MRK	1	3	29135	τῇ	G3588	the	
MRK	1	3	29136	ἐρήμῳ	G2048	wilderness	,
MRK	1	3	29137	Ἑτοιμάσατε	G2090	Prepare	
MRK	1	3	29138	τὴν	G3588	the	
MRK	1	3	29139	ὁδὸν	G3598	way	
MRK	1	3	29140	Κυρίου	G2962	for [the] Lord	,
MRK	1	3	29142	ποιεῖτε	G4160	make	
MRK	1	3	29141	εὐθείας	G2117	straight	
MRK	1	3	29143	τὰς	G3588	-	
MRK	1	3	29144	τρίβους	G5147	paths	
MRK	1	3	29145	αὐτοῦ	G846	for Him	.’”
MRK	1	4	29157	Ἰωάννης	G2491	John	
MRK	1	4	29158	ὁ	G3588	the	
MRK	1	4	29159	βαπτίζων	G907	Baptist	
MRK	1	4	29156	Ἐγένετο	G1096	appeared	
MRK	1	4	29160	ἐν	G1722	in	
MRK	1	4	29161	τῇ	G3588	the	
MRK	1	4	29162	ἐρήμῳ	G2048	wilderness	,
MRK	1	4	29163	καὶ	G2532	-	
MRK	1	4	29164	κηρύσσων	G2784	preaching	
MRK	1	4	29165	βάπτισμα	G908	[a] baptism	
MRK	1	4	29166	μετανοίας	G3341	of repentance	
MRK	1	4	29167	εἰς	G1519	for	
MRK	1	4	29168	ἄφεσιν	G859	[the] forgiveness	
MRK	1	4	29169	ἁμαρτιῶν	G266	of sins	.
MRK	1	5	29180	καὶ	G2532	-	
MRK	1	5	29181	ἐξεπορεύετο	G1607	[People] went out	
MRK	1	5	29182	πρὸς	G4314	to	
MRK	1	5	29183	αὐτὸν	G846	him	
MRK	1	5	29189	οἱ	G3588	. . .	
MRK	1	5	29191	πάντες	G3956	from all	
MRK	1	5	29190	Ἱεροσολυμῖται	G2415	of Jerusalem	
MRK	1	5	29188	καὶ	G2532	and	
MRK	1	5	29184	πᾶσα	G3956	-	
MRK	1	5	29185	ἡ	G3588	the	
MRK	1	5	29187	χώρα	G5561	countryside	
MRK	1	5	29186	Ἰουδαία	G2449	of Judea	.
MRK	1	5	29192	καὶ	G2532	-	
MRK	1	5	29200	ἐξομολογούμενοι	G1843	Confessing	
MRK	1	5	29203	αὐτῶν	G846	their	
MRK	1	5	29201	τὰς	G3588	-	
MRK	1	5	29202	ἁμαρτίας	G266	sins	,
MRK	1	5	29193	ἐβαπτίζοντο	G907	they were baptized	
MRK	1	5	29194	ὑπ’	G5259	by	
MRK	1	5	29195	αὐτοῦ	G846	him	
MRK	1	5	29196	ἐν	G1722	in	
MRK	1	5	29197	τῷ	G3588	the	
MRK	1	5	29198	Ἰορδάνῃ	G2446	Jordan	
MRK	1	5	29199	ποταμῷ	G4215	River	.
MRK	1	6	29214	Καὶ	G2532	-	
MRK	1	6	29216	ὁ	G3588	-	
MRK	1	6	29217	Ἰωάννης	G2491	John	
MRK	1	6	29215	ἦν	G1510	was	
MRK	1	6	29218	ἐνδεδυμένος	G1746	clothed in	
MRK	1	6	29220	καμήλου	G2574	camel’s	
MRK	1	6	29219	τρίχας	G2359	hair	,
MRK	1	6	29221	καὶ	G2532	with	
MRK	1	6	29223	δερματίνην	G1193	a leather	
MRK	1	6	29222	ζώνην	G2223	belt	
MRK	1	6	29224	περὶ	G4012	around	
MRK	1	6	29227	αὐτοῦ	G846	his	
