book	chapter	verse	sort	greek	strong	bsb	pnc
PHM	1	1	183326	Παῦλος	G3972	Paul	,
PHM	1	1	183327	δέσμιος	G1198	a prisoner	
PHM	1	1	183328	Χριστοῦ	G5547	of Christ	
PHM	1	1	183329	Ἰησοῦ	G2424	Jesus	,
PHM	1	1	183330	καὶ	G2532	and	
PHM	1	1	183331	Τιμόθεος	G5095	Timothy	
PHM	1	1	183332	ὁ	G3588	[our]	
PHM	1	1	183333	ἀδελφὸς	G80	brother	,
PHM	1	1	183334	Φιλήμονι	G5371	To Philemon	
PHM	1	1	183339	ἡμῶν	G1473	our	
PHM	1	1	183335	τῷ	G3588	-	
PHM	1	1	183336	ἀγαπητῷ	G27	beloved	
PHM	1	1	183337	καὶ	G2532	-	
PHM	1	1	183338	συνεργῷ	G4904	fellow worker	,
PHM	1	2	183350	καὶ	G2532	-	
PHM	1	2	183351	Ἀπφίᾳ	G682	to Apphia	
PHM	1	2	183352	τῇ	G3588	our	
PHM	1	2	183353	ἀδελφῇ	G79	sister	,
PHM	1	2	183354	καὶ	G2532	-	
PHM	1	2	183355	Ἀρχίππῳ	G751	to Archippus	
PHM	1	2	183358	ἡμῶν	G1473	our	
PHM	1	2	183356	τῷ	G3588	-	
PHM	1	2	183357	συστρατιώτῃ	G4961	fellow soldier	,
PHM	1	2	183359	καὶ	G2532	and	
PHM	1	2	183360	τῇ	G3588	to the	
PHM	1	2	183364	ἐκκλησίᾳ	G1577	church	
PHM	1	2	183361	κατ’	G2596	[that meets] at	
PHM	1	2	183363	σου	G4771	your	
PHM	1	2	183362	οἶκόν	G3624	house	:
PHM	1	3	183375	Χάρις	G5485	Grace	
PHM	1	3	183377	καὶ	G2532	and	
PHM	1	3	183378	εἰρήνη	G1515	peace	
PHM	1	3	183376	ὑμῖν	G4771	to you	
PHM	1	3	183379	ἀπὸ	G575	from	
PHM	1	3	183380	Θεοῦ	G2316	God	
PHM	1	3	183382	ἡμῶν	G1473	our	
PHM	1	3	183381	Πατρὸς	G3962	Father	
PHM	1	3	183383	καὶ	G2532	and	
PHM	1	3	183384	Κυρίου	G2962	[the] Lord	
PHM	1	3	183385	Ἰησοῦ	G2424	Jesus	
PHM	1	3	183386	Χριστοῦ	G5547	Christ	.
PHM	1	4	183397	Εὐχαριστῶ	G2168	I always thank	
PHM	1	4	183401	πάντοτε	G3842	. . .	
PHM	1	4	183400	μου	G1473	my	
PHM	1	4	183398	τῷ	G3588	-	
PHM	1	4	183399	Θεῷ	G2316	God	,
PHM	1	4	183404	ποιούμενος	G4160	remembering	
PHM	1	4	183402	μνείαν	G3417	. . .	
PHM	1	4	183403	σου	G4771	you	
PHM	1	4	183405	ἐπὶ	G1909	in	
PHM	1	4	183408	μου	G1473	my	
PHM	1	4	183406	τῶν	G3588	-	
PHM	1	4	183407	προσευχῶν	G4335	prayers	,
PHM	1	5	183419	ἀκούων	G191	because I hear about	
PHM	1	5	183426	ἣν	G3739	-	
PHM	1	5	183427	ἔχεις	G2192	your	
PHM	1	5	183424	τὴν	G3588	-	
PHM	1	5	183425	πίστιν	G4102	faith	
PHM	1	5	183428	πρὸς	G4314	in	
PHM	1	5	183429	τὸν	G3588	the	
PHM	1	5	183430	Κύριον	G2962	Lord	
PHM	1	5	183431	Ἰησοῦν	G2424	Jesus	
