book	chapter	verse	sort	greek	strong	bsb	pnc
PHP	1	1	168546	Παῦλος	G3972	Paul	
PHP	1	1	168547	καὶ	G2532	and	
PHP	1	1	168548	Τιμόθεος	G5095	Timothy	,
PHP	1	1	168549	δοῦλοι	G1401	servants	
PHP	1	1	168550	Χριστοῦ	G5547	of Christ	
PHP	1	1	168551	Ἰησοῦ	G2424	Jesus	,
PHP	1	1	168552	Πᾶσιν	G3956	To all	
PHP	1	1	168553	τοῖς	G3588	the	
PHP	1	1	168554	ἁγίοις	G40	saints	
PHP	1	1	168555	ἐν	G1722	in	
PHP	1	1	168556	Χριστῷ	G5547	Christ	
PHP	1	1	168557	Ἰησοῦ	G2424	Jesus	
PHP	1	1	168558	τοῖς	G3588	-	
PHP	1	1	168559	οὖσιν	G1510	-	
PHP	1	1	168560	ἐν	G1722	at	
PHP	1	1	168561	Φιλίπποις	G5375	Philippi	,
PHP	1	1	168562	σὺν	G4862	together with	
PHP	1	1	168563	ἐπισκόποις	G1985	[the] overseers	
PHP	1	1	168564	καὶ	G2532	and	
PHP	1	1	168565	διακόνοις	G1249	deacons	:
PHP	1	2	168576	Χάρις	G5485	Grace	
PHP	1	2	168578	καὶ	G2532	and	
PHP	1	2	168579	εἰρήνη	G1515	peace	
PHP	1	2	168577	ὑμῖν	G4771	to you	
PHP	1	2	168580	ἀπὸ	G575	from	
PHP	1	2	168581	Θεοῦ	G2316	God	
PHP	1	2	168583	ἡμῶν	G1473	our	
PHP	1	2	168582	Πατρὸς	G3962	Father	
PHP	1	2	168584	καὶ	G2532	and	
PHP	1	2	168585	Κυρίου	G2962	[the] Lord	
PHP	1	2	168586	Ἰησοῦ	G2424	Jesus	
PHP	1	2	168587	Χριστοῦ	G5547	Christ	.
PHP	1	3	168598	Εὐχαριστῶ	G2168	I thank	
PHP	1	3	168601	μου	G1473	my	
PHP	1	3	168599	τῷ	G3588	-	
PHP	1	3	168600	Θεῷ	G2316	God	
PHP	1	3	168602	ἐπὶ	G1909	vvv	
PHP	1	3	168604	τῇ	G3588	vvv	
PHP	1	3	168603	πάσῃ	G3956	every time	
PHP	1	3	168605	μνείᾳ	G3417	I remember	
PHP	1	3	168606	ὑμῶν	G4771	you	.
PHP	1	4	168618	ἐν	G1722	In	
PHP	1	4	168619	πάσῃ	G3956	every	
PHP	1	4	168620	δεήσει	G1162	prayer	
PHP	1	4	168622	ὑπὲρ	G5228	for	
PHP	1	4	168623	πάντων	G3956	all	
PHP	1	4	168624	ὑμῶν	G4771	of you	,
PHP	1	4	168621	μου	G1473	I	
PHP	1	4	168617	πάντοτε	G3842	always	
PHP	1	4	168629	ποιούμενος	G4160	vvv	
PHP	1	4	168627	τὴν	G3588	vvv	
PHP	1	4	168628	δέησιν	G1162	pray	
PHP	1	4	168625	μετὰ	G3326	with	
PHP	1	4	168626	χαρᾶς	G5479	joy	,
PHP	1	5	168640	ἐπὶ	G1909	because of	
PHP	1	5	168643	ὑμῶν	G4771	your	
PHP	1	5	168641	τῇ	G3588	-	
PHP	1	5	168642	κοινωνίᾳ	G2842	partnership	
PHP	1	5	168644	εἰς	G1519	in	
PHP	1	5	168645	τὸ	G3588	the	
PHP	1	5	168646	εὐαγγέλιον	G2098	gospel	
PHP	1	5	168647	ἀπὸ	G575	from	
PHP	1	5	168648	τῆς	G3588	the	
PHP	1	5	168649	πρώτης	G4413	first	
PHP	1	5	168650	ἡμέρας	G2250	day	
PHP	1	5	168651	ἄχρι	G891	until	
PHP	1	5	168652	τοῦ	G3588	-	
PHP	1	5	168653	νῦν	G3568	now	,
PHP	1	6	168664	πεποιθὼς	G3982	being confident	
PHP	1	6	168666	τοῦτο	G3778	of this	
PHP	1	6	168665	αὐτὸ	G846	. . .	,
PHP	1	6	168667	ὅτι	G3754	that	
PHP	1	6	168668	ὁ	G3588	He	
PHP	1	6	168669	ἐναρξάμενος	G1728	who began	
PHP	1	6	168673	ἀγαθὸν	G18	a good	
PHP	1	6	168672	ἔργον	G2041	work	
PHP	1	6	168670	ἐν	G1722	in	
PHP	1	6	168671	ὑμῖν	G4771	you	
PHP	1	6	168674	ἐπιτελέσει	G2005	will carry it on to completion	
PHP	1	6	168675	ἄχρι	G891	until	
PHP	1	6	168676	ἡμέρας	G2250	[the] day	
PHP	1	6	168677	Χριστοῦ	G5547	of Christ	
PHP	1	6	168678	Ἰησοῦ	G2424	Jesus	.
PHP	1	7	168689	Καθώς	G2531	-	
PHP	1	7	168690	ἐστιν	G1510	It is	
PHP	1	7	168691	δίκαιον	G1342	right	
PHP	1	7	168692	ἐμοὶ	G1473	for me	
PHP	1	7	168694	φρονεῖν	G5426	to feel	
PHP	1	7	168693	τοῦτο	G3778	this way	
PHP	1	7	168695	ὑπὲρ	G5228	about	
PHP	1	7	168696	πάντων	G3956	all	
PHP	1	7	168697	ὑμῶν	G4771	of you	,
PHP	1	7	168698	διὰ	G1223	since	
PHP	1	7	168701	με	G1473	I	
PHP	1	7	168699	τὸ	G3588	-	
PHP	1	7	168700	ἔχειν	G2192	have	
PHP	1	7	168705	ὑμᾶς	G4771	you	
PHP	1	7	168702	ἐν	G1722	in	
PHP	1	7	168703	τῇ	G3588	[my]	
PHP	1	7	168704	καρδίᾳ	G2588	heart	.
PHP	1	7	168706	ἔν	G1722	[For] in	
PHP	1	7	168707	τε	G5037	-	
PHP	1	7	168710	μου	G1473	my	
PHP	1	7	168708	τοῖς	G3588	-	
PHP	1	7	168709	δεσμοῖς	G1199	chains	
PHP	1	7	168711	καὶ	G2532	and	
PHP	1	7	168712	ἐν	G1722	in	
PHP	1	7	168713	τῇ	G3588	[my]	
PHP	1	7	168714	ἀπολογίᾳ	G627	defense	
PHP	1	7	168715	καὶ	G2532	and	
PHP	1	7	168716	βεβαιώσει	G951	confirmation	
PHP	1	7	168717	τοῦ	G3588	of the	
PHP	1	7	168718	εὐαγγελίου	G2098	gospel	,
PHP	1	7	168724	ὑμᾶς	G4771	you	
PHP	1	7	168725	ὄντας	G1510	are	
PHP	1	7	168723	πάντας	G3956	all	
PHP	1	7	168719	συνκοινωνούς	G4791	partners	
PHP	1	7	168721	τῆς	G3588	in	
PHP	1	7	168722	χάριτος	G5485	grace	
PHP	1	7	168720	μου	G1473	with me	.
PHP	1	8	168737	γάρ	G1063	-	
PHP	1	8	168739	ὁ	G3588	-	
PHP	1	8	168740	Θεός	G2316	God [is]	
PHP	1	8	168738	μου	G1473	my	
PHP	1	8	168736	μάρτυς	G3144	witness	
PHP	1	8	168741	ὡς	G5613	how	
PHP	1	8	168742	ἐπιποθῶ	G1971	I long for	
PHP	1	8	168743	πάντας	G3956	all	
PHP	1	8	168744	ὑμᾶς	G4771	of you	
PHP	1	8	168745	ἐν	G1722	with	
PHP	1	8	168746	σπλάγχνοις	G4698	[the] affection	
PHP	1	8	168747	Χριστοῦ	G5547	of Christ	
PHP	1	8	168748	Ἰησοῦ	G2424	Jesus	.
PHP	1	9	168759	Καὶ	G2532	And	
PHP	1	9	168760	τοῦτο	G3778	this [is]	
PHP	1	9	168761	προσεύχομαι	G4336	my prayer	:
PHP	1	9	168762	ἵνα	G2443	that	
PHP	1	9	168765	ὑμῶν	G4771	your	
PHP	1	9	168763	ἡ	G3588	-	
PHP	1	9	168764	ἀγάπη	G26	love	
PHP	1	9	168770	περισσεύῃ	G4052	may abound	
PHP	1	9	168766	ἔτι	G2089	vvv	
PHP	1	9	168767	μᾶλλον	G3123	more	
PHP	1	9	168768	καὶ	G2532	and	
PHP	1	9	168769	μᾶλλον	G3123	more	
PHP	1	9	168771	ἐν	G1722	in	
PHP	1	9	168772	ἐπιγνώσει	G1922	knowledge	
PHP	1	9	168773	καὶ	G2532	and	
PHP	1	9	168774	πάσῃ	G3956	depth	
PHP	1	9	168775	αἰσθήσει	G144	of insight	,
PHP	1	10	168786	εἰς	G1519	so that	
PHP	1	10	168789	ὑμᾶς	G4771	you	
PHP	1	10	168787	τὸ	G3588	-	
PHP	1	10	168788	δοκιμάζειν	G1381	may be able to test and prove	
PHP	1	10	168790	τὰ	G3588	what	
PHP	1	10	168791	διαφέροντα	G1308	is best	
PHP	1	10	168792	ἵνα	G2443	[and]	
PHP	1	10	168793	ἦτε	G1510	may be	
PHP	1	10	168794	εἰλικρινεῖς	G1506	pure	
PHP	1	10	168795	καὶ	G2532	and	
PHP	1	10	168796	ἀπρόσκοποι	G677	blameless	
PHP	1	10	168797	εἰς	G1519	for	
PHP	1	10	168798	ἡμέραν	G2250	[the] day	
PHP	1	10	168799	Χριστοῦ	G5547	of Christ	,
PHP	1	11	168810	πεπληρωμένοι	G4137	filled	
PHP	1	11	168811	καρπὸν	G2590	with [the] fruit	
PHP	1	11	168812	δικαιοσύνης	G1343	of righteousness	
PHP	1	11	168813	τὸν	G3588	that [comes]	
PHP	1	11	168814	διὰ	G1223	through	
PHP	1	11	168815	Ἰησοῦ	G2424	Jesus	
PHP	1	11	168816	Χριστοῦ	G5547	Christ	,
PHP	1	11	168817	εἰς	G1519	to	
PHP	1	11	168818	δόξαν	G1391	[the] glory	
PHP	1	11	168819	καὶ	G2532	and	
PHP	1	11	168820	ἔπαινον	G1868	praise	
PHP	1	11	168821	Θεοῦ	G2316	of God	.
PHP	1	12	168833	δὲ	G1161	Now	
PHP	1	12	168835	βούλομαι	G1014	I want	
PHP	1	12	168834	ὑμᾶς	G4771	you	
PHP	1	12	168832	Γινώσκειν	G1097	to know	,
PHP	1	12	168836	ἀδελφοί	G80	brothers	,
PHP	1	12	168837	ὅτι	G3754	that	
PHP	1	12	168838	τὰ	G3588	my circumstances	
PHP	1	12	168839	κατ’	G2596	. . .	
PHP	1	12	168840	ἐμὲ	G1473	. . .	
PHP	1	12	168841	μᾶλλον	G3123	{have} actually	
PHP	1	12	168846	ἐλήλυθεν	G2064	served	
PHP	1	12	168842	εἰς	G1519	to	
PHP	1	12	168843	προκοπὴν	G4297	advance	
PHP	1	12	168844	τοῦ	G3588	the	
PHP	1	12	168845	εὐαγγελίου	G2098	gospel	.
PHP	1	13	168857	ὥστε	G5620	As a result	,
PHP	1	13	168864	γενέσθαι	G1096	it has become	
PHP	1	13	168861	φανεροὺς	G5318	clear	
PHP	1	13	168865	ἐν	G1722	throughout	
PHP	1	13	168867	τῷ	G3588	the	
PHP	1	13	168866	ὅλῳ	G3650	whole	
PHP	1	13	168868	πραιτωρίῳ	G4232	palace guard	
PHP	1	13	168869	καὶ	G2532	and	
PHP	1	13	168870	τοῖς	G3588	to	
PHP	1	13	168872	πᾶσιν	G3956	everyone	
PHP	1	13	168871	λοιποῖς	G3062	else [that]	
