book	chapter	verse	sort	greek	strong	bsb	pnc
REV	1	1	203806	Ἀποκάλυψις	G602	[ This is the ] revelation	
REV	1	1	203807	Ἰησοῦ	G2424	of Jesus	
REV	1	1	203808	Χριστοῦ	G5547	Christ	,
REV	1	1	203809	ἣν	G3739	which	
REV	1	1	203812	ὁ	G3588	-	
REV	1	1	203813	Θεός	G2316	God	
REV	1	1	203810	ἔδωκεν	G1325	gave	
REV	1	1	203811	αὐτῷ	G846	Him	
REV	1	1	203814	δεῖξαι	G1166	to show	
REV	1	1	203815	τοῖς	G3588	-	
REV	1	1	203817	αὐτοῦ	G846	His	
REV	1	1	203816	δούλοις	G1401	servants	
REV	1	1	203818	ἃ	G3739	what	
REV	1	1	203819	δεῖ	G1163	must	
REV	1	1	203821	ἐν	G1722	vvv	
REV	1	1	203822	τάχει	G5034	soon	
REV	1	1	203820	γενέσθαι	G1096	come to pass	.
REV	1	1	203823	καὶ	G2532	-	
REV	1	1	203824	ἐσήμανεν	G4591	He made it known	
REV	1	1	203826	διὰ	G1223	by	
REV	1	1	203825	ἀποστείλας	G649	sending	
REV	1	1	203829	αὐτοῦ	G846	His	
REV	1	1	203827	τοῦ	G3588	-	
REV	1	1	203828	ἀγγέλου	G32	angel	
REV	1	1	203830	τῷ	G3588	to	
REV	1	1	203832	αὐτοῦ	G846	His	
REV	1	1	203831	δούλῳ	G1401	servant	
REV	1	1	203833	Ἰωάννῃ	G2491	John	,
REV	1	2	203844	ὃς	G3739	who	
REV	1	2	203845	ἐμαρτύρησεν	G3140	testifies to	
REV	1	2	203855	ὅσα	G3745	everything	
REV	1	2	203856	εἶδεν	G3708	he saw	.
REV	1	2	203846	τὸν	G3588	[This is] the	
REV	1	2	203847	λόγον	G3056	word	
REV	1	2	203848	τοῦ	G3588	-	
REV	1	2	203849	Θεοῦ	G2316	of God	
REV	1	2	203850	καὶ	G2532	and	
REV	1	2	203851	τὴν	G3588	the	
REV	1	2	203852	μαρτυρίαν	G3141	testimony	
REV	1	2	203853	Ἰησοῦ	G2424	of Jesus	
REV	1	2	203854	Χριστοῦ	G5547	Christ	.
REV	1	3	203867	Μακάριος	G3107	Blessed [is]	
REV	1	3	203868	ὁ	G3588	the [one who]	
REV	1	3	203869	ἀναγινώσκων	G314	reads aloud	
REV	1	3	203873	τοὺς	G3588	the	
REV	1	3	203874	λόγους	G3056	words	
REV	1	3	203875	τῆς	G3588	of [this]	
REV	1	3	203876	προφητείας	G4394	prophecy	,
REV	1	3	203870	καὶ	G2532	and [ blessed are ]	
REV	1	3	203871	οἱ	G3588	those who	
REV	1	3	203872	ἀκούοντες	G191	hear	
REV	1	3	203877	καὶ	G2532	and	
REV	1	3	203878	τηροῦντες	G5083	obey	
REV	1	3	203879	τὰ	G3588	what	
REV	1	3	203882	γεγραμμένα	G1125	is written	
REV	1	3	203880	ἐν	G1722	in	
REV	1	3	203881	αὐτῇ	G846	it	,
REV	1	3	203884	γὰρ	G1063	because	
REV	1	3	203883	ὁ	G3588	the	
REV	1	3	203885	καιρὸς	G2540	time [is]	
REV	1	3	203886	ἐγγύς	G1451	near	.
REV	1	4	203897	Ἰωάννης	G2491	John	,
REV	1	4	203898	Ταῖς	G3588	To the	
REV	1	4	203899	ἑπτὰ	G2033	seven	
REV	1	4	203900	ἐκκλησίαις	G1577	churches	
REV	1	4	203901	ταῖς	G3588	-	
REV	1	4	203902	ἐν	G1722	in	
REV	1	4	203903	τῇ	G3588	-	
REV	1	4	203904	Ἀσίᾳ	G773	[the province of] Asia	:
REV	1	4	203905	Χάρις	G5485	Grace	
REV	1	4	203907	καὶ	G2532	and	
REV	1	4	203908	εἰρήνη	G1515	peace	
REV	1	4	203906	ὑμῖν	G4771	to you	
REV	1	4	203909	ἀπὸ	G575	from	
REV	1	4	203910	ὁ	G3588	Him who	
REV	1	4	203911	ὢν	G1510	is	
REV	1	4	203912	καὶ	G2532	and	
