book	chapter	verse	sort	greek	strong	bsb	pnc
ROM	1	1	131147	Παῦλος	G3972	Paul	,
ROM	1	1	131148	δοῦλος	G1401	a servant	
ROM	1	1	131149	Χριστοῦ	G5547	of Christ	
ROM	1	1	131150	Ἰησοῦ	G2424	Jesus	,
ROM	1	1	131151	κλητὸς	G2822	called [to be]	
ROM	1	1	131152	ἀπόστολος	G652	[an] apostle	,
ROM	1	1	131153	ἀφωρισμένος	G873	[and] set apart	
ROM	1	1	131154	εἰς	G1519	for	
ROM	1	1	131155	εὐαγγέλιον	G2098	[the] gospel	
ROM	1	1	131156	Θεοῦ	G2316	of God	—
ROM	1	2	131167	ὃ	G3739	[the gospel]	
ROM	1	2	131168	προεπηγγείλατο	G4279	He promised beforehand	
ROM	1	2	131169	διὰ	G1223	through	
ROM	1	2	131172	αὐτοῦ	G846	His	
ROM	1	2	131170	τῶν	G3588	-	
ROM	1	2	131171	προφητῶν	G4396	prophets	
ROM	1	2	131173	ἐν	G1722	in	
ROM	1	2	131175	ἁγίαις	G40	[the] Holy	
ROM	1	2	131174	γραφαῖς	G1124	Scriptures	,
ROM	1	3	131186	περὶ	G4012	regarding	
ROM	1	3	131189	αὐτοῦ	G846	His	
ROM	1	3	131187	τοῦ	G3588	-	
ROM	1	3	131188	Υἱοῦ	G5207	Son	,
ROM	1	3	131190	τοῦ	G3588	who	
ROM	1	3	131191	γενομένου	G1096	was a descendant	
ROM	1	3	131192	ἐκ	G1537	. . .	
ROM	1	3	131193	σπέρματος	G4690	. . .	
ROM	1	3	131194	Δαυὶδ	G1138	of David	
ROM	1	3	131195	κατὰ	G2596	according to	
ROM	1	3	131196	σάρκα	G4561	[the] flesh	,
ROM	1	4	131207	τοῦ	G3588	[and] who	
ROM	1	4	131213	κατὰ	G2596	through	
ROM	1	4	131214	πνεῦμα	G4151	[the] Spirit	
ROM	1	4	131215	ἁγιωσύνης	G42	of holiness	
ROM	1	4	131208	ὁρισθέντος	G3724	was declared	
ROM	1	4	131211	ἐν	G1722	with	
ROM	1	4	131212	δυνάμει	G1411	power	
ROM	1	4	131209	Υἱοῦ	G5207	[to be the] Son	
ROM	1	4	131210	Θεοῦ	G2316	of God	
ROM	1	4	131216	ἐξ	G1537	by	
ROM	1	4	131217	ἀναστάσεως	G386	[His] resurrection	
ROM	1	4	131218	νεκρῶν	G3498	[from the] dead	:
ROM	1	4	131219	Ἰησοῦ	G2424	Jesus	
ROM	1	4	131220	Χριστοῦ	G5547	Christ	
ROM	1	4	131223	ἡμῶν	G1473	our	
ROM	1	4	131221	τοῦ	G3588	-	
ROM	1	4	131222	Κυρίου	G2962	Lord	.
ROM	1	5	131234	δι’	G1223	Through	
ROM	1	5	131235	οὗ	G3739	[Him]	
