book	chapter	verse	sort	hebrew	strong	bsb	pnc
2CH	1	1	276639	שְׁלֹמֹ֥ה	H8010	Now Solomon	
2CH	1	1	276640	בֶן־	H1121	son	
2CH	1	1	276641	דָּוִ֖יד	H1732	of David	
2CH	1	1	276638	וַיִּתְחַזֵּ֛ק	H2388	established himself securely	
2CH	1	1	276642	עַל־	H5921	over	
2CH	1	1	276643	מַלְכוּת֑וֹ	H4438	his kingdom	,
2CH	1	1	276644	וַיהוָ֤ה	H3068	and the LORD	
2CH	1	1	276645	אֱלֹהָיו֙	H430	his God	
2CH	1	1	276646	עִמּ֔וֹ	H5973	was with him	
2CH	1	1	276648	לְמָֽעְלָה׃	H4605	and highly	
2CH	1	1	276647	וַֽיְגַדְּלֵ֖הוּ	H1431	exalted him	.
2CH	1	2	276660	שְׁלֹמֹ֣ה	H8010	Then Solomon	
2CH	1	2	276659	וַיֹּ֣אמֶר	H559	spoke	
2CH	1	2	276661	לְכָל־	H3605	to all	
2CH	1	2	276662	יִשְׂרָאֵ֡ל	H3478	Israel	,
2CH	1	2	276663	לְשָׂרֵי֩	H8269	to the commanders	
2CH	1	2	276664	הָאֲלָפִ֨ים	H505	of thousands	
2CH	1	2	276665	וְהַמֵּא֜וֹת	H3967	and of hundreds	,
2CH	1	2	276666	וְלַשֹּֽׁפְטִ֗ים	H8199	to the judges	,
2CH	1	2	276667	וּלְכֹ֛ל	H3605	and to every	
2CH	1	2	276668	נָשִׂ֥יא	H5387	leader	
2CH	1	2	276669	לְכָל־	H3605	in all	
2CH	1	2	276670	יִשְׂרָאֵ֖ל	H3478	Israel	—
2CH	1	2	276671	רָאשֵׁ֥י	H7218	the heads	
2CH	1	2	276672	הָאָבֽוֹת׃	H1	of the families	.
2CH	1	3	276684	שְׁלֹמֹה֙	H8010	And Solomon	
2CH	1	3	276685	וְכָל־	H3605	and the whole	
2CH	1	3	276686	הַקָּהָ֣ל	H6951	assembly	
2CH	1	3	276687	עִמּ֔וֹ	H5973	-	
2CH	1	3	276683	וַיֵּלְכ֗וּ	H1980	went	
2CH	1	3	276688	לַבָּמָ֖ה	H1116	to the high place	
2CH	1	3	276689	אֲשֶׁ֣ר	H834	-	
2CH	1	3	276690	בְּגִבְע֑וֹן	H1391	at Gibeon	
2CH	1	3	276691	כִּי־	H3588	because	
2CH	1	3	276693	הָיָ֗ה	H1961	it was	
