book	chapter	verse	sort	hebrew	strong	bsb	pnc
2SA	1	1	196368	וַיְהִ֗י	H1961	-	
2SA	1	1	196369	אַֽחֲרֵי֙	H310	After	
2SA	1	1	196370	מ֣וֹת	H4194	the death	
2SA	1	1	196371	שָׁא֔וּל	H7586	of Saul	,
2SA	1	1	196372	וְדָוִ֣ד	H1732	David	
2SA	1	1	196373	שָׁ֔ב	H7725	returned	
2SA	1	1	196374	מֵהַכּ֖וֹת	H5221	from the slaughter	
2SA	1	1	196375	אֶת־	H853	of	
2SA	1	1	196376	הָעֲמָלֵ֑ק	H6002	the Amalekites	
2SA	1	1	196377	וַיֵּ֧שֶׁב	H3427	and stayed	
2SA	1	1	196378	דָּוִ֛ד	H1732	. . .	
2SA	1	1	196379	בְּצִקְלָ֖ג	H6860	in Ziklag	
2SA	1	1	196381	שְׁנָֽיִם׃	H8147	two	
2SA	1	1	196380	יָמִ֥ים	H3117	days	.
2SA	1	2	196392	וַיְהִ֣י׀	H1961	-	
2SA	1	2	196394	הַשְּׁלִישִׁ֗י	H7992	On the third	
2SA	1	2	196395	וְהִנֵּה֩	H2009	. . .	
2SA	1	2	196393	בַּיּ֣וֹם	H3117	day	
2SA	1	2	196396	אִ֨ישׁ	H376	a man	
2SA	1	2	196403	קְרֻעִ֔ים	H7167	with torn	
2SA	1	2	196402	וּבְגָדָ֣יו	H899	clothes	
2SA	1	2	196404	וַאֲדָמָ֖ה	H127	and dust	
2SA	1	2	196405	עַל־	H5921	on	
2SA	1	2	196406	רֹאשׁ֑וֹ	H7218	his head	
2SA	1	2	196407	וַיְהִי֙	H1961	-	
2SA	1	2	196397	בָּ֤א	H935	arrived	
2SA	1	2	196398	מִן־	H4480	from	
2SA	1	2	196401	שָׁא֔וּל	H7586	Saul’s	
2SA	1	2	196399	הַֽמַּחֲנֶה֙	H4264	camp	.
2SA	1	2	196400	מֵעִ֣ם	H5973	. . .	
2SA	1	2	196408	בְּבֹא֣וֹ	H935	When he came	
2SA	1	2	196409	אֶל־	H413	to	
2SA	1	2	196410	דָּוִ֔ד	H1732	David	,
2SA	1	2	196411	וַיִּפֹּ֥ל	H5307	he fell	
2SA	1	2	196412	אַ֖רְצָה	H776	to the ground	
2SA	1	2	196413	וַיִּשְׁתָּֽחוּ׃	H7812	to pay him homage	.
2SA	1	3	196427	אֵ֥י	H335	Where	
2SA	1	3	196428	מִזֶּ֖ה	H2088	. . .	
2SA	1	3	196429	תָּב֑וֹא	H935	have you come from	?
2SA	1	3	196426	דָּוִ֔ד	H1732	David	
2SA	1	3	196424	וַיֹּ֤אמֶר	H559	asked	
2SA	1	3	196425	לוֹ֙			.
