book	chapter	verse	sort	hebrew	strong	bsb	pnc
DEU	1	1	115271	אֵ֣לֶּה	H428	These	
DEU	1	1	115272	הַדְּבָרִ֗ים	H1697	are the words	
DEU	1	1	115273	אֲשֶׁ֨ר	H834	that	
DEU	1	1	115275	מֹשֶׁה֙	H4872	Moses	
DEU	1	1	115274	דִּבֶּ֤ר	H1696	spoke	
DEU	1	1	115276	אֶל־	H413	to	
DEU	1	1	115277	כָּל־	H3605	all	
DEU	1	1	115278	יִשְׂרָאֵ֔ל	H3478	Israel	
DEU	1	1	115281	בַּמִּדְבָּ֡ר	H4057	in the wilderness	
DEU	1	1	115279	בְּעֵ֖בֶר	H5676	east of	
DEU	1	1	115280	הַיַּרְדֵּ֑ן	H3383	the Jordan	—
DEU	1	1	115282	בָּֽעֲרָבָה֩	H6160	in the Arabah	
DEU	1	1	115283	מ֨וֹל	H4136	opposite	
DEU	1	1	115284	ס֜וּף	H5489	Suph	—
DEU	1	1	115285	בֵּֽין־	H996	between	
DEU	1	1	115286	פָּארָ֧ן	H6290	Paran	
DEU	1	1	115287	וּבֵֽין־	H996	. . .	
DEU	1	1	115288	תֹּ֛פֶל	H8603	and Tophel	,
DEU	1	1	115289	וְלָבָ֥ן	H3837	Laban	,
DEU	1	1	115290	וַחֲצֵרֹ֖ת	H2698	Hazeroth	,
DEU	1	1	115291	וְדִ֥י	H1774	vvv	
DEU	1	1	115292	זָהָֽב׃	H1774	and Dizahab	.
DEU	1	2	115303	אַחַ֨ד	H259	It is an eleven-day	
DEU	1	2	115304	עָשָׂ֥ר	H6240	. . .	
DEU	1	2	115305	יוֹם֙	H3117	. . .	
DEU	1	2	115306	מֵֽחֹרֵ֔ב	H2722	[journey] from Horeb	
DEU	1	2	115310	עַ֖ד	H5704	to	
DEU	1	2	115311	קָדֵ֥שׁ	H6947	vvv	
DEU	1	2	115312	בַּרְנֵֽעַ׃	H6947	Kadesh-barnea	
DEU	1	2	115307	דֶּ֖רֶךְ	H1870	by way	
DEU	1	2	115308	הַר־	H2022	of Mount	
DEU	1	2	115309	שֵׂעִ֑יר	H8165	Seir	.
DEU	1	3	115323	וַיְהִי֙	H1961	-	
DEU	1	3	115324	בְּאַרְבָּעִ֣ים	H705	In the fortieth	
DEU	1	3	115325	שָׁנָ֔ה	H8141	year	,
DEU	1	3	115329	בְּאֶחָ֣ד	H259	on the first day	
DEU	1	3	115330	לַחֹ֑דֶשׁ	H2320	. . .	
DEU	1	3	115326	בְּעַשְׁתֵּֽי־	H6249	of the eleventh	
DEU	1	3	115327	עָשָׂ֥ר	H6240	. . .	
DEU	1	3	115328	חֹ֖דֶשׁ	H2320	month	,
DEU	1	3	115332	מֹשֶׁה֙	H4872	Moses	
DEU	1	3	115331	דִּבֶּ֤ר	H1696	proclaimed	
DEU	1	3	115333	אֶל־	H413	to	
