book	chapter	verse	sort	hebrew	strong	bsb	pnc
ECC	1	1	399578	דִּבְרֵי֙	H1697	[These are] the words	
ECC	1	1	399579	קֹהֶ֣לֶת	H6953	of the Teacher	,
ECC	1	1	399580	בֶּן־	H1121	the son	
ECC	1	1	399581	דָּוִ֔ד	H1732	of David	,
ECC	1	1	399582	מֶ֖לֶךְ	H4428	king	
ECC	1	1	399583	בִּירוּשָׁלִָֽם׃	H3389	in Jerusalem	:
ECC	1	2	399594	הֲבֵ֤ל	H1892	Futility	
ECC	1	2	399595	הֲבָלִים֙	H1892	of futilities	,
ECC	1	2	399596	אָמַ֣ר	H559	says	
ECC	1	2	399597	קֹהֶ֔לֶת	H6953	the Teacher	,
ECC	1	2	399598	הֲבֵ֥ל	H1892	futility	
ECC	1	2	399599	הֲבָלִ֖ים	H1892	of futilities	!
ECC	1	2	399600	הַכֹּ֥ל	H3605	Everything	
ECC	1	2	399601	הָֽבֶל׃	H1892	is futile	!
ECC	1	3	399612	מַה־	H4100	What	
ECC	1	3	399614	לָֽאָדָ֑ם	H120	does a man	
ECC	1	3	399613	יִּתְר֖וֹן	H3504	gain	
ECC	1	3	399615	בְּכָל־	H3605	from all	
ECC	1	3	399616	עֲמָל֔וֹ	H5999	his labor	,
ECC	1	3	399617	שֶֽׁיַּעֲמֹ֖ל	H5998	at which he toils	
ECC	1	3	399618	תַּ֥חַת	H8478	under	
ECC	1	3	399619	הַשָּֽׁמֶשׁ׃	H8121	the sun	?
ECC	1	4	399630	דּ֤וֹר	H1755	Generations	
ECC	1	4	399631	הֹלֵךְ֙	H1980	come	
ECC	1	4	399632	וְד֣וֹר	H1755	and generations	
ECC	1	4	399633	בָּ֔א	H935	go	,
ECC	1	4	399634	וְהָאָ֖רֶץ	H776	but the earth	
ECC	1	4	399636	עֹמָֽדֶת׃	H5975	remains	
ECC	1	4	399635	לְעוֹלָ֥ם	H5769	forever	.
ECC	1	5	399648	הַשֶּׁ֖מֶשׁ	H8121	The sun	
ECC	1	5	399647	וְזָרַ֥ח	H2224	rises	
ECC	1	5	399650	הַשָּׁ֑מֶשׁ	H8121	and the sun	
ECC	1	5	399649	וּבָ֣א	H935	sets	;
ECC	1	5	399653	שׁוֹאֵ֛ף	H7602	it hurries back	
ECC	1	5	399651	וְאֶ֨ל־	H413	. . .	
ECC	1	5	399652	מְקוֹמ֔וֹ	H4725	to	
ECC	1	5	399656	שָֽׁם׃	H8033	where	
ECC	1	5	399655	ה֖וּא	H1931	it	
ECC	1	5	399654	זוֹרֵ֥חַֽ	H2224	rises	.
ECC	1	6	399676	הָר֔וּחַ	H7307	The wind	
ECC	1	6	399667	הוֹלֵךְ֙	H1980	blows	
ECC	1	6	399668	אֶל־	H413	vvv	
ECC	1	6	399669	דָּר֔וֹם	H1864	southward	,
ECC	1	6	399670	וְסוֹבֵ֖ב	H5437	then turns	
ECC	1	6	399671	אֶל־	H413	vvv	
ECC	1	6	399672	צָפ֑וֹן	H6828	northward	;
ECC	1	6	399673	סוֹבֵ֤ב׀	H5437	round	
ECC	1	6	399674	סֹבֵב֙	H5437	[and] round	
ECC	1	6	399675	הוֹלֵ֣ךְ	H1980	it swirls	,
ECC	1	6	399679	שָׁ֥ב	H7725	ever returning	
ECC	1	6	399677	וְעַל־	H5921	on	
ECC	1	6	399680	הָרֽוּחַ׃	H7307	[its]	
ECC	1	6	399678	סְבִיבֹתָ֖יו	H5439	course	.
ECC	1	7	399691	כָּל־	H3605	All	
ECC	1	7	399692	הַנְּחָלִים֙	H5158	the rivers	
ECC	1	7	399693	הֹלְכִ֣ים	H1980	flow	
ECC	1	7	399694	אֶל־	H413	into	
ECC	1	7	399695	הַיָּ֔ם	H3220	the sea	,
ECC	1	7	399696	וְהַיָּ֖ם	H3220	yet the sea	
ECC	1	7	399697	אֵינֶ֣נּוּ	H369	is never	
ECC	1	7	399698	מָלֵ֑א	H4392	full	;
ECC	1	7	399699	אֶל־	H413	to	
ECC	1	7	399700	מְק֗וֹם	H4725	the place	
ECC	1	7	399701	שֶׁ֤הַנְּחָלִים֙	H5158	from which the streams	
ECC	1	7	399702	הֹֽלְכִ֔ים	H1980	come	,
ECC	1	7	399703	שָׁ֛ם	H8033	there	
ECC	1	7	399705	שָׁבִ֖ים	H7725	again	
ECC	1	7	399704	הֵ֥ם	H1992	they	
ECC	1	7	399706	לָלָֽכֶת׃	H1980	flow	.
ECC	1	8	399717	כָּל־	H3605	All	
ECC	1	8	399718	הַדְּבָרִ֣ים	H1697	things	
ECC	1	8	399719	יְגֵעִ֔ים	H3023	are wearisome	,
ECC	1	8	399720	לֹא־	H3808	more	
ECC	1	8	399721	יוּכַ֥ל	H3201	. . .	
