book	chapter	verse	sort	hebrew	strong	bsb	pnc
EXO	1	1	36086	וְאֵ֗לֶּה	H428	These	
EXO	1	1	36087	שְׁמוֹת֙	H8034	are the names	
EXO	1	1	36088	בְּנֵ֣י	H1121	of the sons	
EXO	1	1	36089	יִשְׂרָאֵ֔ל	H3478	of Israel	
EXO	1	1	36090	הַבָּאִ֖ים	H935	who went	
EXO	1	1	36091	מִצְרָ֑יְמָה	H4714	to Egypt	
EXO	1	1	36092	אֵ֣ת	H854	with	
EXO	1	1	36093	יַעֲקֹ֔ב	H3290	Jacob	,
EXO	1	1	36094	אִ֥ישׁ	H376	each	
EXO	1	1	36096	בָּֽאוּ׃	H935	-	
EXO	1	1	36095	וּבֵית֖וֹ	H1004	with his family	:
EXO	1	2	36107	רְאוּבֵ֣ן	H7205	Reuben	,
EXO	1	2	36108	שִׁמְע֔וֹן	H8095	Simeon	,
EXO	1	2	36109	לֵוִ֖י	H3878	Levi	,
EXO	1	2	36110	וִיהוּדָֽה׃	H3063	and Judah	;
EXO	1	3	36121	יִשָּׂשכָ֥ר	H3485	Issachar	,
EXO	1	3	36122	זְבוּלֻ֖ן	H2074	Zebulun	,
EXO	1	3	36123	וּבְנְיָמִֽן׃	H1144	and Benjamin	;
EXO	1	4	36134	דָּ֥ן	H1835	Dan	
EXO	1	4	36135	וְנַפְתָּלִ֖י	H5321	and Naphtali	;
EXO	1	4	36136	גָּ֥ד	H1410	Gad	
EXO	1	4	36137	וְאָשֵֽׁר׃	H836	and Asher	.
EXO	1	5	36150	נֶ֛פֶשׁ	H5315	The descendants	
EXO	1	5	36153	יַעֲקֹ֖ב	H3290	of Jacob	
EXO	1	5	36151	יֹצְאֵ֥י	H3318	. . .	
EXO	1	5	36152	יֶֽרֶךְ־	H3409	. . .	
EXO	1	5	36148	וַֽיְהִ֗י	H1961	numbered	
EXO	1	5	36154	שִׁבְעִ֣ים	H7657	seventy	
EXO	1	5	36149	כָּל־	H3605	in all	
EXO	1	5	36155	נָ֑פֶשׁ	H5315	. . .	,
EXO	1	5	36156	וְיוֹסֵ֖ף	H3130	including Joseph	,
EXO	1	5	36157	הָיָ֥ה	H1961	who was	
EXO	1	5	36158	בְמִצְרָֽיִם׃	H4714	already in Egypt	.
EXO	1	6	36170	יוֹסֵף֙	H3130	Now Joseph	
EXO	1	6	36171	וְכָל־	H3605	and all	
EXO	1	6	36172	אֶחָ֔יו	H251	his brothers	
EXO	1	6	36173	וְכֹ֖ל	H3605	and all	
EXO	1	6	36175	הַהֽוּא׃	H1931	that	
EXO	1	6	36174	הַדּ֥וֹר	H1755	generation	
EXO	1	6	36169	וַיָּ֤מָת	H4191	died	,
EXO	1	7	36186	וּבְנֵ֣י	H1121	but the Israelites	
EXO	1	7	36187	יִשְׂרָאֵ֗ל	H3478	. . .	
EXO	1	7	36188	פָּר֧וּ	H6509	were fruitful	
EXO	1	7	36189	וַֽיִּשְׁרְצ֛וּ	H8317	and increased rapidly	;
EXO	1	7	36190	וַיִּרְבּ֥וּ	H7235	they multiplied	
EXO	1	7	36192	בִּמְאֹ֣ד	H3966	and became exceedingly	
EXO	1	7	36193	מְאֹ֑ד	H3966	. . .	
EXO	1	7	36191	וַיַּֽעַצְמ֖וּ	H6105	numerous	,
EXO	1	7	36195	הָאָ֖רֶץ	H776	so that the land	
EXO	1	7	36196	אֹתָֽם׃פ	H854	. . .	
EXO	1	7	36194	וַתִּמָּלֵ֥א	H4390	was filled with them	.
EXO	1	8	36210	חָדָ֖שׁ	H2319	Then a new	
EXO	1	8	36209	מֶֽלֶךְ־	H4428	king	,
EXO	1	8	36213	אֲשֶׁ֥ר	H834	who	
EXO	1	8	36214	לֹֽא־	H3808	did not	
EXO	1	8	36215	יָדַ֖ע	H3045	know	
EXO	1	8	36216	אֶת־	H853	-	
EXO	1	8	36217	יוֹסֵֽף׃	H3130	Joseph	,
EXO	1	8	36208	וַיָּ֥קָם	H6965	came to power	
EXO	1	8	36211	עַל־	H5921	in	
EXO	1	8	36212	מִצְרָ֑יִם	H4714	Egypt	.
EXO	1	9	36231	הִנֵּ֗ה	H2009	Look	,
EXO	1	9	36228	וַיֹּ֖אמֶר	H559	he said	
EXO	1	9	36229	אֶל־	H413	to	
EXO	1	9	36230	עַמּ֑וֹ	H5971	his people	,
EXO	1	9	36233	בְּנֵ֣י	H1121	the Israelites	
EXO	1	9	36234	יִשְׂרָאֵ֔ל	H3478	. . .	
EXO	1	9	36232	עַ֚ם	H5971	. . .	
EXO	1	9	36235	רַ֥ב	H7227	[have become] too numerous	
EXO	1	9	36236	וְעָצ֖וּם	H6099	and too powerful	
EXO	1	9	36237	מִמֶּֽנּוּ׃	H4480	for us	.
EXO	1	10	36248	הָ֥בָה	H3051	Come	,
EXO	1	10	36249	נִֽתְחַכְּמָ֖ה	H2449	let us deal shrewdly	
EXO	1	10	36250	ל֑וֹ		with them	,
EXO	1	10	36251	פֶּן־	H6435	or	
EXO	1	10	36252	יִרְבֶּ֗ה	H7235	they will increase even more	;
EXO	1	10	36253	וְהָיָ֞ה	H1961	and if	
EXO	1	10	36254	כִּֽי־	H3588	. . .	
EXO	1	10	36256	מִלְחָמָה֙	H4421	a war	
EXO	1	10	36255	תִקְרֶ֤אנָה	H7122	breaks out	,
EXO	1	10	36259	הוּא֙	H1931	they	
EXO	1	10	36260	עַל־	H5921	. . .	
EXO	1	10	36257	וְנוֹסַ֤ף	H3254	may join	
EXO	1	10	36258	גַּם־	H1571	. . .	
EXO	1	10	36261	שֹׂ֣נְאֵ֔ינוּ	H8130	our enemies	,
EXO	1	10	36262	וְנִלְחַם־	H3898	fight	
EXO	1	10	36263	בָּ֖נוּ		against us	,
EXO	1	10	36264	וְעָלָ֥ה	H5927	and leave	
EXO	1	10	36265	מִן־	H4480	. . .	
EXO	1	10	36266	הָאָֽרֶץ׃	H776	the country	.
EXO	1	11	36277	וַיָּשִׂ֤ימוּ	H7760	So [the Egyptians] appointed	
EXO	1	11	36279	שָׂרֵ֣י	H8269	taskmasters	
EXO	1	11	36280	מִסִּ֔ים	H4522	. . .	
EXO	1	11	36278	עָלָיו֙	H5921	over	
EXO	1	11	36281	לְמַ֥עַן	H4616	the Israelites to	
EXO	1	11	36282	עַנֹּת֖וֹ	H6031	oppress them	
EXO	1	11	36283	בְּסִבְלֹתָ֑ם	H5450	with forced labor	.
EXO	1	11	36284	וַיִּ֜בֶן	H1129	As a result, they built	
EXO	1	11	36289	פִּתֹ֖ם	H6619	Pithom	
EXO	1	11	36290	וְאֶת־	H853	-	
EXO	1	11	36291	רַעַמְסֵֽס׃	H7486	and Rameses	
EXO	1	11	36286	מִסְכְּנוֹת֙	H4543	as store	
EXO	1	11	36285	עָרֵ֤י	H5892	cities	
EXO	1	11	36287	לְפַרְעֹ֔ה	H6547	for Pharaoh	
EXO	1	11	36288	אֶת־	H853	-	.
EXO	1	12	36302	וְכַאֲשֶׁר֙	H834	-	
EXO	1	12	36303	יְעַנּ֣וּ	H6031	But the more they were oppressed	,
EXO	1	12	36304	אֹת֔וֹ	H853	-	
EXO	1	12	36305	כֵּ֥ן	H3651	-	
EXO	1	12	36306	יִרְבֶּ֖ה	H7235	the more they multiplied	
EXO	1	12	36307	וְכֵ֣ן	H3651	. . .	
EXO	1	12	36308	יִפְרֹ֑ץ	H6555	and flourished	;
EXO	1	12	36309	וַיָּקֻ֕צוּ	H6973	so the Egyptians came to dread	
EXO	1	12	36310	מִפְּנֵ֖י	H6440	. . .	
EXO	1	12	36311	בְּנֵ֥י	H1121	the Israelites	
EXO	1	12	36312	יִשְׂרָאֵֽל׃	H3478	. . .	.
EXO	1	13	36323	וַיַּעֲבִ֧דוּ	H5647	They worked	
EXO	1	13	36324	מִצְרַ֛יִם	H4713	. . .	
EXO	1	13	36325	אֶת־	H853	-	
EXO	1	13	36326	בְּנֵ֥י	H1121	the Israelites	
EXO	1	13	36327	יִשְׂרָאֵ֖ל	H3478	. . .	
EXO	1	13	36328	בְּפָֽרֶךְ׃	H6531	ruthlessly	
EXO	1	14	36341	חַיֵּיהֶ֜ם	H2416	and made their lives	
EXO	1	14	36339	וַיְמָרְר֨וּ	H4843	bitter	
EXO	1	14	36340	אֶת־	H853	-	
EXO	1	14	36343	קָשָׁ֗ה	H7186	with hard	
EXO	1	14	36342	בַּעֲבֹדָ֣ה	H5656	labor	
EXO	1	14	36345	וּבִלְבֵנִ֔ים	H3843	in brick	
EXO	1	14	36344	בְּחֹ֙מֶר֙	H2563	and mortar	,
EXO	1	14	36346	וּבְכָל־	H3605	and with all kinds	
EXO	1	14	36347	עֲבֹדָ֖ה	H5656	of work	
EXO	1	14	36348	בַּשָּׂדֶ֑ה	H7704	in the fields	.
EXO	1	14	36349	אֵ֚ת	H853	-	
EXO	1	14	36350	כָּל־	H3605	Every	
EXO	1	14	36351	עֲבֹ֣דָתָ֔ם	H5656	service	
EXO	1	14	36352	אֲשֶׁר־	H834	-	
EXO	1	14	36353	עָבְד֥וּ	H5647	they imposed	
EXO	1	14	36354	בָהֶ֖ם			
EXO	1	14	36355	בְּפָֽרֶךְ׃	H6531	was harsh	.
EXO	1	15	36367	מֶ֣לֶךְ	H4428	Then the king	
EXO	1	15	36368	מִצְרַ֔יִם	H4714	of Egypt	
EXO	1	15	36366	וַיֹּ֙אמֶר֙	H559	said	
