book	chapter	verse	sort	hebrew	strong	bsb	pnc
EZK	1	1	476939	וַיְהִ֣י׀	H1961	-	
EZK	1	1	476940	בִּשְׁלֹשִׁ֣ים	H7970	In the thirtieth	
EZK	1	1	476941	שָׁנָ֗ה	H8141	year	,
EZK	1	1	476943	בַּחֲמִשָּׁ֣ה	H2568	on the fifth	
EZK	1	1	476944	לַחֹ֔דֶשׁ	H2320	day	
EZK	1	1	476942	בָּֽרְבִיעִי֙	H7243	of the fourth month	,
EZK	1	1	476945	וַאֲנִ֥י	H589	while I	
EZK	1	1	476946	בְתֽוֹךְ־	H8432	was among	
EZK	1	1	476947	הַגּוֹלָ֖ה	H1473	the exiles	
EZK	1	1	476948	עַל־	H5921	by	
EZK	1	1	476949	נְהַר־	H5104	the River	
EZK	1	1	476950	כְּבָ֑ר	H3529	Kebar	,
EZK	1	1	476952	הַשָּׁמַ֔יִם	H8064	the heavens	
EZK	1	1	476951	נִפְתְּחוּ֙	H6605	opened	
EZK	1	1	476953	וָאֶרְאֶ֖ה	H7200	and I saw	
EZK	1	1	476954	מַרְא֥וֹת	H4759	visions	
EZK	1	1	476955	אֱלֹהִֽים׃	H430	of God	.
EZK	1	2	476966	בַּחֲמִשָּׁ֖ה	H2568	On the fifth	
EZK	1	2	476967	לַחֹ֑דֶשׁ	H2320	day of the month	—
EZK	1	2	476968	הִ֚יא	H1931	it	
EZK	1	2	476970	הַחֲמִישִׁ֔ית	H2549	was the fifth	
EZK	1	2	476969	הַשָּׁנָ֣ה	H8141	year	
EZK	1	2	476971	לְגָל֖וּת	H1546	of the exile	
EZK	1	2	476972	הַמֶּ֥לֶךְ	H4428	of King	
EZK	1	2	476973	יוֹיָכִֽין׃	H3112	Jehoiachin	—
EZK	1	3	476986	דְבַר־	H1697	the word	
EZK	1	3	476987	יְ֠הוָה	H3068	of the LORD	
EZK	1	3	476984	הָיֹ֣ה	H1961	came directly	
EZK	1	3	476985	הָיָ֣ה	H1961	. . .	
EZK	1	3	476988	אֶל־	H413	to	
EZK	1	3	476989	יְחֶזְקֵ֨אל	H3168	Ezekiel	
EZK	1	3	476992	הַכֹּהֵ֛ן	H3548	the priest	,
EZK	1	3	476990	בֶּן־	H1121	the son	
EZK	1	3	476991	בּוּזִ֧י	H941	of Buzi	,
EZK	1	3	476993	בְּאֶ֥רֶץ	H776	in the land	
EZK	1	3	476994	כַּשְׂדִּ֖ים	H3778	of the Chaldeans	
EZK	1	3	476995	עַל־	H5921	by	
EZK	1	3	476996	נְהַר־	H5104	the River	
EZK	1	3	476997	כְּבָ֑ר	H3529	Kebar	.
EZK	1	3	477000	שָׁ֖ם	H8033	And there	
EZK	1	3	477002	יְהוָֽה׃	H3068	the LORD’s	
EZK	1	3	477001	יַד־	H3027	hand	
EZK	1	3	476998	וַתְּהִ֥י	H1961	was	
EZK	1	3	476999	עָלָ֛יו	H5921	upon him	.
EZK	1	4	477013	וָאֵ֡רֶא	H7200	I looked	
EZK	1	4	477014	וְהִנֵּה֩	H2009	and saw	
EZK	1	4	477015	ר֨וּחַ	H7307	a whirlwind	
EZK	1	4	477016	סְעָרָ֜ה	H5591	. . .	
EZK	1	4	477017	בָּאָ֣ה	H935	coming	
EZK	1	4	477018	מִן־	H4480	from	
EZK	1	4	477019	הַצָּפ֗וֹן	H6828	the north	,
EZK	1	4	477021	גָּדוֹל֙	H1419	a great	
EZK	1	4	477020	עָנָ֤ן	H6051	cloud	
EZK	1	4	477022	וְאֵ֣שׁ	H784	with fire	
EZK	1	4	477023	מִתְלַקַּ֔חַת	H3947	flashing back and forth	
EZK	1	4	477024	וְנֹ֥גַֽהּ	H5051	and brilliant light	
EZK	1	4	477026	סָבִ֑יב	H5439	all around	
EZK	1	4	477025	ל֖וֹ		it	.
EZK	1	4	477027	וּמִ֨תּוֹכָ֔הּ	H8432	In the center	
EZK	1	4	477031	הָאֵֽשׁ׃	H784	of the fire	
EZK	1	4	477028	כְּעֵ֥ין	H5869	was a gleam	
EZK	1	4	477029	הַחַשְׁמַ֖ל	H2830	like amber	
EZK	1	4	477030	מִתּ֥וֹךְ	H8432	. . .	,
EZK	1	5	477042	וּמִ֨תּוֹכָ֔הּ	H8432	and within it	
EZK	1	5	477043	דְּמ֖וּת	H1823	[was] the form	
EZK	1	5	477044	אַרְבַּ֣ע	H702	of four	
EZK	1	5	477045	חַיּ֑וֹת	H2416	living creatures	.
EZK	1	5	477046	וְזֶה֙	H2088	And this [was]	
EZK	1	5	477047	מַרְאֵֽיהֶ֔ן	H4758	their appearance	:
EZK	1	5	477050	לָהֵֽנָּה׃		They had	
EZK	1	5	477049	אָדָ֖ם	H120	a human	
EZK	1	5	477048	דְּמ֥וּת	H1823	form	,
EZK	1	6	477063	לְאֶחָ֑ת	H259	but each	
EZK	1	6	477061	וְאַרְבָּעָ֥ה	H702	had four	
EZK	1	6	477062	פָנִ֖ים	H6440	faces	
EZK	1	6	477064	וְאַרְבַּ֥ע	H702	and four	
EZK	1	6	477065	כְּנָפַ֖יִם	H3671	wings	
EZK	1	6	477066	לְאַחַ֥ת	H259	. . .	.
EZK	1	6	477067	לָהֶֽם׃			
EZK	1	7	477078	וְרַגְלֵיהֶ֖ם	H7272	Their legs	
EZK	1	7	477080	יְשָׁרָ֑ה	H3477	were straight	,
EZK	1	7	477081	וְכַ֣ף	H3709	and the soles	
EZK	1	7	477079	רֶ֣גֶל	H7272	of their feet	
EZK	1	7	477083	כְּכַף֙	H3709	were like the hooves	
EZK	1	7	477084	רֶ֣גֶל	H7272	. . .	
EZK	1	7	477082	רַגְלֵיהֶ֗ם	H7272	. . .	
EZK	1	7	477085	עֵ֔גֶל	H5695	of a calf	,
EZK	1	7	477086	וְנֹ֣צְצִ֔ים	H5340	gleaming	
EZK	1	7	477087	כְּעֵ֖ין	H5869	like	
EZK	1	7	477089	קָלָֽל׃	H7044	polished	
EZK	1	7	477088	נְחֹ֥שֶׁת	H5178	bronze	.
EZK	1	8	477105	מִתַּ֙חַת֙	H8478	Under	
EZK	1	8	477106	כַּנְפֵיהֶ֔ם	H3671	their wings	
EZK	1	8	477107	עַ֖ל	H5921	on	
EZK	1	8	477108	אַרְבַּ֣עַת	H702	their four	
EZK	1	8	477109	רִבְעֵיהֶ֑ם	H7253	sides	
EZK	1	8	477104	אָדָ֗ם	H120	they had human	
EZK	1	8	477102	וְיָדוֹ	H3027	hands	.
EZK	1	8	477112	לְאַרְבַּעְתָּֽם׃	H702	All four [living creatures]	
EZK	1	8	477110	וּפְנֵיהֶ֥ם	H6440	had faces	
EZK	1	8	477111	וְכַנְפֵיהֶ֖ם	H3671	and wings	,
EZK	1	9	477127	כַּנְפֵיהֶ֑ם	H3671	and their wings	
EZK	1	9	477123	חֹֽבְרֹ֛ת	H2266	were touching	
EZK	1	9	477125	אֶל־	H413	one	
EZK	1	9	477126	אֲחוֹתָ֖הּ	H269	another	.
EZK	1	9	477124	אִשָּׁ֥ה	H802	. . .	
EZK	1	9	477128	לֹא־	H3808	They did not	
EZK	1	9	477129	יִסַּ֣בּוּ	H5437	turn	
EZK	1	9	477130	בְלֶכְתָּ֔ן	H1980	as they moved	;
EZK	1	9	477131	אִ֛ישׁ	H376	each	
EZK	1	9	477132	אֶל־	H413	. . .	
EZK	1	9	477135	יֵלֵֽכוּ׃	H1980	one went	
EZK	1	9	477133	עֵ֥בֶר	H5676	straight	
EZK	1	9	477134	פָּנָ֖יו	H6440	ahead	.
EZK	1	10	477146	וּדְמ֣וּת	H1823	The form	
EZK	1	10	477147	פְּנֵיהֶם֮	H6440	of their faces	
EZK	1	10	477148	פְּנֵ֣י	H6440	was that	
EZK	1	10	477149	אָדָם֒	H120	of a man	,
EZK	1	10	477154	לְאַרְבַּעְתָּ֔ם	H702	and each of the four	
EZK	1	10	477150	וּפְנֵ֨י	H6440	had the face	
EZK	1	10	477151	אַרְיֵ֤ה	H738	of a lion	
EZK	1	10	477152	אֶל־	H413	on	
EZK	1	10	477153	הַיָּמִין֙	H3225	the right side	,
EZK	1	10	477155	וּפְנֵי־	H6440	the face	
EZK	1	10	477156	שׁ֥וֹר	H7794	of an ox	
EZK	1	10	477157	מֵֽהַשְּׂמֹ֖אול	H8040	on the left side	,
EZK	1	10	477158	לְאַרְבַּעְתָּ֑ן	H702	and also	
EZK	1	10	477159	וּפְנֵי־	H6440	the face	
EZK	1	10	477160	נֶ֖שֶׁר	H5404	of an eagle	
EZK	1	10	477161	לְאַרְבַּעְתָּֽן׃	H702	. . .	.
EZK	1	11	477172	וּפְנֵיהֶ֕ם	H6440	Such were their faces	.
EZK	1	11	477173	וְכַנְפֵיהֶ֥ם	H3671	Their wings	
EZK	1	11	477174	פְּרֻד֖וֹת	H6504	were spread	
EZK	1	11	477175	מִלְמָ֑עְלָה	H4605	upward	;
EZK	1	11	477176	לְאִ֗ישׁ	H376	each [had]	
EZK	1	11	477177	שְׁ֚תַּיִם	H8147	two [wings]	
EZK	1	11	477178	חֹבְר֣וֹת	H2266	touching	
EZK	1	11	477179	אִ֔ישׁ	H376	the wings of the creature on either side	,
EZK	1	11	477180	וּשְׁתַּ֣יִם	H8147	and two	
EZK	1	11	477181	מְכַסּ֔וֹת	H3680	wings covering	
EZK	1	11	477182	אֵ֖ת	H853	its	
EZK	1	11	477183	גְּוִיֹתֵיהֶֽנָה׃	H1472	body	.
EZK	1	12	477194	וְאִ֛ישׁ	H376	Each	
EZK	1	12	477198	יֵלֵ֑כוּ	H1980	[creature] went	
EZK	1	12	477195	אֶל־	H413	straight ahead	
EZK	1	12	477196	עֵ֥בֶר	H5676	. . .	
EZK	1	12	477197	פָּנָ֖יו	H6440	. . .	.
EZK	1	12	477199	אֶ֣ל	H413	Wherever	
EZK	1	12	477200	אֲשֶׁר֩	H834	-	
EZK	1	12	477201	יִֽהְיֶה־	H1961	-	
EZK	1	12	477202	שָׁ֨מָּה	H8033	. . .	
EZK	1	12	477203	הָר֤וּחַ	H7307	the spirit	
EZK	1	12	477204	לָלֶ֙כֶת֙	H1980	would go	,
EZK	1	12	477205	יֵלֵ֔כוּ	H1980	they would go	,
EZK	1	12	477206	לֹ֥א	H3808	without	
EZK	1	12	477207	יִסַּ֖בּוּ	H5437	turning	
EZK	1	12	477208	בְּלֶכְתָּֽן׃	H1980	as they moved	.
EZK	1	13	477219	וּדְמ֨וּת	H1823	In the midst	
EZK	1	13	477220	הַחַיּ֜וֹת	H2416	of the living creatures	
EZK	1	13	477221	מַרְאֵיהֶ֣ם	H4758	was the appearance	
EZK	1	13	477223	אֵ֗שׁ	H784	of glowing	
EZK	1	13	477222	כְּגַחֲלֵי־	H1513	coals	
EZK	1	13	477224	בֹּֽעֲרוֹת֙	H1197	of fire	,
EZK	1	13	477225	כְּמַרְאֵ֣ה	H4758	[or]	
EZK	1	13	477226	הַלַּפִּדִ֔ים	H3940	of torches	.
EZK	1	13	477227	הִ֕יא	H1931	. . .	
EZK	1	13	477232	לָאֵ֔שׁ	H784	Fire	
EZK	1	13	477228	מִתְהַלֶּ֖כֶת	H1980	moved back and forth	
