book	chapter	verse	sort	hebrew	strong	bsb	pnc
EZR	1	1	298460	אַחַ֗ת	H259	In the first	
EZR	1	1	298459	וּבִשְׁנַ֣ת	H8141	year	
EZR	1	1	298461	לְכ֙וֹרֶשׁ֙	H3566	of Cyrus	
EZR	1	1	298462	מֶ֣לֶךְ	H4428	king	
EZR	1	1	298463	פָּרַ֔ס	H6539	of Persia	,
EZR	1	1	298464	לִכְל֥וֹת	H3615	to fulfill	
EZR	1	1	298465	דְּבַר־	H1697	the word	
EZR	1	1	298466	יְהוָ֖ה	H3068	of the LORD	
EZR	1	1	298467	מִפִּ֣י	H6310	spoken	
EZR	1	1	298468	יִרְמְיָ֑ה	H3414	through Jeremiah	,
EZR	1	1	298470	יְהוָ֗ה	H3068	the LORD	
EZR	1	1	298469	הֵעִ֣יר	H5782	stirred	
EZR	1	1	298471	אֶת־	H853	-	
EZR	1	1	298472	ר֙וּחַ֙	H7307	the spirit	
EZR	1	1	298473	כֹּ֣רֶשׁ	H3566	of Cyrus	
EZR	1	1	298474	מֶֽלֶךְ־	H4428	king	
EZR	1	1	298475	פָּרַ֔ס	H6539	of Persia	
EZR	1	1	298476	וַיַּֽעֲבֶר־	H5674	to send	
EZR	1	1	298477	קוֹל֙	H6963	a proclamation	
EZR	1	1	298478	בְּכָל־	H3605	throughout	
EZR	1	1	298479	מַלְכוּת֔וֹ	H4438	his kingdom	
EZR	1	1	298480	וְגַם־	H1571	and	
EZR	1	1	298481	בְּמִכְתָּ֖ב	H4385	to put it in writing	
EZR	1	1	298482	לֵאמֹֽר׃	H559	as follows	:
EZR	1	2	298493	כֹּ֣ה	H3541	This is what	
EZR	1	2	298495	כֹּ֚רֶשׁ	H3566	Cyrus	
EZR	1	2	298496	מֶ֣לֶךְ	H4428	king	
EZR	1	2	298497	פָּרַ֔ס	H6539	of Persia	
EZR	1	2	298494	אָמַ֗ר	H559	says	:
EZR	1	2	298503	יְהוָ֖ה	H3068	The LORD	,
EZR	1	2	298504	אֱלֹהֵ֣י	H430	the God	
EZR	1	2	298505	הַשָּׁמָ֑יִם	H8064	of heaven	,
EZR	1	2	298506	וְהֽוּא־	H1931	who	
EZR	1	2	298501	נָ֣תַן	H5414	has given	
EZR	1	2	298502	לִ֔י		me	
EZR	1	2	298498	כֹּ֚ל	H3605	all	
EZR	1	2	298499	מַמְלְכ֣וֹת	H4467	the kingdoms	
EZR	1	2	298500	הָאָ֔רֶץ	H776	of the earth	,
EZR	1	2	298507	פָקַ֤ד	H6485	has appointed	
EZR	1	2	298508	עָלַי֙	H5921	me	
EZR	1	2	298509	לִבְנֽוֹת־	H1129	to build	
EZR	1	2	298511	בַ֔יִת	H1004	a house	
EZR	1	2	298510	ל֣וֹ		for Him	
EZR	1	2	298512	בִּירוּשָׁלִַ֖ם	H3389	at Jerusalem	
EZR	1	2	298513	אֲשֶׁ֥ר	H834	-	
EZR	1	2	298514	בִּֽיהוּדָֽה׃	H3063	in Judah	.
EZR	1	3	298525	מִֽי־	H4310	Whoever	
EZR	1	3	298526	בָכֶ֣ם		among you	
EZR	1	3	298527	מִכָּל־	H3605	belongs to	
EZR	1	3	298528	עַמּ֗וֹ	H5971	His people	,
EZR	1	3	298530	אֱלֹהָיו֙	H430	may his God	
EZR	1	3	298529	יְהִ֤י	H1961	be	
EZR	1	3	298531	עִמּ֔וֹ	H5973	with him	,
EZR	1	3	298532	וְיַ֕עַל	H5927	and may he go	
EZR	1	3	298533	לִירוּשָׁלִַ֖ם	H3389	to Jerusalem	
EZR	1	3	298534	אֲשֶׁ֣ר	H834		
EZR	1	3	298535	בִּיהוּדָ֑ה	H3063	in Judah	
EZR	1	3	298536	וְיִ֗בֶן	H1129	and build	
EZR	1	3	298537	אֶת־	H853	-	
EZR	1	3	298538	בֵּ֤ית	H1004	the house	
EZR	1	3	298539	יְהוָה֙	H3068	of the LORD	,
EZR	1	3	298540	אֱלֹהֵ֣י	H430	the God	
EZR	1	3	298541	יִשְׂרָאֵ֔ל	H3478	of Israel	;
EZR	1	3	298542	ה֥וּא	H1931	He [is]	
EZR	1	3	298543	הָאֱלֹהִ֖ים	H430	the God	
EZR	1	3	298544	אֲשֶׁ֥ר	H834	who	
EZR	1	3	298545	בִּירוּשָׁלִָֽם׃	H3389	is in Jerusalem	.
EZR	1	4	298556	וְכָל־	H3605	And let every	
EZR	1	4	298557	הַנִּשְׁאָ֗ר	H7604	survivor	,
EZR	1	4	298558	מִֽכָּל־	H3605	wherever	
EZR	1	4	298559	הַמְּקֹמוֹת֮	H4725	. . .	
EZR	1	4	298560	אֲשֶׁ֣ר	H834	-	
EZR	1	4	298561	ה֣וּא	H1931	he	
EZR	1	4	298562	גָֽר־	H1481	lives	,
EZR	1	4	298563	שָׁם֒	H8033	. . .	
EZR	1	4	298564	יְנַשְּׂא֙וּהוּ֙	H5375	be assisted	
EZR	1	4	298565	אַנְשֵׁ֣י	H582	by the men	
EZR	1	4	298566	מְקֹמ֔וֹ	H4725	of that region	
EZR	1	4	298567	בְּכֶ֥סֶף	H3701	with silver	,
EZR	1	4	298568	וּבְזָהָ֖ב	H2091	gold	,
EZR	1	4	298569	וּבִרְכ֣וּשׁ	H7399	goods	,
EZR	1	4	298570	וּבִבְהֵמָ֑ה	H929	and livestock	,
EZR	1	4	298571	עִם־	H5973	along with	
EZR	1	4	298572	הַ֨נְּדָבָ֔ה	H5071	a freewill offering	
EZR	1	4	298573	לְבֵ֥ית	H1004	for the house	
EZR	1	4	298574	הָאֱלֹהִ֖ים	H430	of God	
EZR	1	4	298575	אֲשֶׁ֥ר	H834	-	
EZR	1	4	298576	בִּירוּשָׁלִָֽם׃	H3389	in Jerusalem	.
EZR	1	5	298589	הָאָב֗וֹת	H1	So the family	
EZR	1	5	298588	רָאשֵׁ֣י	H7218	heads	
EZR	1	5	298590	לִֽיהוּדָה֙	H3063	of Judah	
EZR	1	5	298591	וּבִנְיָמִ֔ן	H1144	and Benjamin	,
EZR	1	5	298592	וְהַכֹּהֲנִ֖ים	H3548	along with the priests	
EZR	1	5	298593	וְהַלְוִיִּ֑ם	H3881	and Levites	—
EZR	1	5	298594	לְכֹ֨ל	H3605	everyone	
EZR	1	5	298598	רוּח֔וֹ	H7307	whose spirit	
EZR	1	5	298596	הָאֱלֹהִים֙	H430	God	
EZR	1	5	298597	אֶת־	H853	-	
EZR	1	5	298595	הֵעִ֤יר	H5782	had stirred	—
EZR	1	5	298587	וַיָּק֜וּמוּ	H6965	prepared	
EZR	1	5	298599	לַעֲל֣וֹת	H5927	to go up	
EZR	1	5	298600	לִבְנ֔וֹת	H1129	and rebuild	
EZR	1	5	298601	אֶת־	H853	-	
EZR	1	5	298602	בֵּ֥ית	H1004	the house	
EZR	1	5	298603	יְהוָ֖ה	H3068	of the LORD	
EZR	1	5	298604	אֲשֶׁ֥ר	H834	-	
EZR	1	5	298605	בִּירוּשָׁלִָֽם׃	H3389	in Jerusalem	.
EZR	1	6	298616	וְכָל־	H3605	And all	
EZR	1	6	298617	סְבִיבֹֽתֵיהֶם֙	H5439	their neighbors	
EZR	1	6	298618	חִזְּק֣וּ	H2388	supported	
EZR	1	6	298619	בִֽידֵיהֶ֔ם	H3027	them	
EZR	1	6	298620	בִּכְלֵי־	H3627	with articles	
EZR	1	6	298621	כֶ֧סֶף	H3701	of silver	
EZR	1	6	298622	בַּזָּהָ֛ב	H2091	and gold	,
EZR	1	6	298623	בָּרְכ֥וּשׁ	H7399	with goods	
EZR	1	6	298624	וּבַבְּהֵמָ֖ה	H929	and livestock	,
EZR	1	6	298625	וּבַמִּגְדָּנ֑וֹת	H4030	and with valuables	,
EZR	1	6	298626	לְבַ֖ד	H905	in addition	
EZR	1	6	298627	עַל־	H5921	to	
EZR	1	6	298628	כָּל־	H3605	all	
EZR	1	6	298629	הִתְנַדֵּֽב׃ס	H5068	their freewill offerings	.
EZR	1	7	298641	וְהַמֶּ֣לֶךְ	H4428	King	
EZR	1	7	298642	כּ֔וֹרֶשׁ	H3566	Cyrus	
EZR	1	7	298643	הוֹצִ֖יא	H3318	also brought out	
EZR	1	7	298644	אֶת־	H853	-	
EZR	1	7	298645	כְּלֵ֣י	H3627	the articles	
EZR	1	7	298646	בֵית־	H1004	belonging to the house	
EZR	1	7	298647	יְהוָ֑ה	H3068	of the LORD	
EZR	1	7	298648	אֲשֶׁ֨ר	H834	that	
EZR	1	7	298650	נְבֽוּכַדְנֶצַּר֙	H5019	Nebuchadnezzar	
EZR	1	7	298649	הוֹצִ֤יא	H3318	had carried away	
EZR	1	7	298651	מִיר֣וּשָׁלִַ֔ם	H3389	from Jerusalem	
EZR	1	7	298652	וַֽיִּתְּנֵ֖ם	H5414	and placed	
EZR	1	7	298653	בְּבֵ֥ית	H1004	in the temple	
EZR	1	7	298654	אֱלֹהָֽיו׃	H430	of his gods	.
EZR	1	8	298666	כּ֚וֹרֶשׁ	H3566	Cyrus	
EZR	1	8	298667	מֶ֣לֶךְ	H4428	king	
EZR	1	8	298668	פָּרַ֔ס	H6539	of Persia	
