book	chapter	verse	sort	hebrew	strong	bsb	pnc
GEN	1	1	1	בְּרֵאשִׁ֖ית	H7225	In the beginning	
GEN	1	1	3	אֱלֹהִ֑ים	H430	God	
GEN	1	1	4	אֵ֥ת	H853	-	
GEN	1	1	2	בָּרָ֣א	H1254	created	
GEN	1	1	5	הַשָּׁמַ֖יִם	H8064	the heavens	
GEN	1	1	6	וְאֵ֥ת	H853	and	
GEN	1	1	7	הָאָֽרֶץ׃	H776	the earth	.
GEN	1	2	18	וְהָאָ֗רֶץ	H776	Now the earth	
GEN	1	2	19	הָיְתָ֥ה	H1961	was	
GEN	1	2	20	תֹ֙הוּ֙	H8414	formless	
GEN	1	2	21	וָבֹ֔הוּ	H922	and void	,
GEN	1	2	22	וְחֹ֖שֶׁךְ	H2822	and darkness	
GEN	1	2	23	עַל־	H5921	was over	
GEN	1	2	24	פְּנֵ֣י	H6440	the surface	
GEN	1	2	25	תְה֑וֹם	H8415	of the deep	.
GEN	1	2	26	וְר֣וּחַ	H7307	And the Spirit	
GEN	1	2	27	אֱלֹהִ֔ים	H430	of God	
GEN	1	2	28	מְרַחֶ֖פֶת	H7363	was hovering	
GEN	1	2	29	עַל־	H5921	over	
GEN	1	2	30	פְּנֵ֥י	H6440	the surface	
GEN	1	2	31	הַמָּֽיִם׃	H4325	of the waters	.
GEN	1	3	43	אֱלֹהִ֖ים	H430	And God	
GEN	1	3	42	וַיֹּ֥אמֶר	H559	said	,
GEN	1	3	44	יְהִ֣י	H1961	Let there be	
GEN	1	3	45	א֑וֹר	H216	light	,
GEN	1	3	46	וַֽיְהִי־	H1961	and there was	
GEN	1	3	47	אֽוֹר׃	H216	light	.
GEN	1	4	59	אֱלֹהִ֛ים	H430	And God	
GEN	1	4	60	אֶת־	H853	-	
GEN	1	4	58	וַיַּ֧רְא	H7200	saw	
GEN	1	4	62	כִּי־	H3588	that	
GEN	1	4	61	הָא֖וֹר	H216	the light	
GEN	1	4	63	ט֑וֹב	H2896	[was] good	,
GEN	1	4	65	אֱלֹהִ֔ים	H430	and [He]	
GEN	1	4	64	וַיַּבְדֵּ֣ל	H914	separated	
GEN	1	4	67	הָא֖וֹר	H216	the light	
GEN	1	4	68	וּבֵ֥ין	H996	from	
GEN	1	4	66	בֵּ֥ין	H996	. . .	
GEN	1	4	69	הַחֹֽשֶׁךְ׃	H2822	the darkness	.
GEN	1	5	81	אֱלֹהִ֤ים׀	H430	God	
GEN	1	5	80	וַיִּקְרָ֨א	H7121	called	
GEN	1	5	82	לָאוֹר֙	H216	the light	
GEN	1	5	83	י֔וֹם	H3117	day	,
GEN	1	5	84	וְלַחֹ֖שֶׁךְ	H2822	and the darkness	
GEN	1	5	85	קָ֣רָא	H7121	He called	
GEN	1	5	86	לָ֑יְלָה	H3915	night	.
GEN	1	5	87	וַֽיְהִי־	H1961	And there was	
GEN	1	5	88	עֶ֥רֶב	H6153	evening	,
GEN	1	5	89	וַֽיְהִי־	H1961	and there was	
GEN	1	5	90	בֹ֖קֶר	H1242	morning	—
GEN	1	5	92	אֶחָֽד׃פ	H259	the first	
GEN	1	5	91	י֥וֹם	H3117	day	.
GEN	1	6	105	אֱלֹהִ֔ים	H430	And God	
GEN	1	6	104	וַיֹּ֣אמֶר	H559	said	,
GEN	1	6	106	יְהִ֥י	H1961	Let there be	
GEN	1	6	107	רָקִ֖יעַ	H7549	an expanse	
GEN	1	6	108	בְּת֣וֹךְ	H8432	between	
GEN	1	6	109	הַמָּ֑יִם	H4325	the waters	,
GEN	1	6	110	וִיהִ֣י	H1961	to	
