book	chapter	verse	sort	hebrew	strong	bsb	pnc
HAB	1	1	533696	הַמַּשָׂא֙	H4853	[This is] the burden	
HAB	1	1	533697	אֲשֶׁ֣ר	H834	that	
HAB	1	1	533699	חֲבַקּ֖וּק	H2265	Habakkuk	
HAB	1	1	533700	הַנָּבִֽיא׃	H5030	the prophet	
HAB	1	1	533698	חָזָ֔ה	H2372	received in a vision	:
HAB	1	2	533711	עַד־	H5704	How long	
HAB	1	2	533712	אָ֧נָה	H575	. . .	,
HAB	1	2	533713	יְהוָ֛ה	H3068	O LORD	,
HAB	1	2	533714	שִׁוַּ֖עְתִּי	H7768	must I call for help	
HAB	1	2	533715	וְלֹ֣א	H3808	but You do not	
HAB	1	2	533716	תִשְׁמָ֑ע	H8085	hear	,
HAB	1	2	533717	אֶזְעַ֥ק	H2199	or cry out	
HAB	1	2	533718	אֵלֶ֛יךָ	H413	to You	,
HAB	1	2	533719	חָמָ֖ס	H2555	Violence	!
HAB	1	2	533720	וְלֹ֥א	H3808	but You do not	
HAB	1	2	533721	תוֹשִֽׁיעַ׃	H3467	save	?
HAB	1	3	533732	לָ֣מָּה	H4100	Why	
HAB	1	3	533733	תַרְאֵ֤נִי	H7200	do You make me see	
HAB	1	3	533734	אָ֙וֶן֙	H205	iniquity	?
HAB	1	3	533736	תַּבִּ֔יט	H5027	Why do You tolerate	
HAB	1	3	533735	וְעָמָ֣ל	H5999	wrongdoing	?
HAB	1	3	533737	וְשֹׁ֥ד	H7701	Destruction	
HAB	1	3	533738	וְחָמָ֖ס	H2555	and violence	
HAB	1	3	533739	לְנֶגְדִּ֑י	H5048	[are] before me	.
HAB	1	3	533741	רִ֦יב	H7379	Strife	
HAB	1	3	533740	וַיְהִ֧י	H1961	is ongoing	,
HAB	1	3	533742	וּמָד֖וֹן	H4066	and conflict	
HAB	1	3	533743	יִשָּֽׂא׃	H5375	abounds	.
HAB	1	4	533754	עַל־	H5921	Therefore	
HAB	1	4	533755	כֵּן֙	H3651	. . .	
HAB	1	4	533757	תּוֹרָ֔ה	H8451	the law	
HAB	1	4	533756	תָּפ֣וּג	H6313	is paralyzed	,
HAB	1	4	533761	מִשְׁפָּ֑ט	H4941	and justice	
HAB	1	4	533758	וְלֹֽא־	H3808	never	
HAB	1	4	533760	לָנֶ֖צַח	H5331	. . .	
HAB	1	4	533759	יֵצֵ֥א	H3318	goes forth	.
HAB	1	4	533762	כִּ֤י	H3588	For	
HAB	1	4	533763	רָשָׁע֙	H7563	the wicked	
HAB	1	4	533764	מַכְתִּ֣יר	H3803	hem in	
HAB	1	4	533765	אֶת־	H853	-	
HAB	1	4	533766	הַצַּדִּ֔יק	H6662	the righteous	,
HAB	1	4	533767	עַל־	H5921	so that	
HAB	1	4	533768	כֵּ֛ן	H3651	. . .	
HAB	1	4	533770	מִשְׁפָּ֖ט	H4941	justice	
HAB	1	4	533769	יֵצֵ֥א	H3318	is	
HAB	1	4	533771	מְעֻקָּֽל׃	H6127	perverted	.
HAB	1	5	533782	רְא֤וּ	H7200	Look	
HAB	1	5	533783	בַגּוֹיִם֙	H1471	at the nations	
HAB	1	5	533784	וְֽהַבִּ֔יטוּ	H5027	and observe	—
HAB	1	5	533785	וְהִֽתַּמְּה֖וּ	H8539	be utterly astounded	
HAB	1	5	533786	תְּמָ֑הוּ	H8539	. . .	!
HAB	1	5	533787	כִּי־	H3588	For	
HAB	1	5	533789	פֹּעֵ֣ל	H6466	[I am] doing	
HAB	1	5	533788	פֹ֙עַל֙	H6467	a work	
HAB	1	5	533790	בִּֽימֵיכֶ֔ם	H3117	in your days	
HAB	1	5	533791	לֹ֥א	H3808	that you would never	
HAB	1	5	533792	תַאֲמִ֖ינוּ	H539	believe	
HAB	1	5	533793	כִּ֥י	H3588	even if	
HAB	1	5	533794	יְסֻפָּֽר׃	H5608	[someone] told you	.
HAB	1	6	533805	כִּֽי־	H3588	For	
