book	chapter	verse	sort	hebrew	strong	bsb	pnc
HAG	1	1	536248	שְׁתַּ֙יִם֙	H8147	In the second	
HAG	1	1	536247	בִּשְׁנַ֤ת	H8141	year	
HAG	1	1	536250	הַמֶּ֔לֶךְ	H4428	of the reign	
HAG	1	1	536249	לְדָרְיָ֣וֶשׁ	H1867	of Darius	,
HAG	1	1	536254	אֶחָ֖ד	H259	on the first	
HAG	1	1	536255	לַחֹ֑דֶשׁ	H2320	. . .	
HAG	1	1	536253	בְּי֥וֹם	H3117	day	
HAG	1	1	536252	הַשִּׁשִּׁ֔י	H8345	of the sixth	
HAG	1	1	536251	בַּחֹ֙דֶשׁ֙	H2320	month	,
HAG	1	1	536257	דְבַר־	H1697	the word	
HAG	1	1	536258	יְהוָ֜ה	H3068	of the LORD	
HAG	1	1	536256	הָיָ֨ה	H1961	came	
HAG	1	1	536259	בְּיַד־	H3027	through	
HAG	1	1	536260	חַגַּ֣י	H2292	Haggai	
HAG	1	1	536261	הַנָּבִ֗יא	H5030	the prophet	
HAG	1	1	536262	אֶל־	H413	to	
HAG	1	1	536263	זְרֻבָּבֶ֤ל	H2216	Zerubbabel	
HAG	1	1	536264	בֶּן־	H1121	son	
HAG	1	1	536265	שְׁאַלְתִּיאֵל֙	H7597	of Shealtiel	,
HAG	1	1	536266	פַּחַ֣ת	H6346	governor	
HAG	1	1	536267	יְהוּדָ֔ה	H3063	of Judah	,
HAG	1	1	536268	וְאֶל־	H413	and to	
HAG	1	1	536269	יְהוֹשֻׁ֧עַ	H3091	Joshua	
HAG	1	1	536270	בֶּן־	H1121	son	
HAG	1	1	536271	יְהוֹצָדָ֛ק	H3087	of Jehozadak	,
HAG	1	1	536273	הַגָּד֖וֹל	H1419	the high	
HAG	1	1	536272	הַכֹּהֵ֥ן	H3548	priest	,
HAG	1	1	536274	לֵאמֹֽר׃	H559	stating	
HAG	1	2	536285	כֹּ֥ה	H3541	that this is what	
HAG	1	2	536287	יְהוָ֥ה	H3068	the LORD	
HAG	1	2	536288	צְבָא֖וֹת	H6635	of Hosts	
HAG	1	2	536286	אָמַ֛ר	H559	says	:
HAG	1	2	536291	הַזֶּה֙	H2088	These	
HAG	1	2	536292	אָֽמְר֔וּ	H559	. . .	
HAG	1	2	536290	הָעָ֤ם	H5971	people	
HAG	1	2	536289	לֵאמֹ֑ר	H559	say	,
HAG	1	2	536294	עֶת־	H6256	The time	
HAG	1	2	536293	לֹ֥א	H3808	has not yet	
HAG	1	2	536295	בֹּ֛א	H935	come	
HAG	1	2	536296	עֶת־	H6256	. . .	
HAG	1	2	536299	לְהִבָּנֽוֹת׃פ	H1129	to rebuild	
HAG	1	2	536297	בֵּ֥ית	H1004	the house	
HAG	1	2	536298	יְהוָ֖ה	H3068	of the LORD	.
HAG	1	3	536312	דְּבַר־	H1697	Then the word	
HAG	1	3	536313	יְהוָ֔ה	H3068	of the LORD	
HAG	1	3	536311	וַֽיְהִי֙	H1961	came	
HAG	1	3	536314	בְּיַד־	H3027	through	
HAG	1	3	536315	חַגַּ֥י	H2292	Haggai	
HAG	1	3	536316	הַנָּבִ֖יא	H5030	the prophet	,
HAG	1	3	536317	לֵאמֹֽר׃	H559	saying	:
HAG	1	4	536328	הַעֵ֤ת	H6256	Is it a time	
HAG	1	4	536329	לָכֶם֙		for you	
HAG	1	4	536330	אַתֶּ֔ם	H859	yourselves	
HAG	1	4	536331	לָשֶׁ֖בֶת	H3427	to live	
HAG	1	4	536333	סְפוּנִ֑ים	H5603	in your paneled	
HAG	1	4	536332	בְּבָתֵּיכֶ֣ם	H1004	houses	,
HAG	1	4	536335	הַזֶּ֖ה	H2088	while this	
HAG	1	4	536334	וְהַבַּ֥יִת	H1004	house	
HAG	1	4	536336	חָרֵֽב׃	H2720	lies in ruins	?
HAG	1	5	536347	וְעַתָּ֕ה	H6258	Now	
HAG	1	5	536348	כֹּ֥ה	H3541	this is what	
HAG	1	5	536350	יְהוָ֣ה	H3068	the LORD	
HAG	1	5	536351	צְבָא֑וֹת	H6635	of Hosts	
HAG	1	5	536349	אָמַ֖ר	H559	says	:
HAG	1	5	536352	שִׂ֥ימוּ	H7760	Consider carefully	
HAG	1	5	536353	לְבַבְכֶ֖ם	H3824	. . .	
HAG	1	5	536354	עַל־	H5921	. . .	
HAG	1	5	536355	דַּרְכֵיכֶֽם׃	H1870	your ways	.
HAG	1	6	536366	זְרַעְתֶּ֨ם	H2232	You have planted	
HAG	1	6	536367	הַרְבֵּ֜ה	H7235	much	
HAG	1	6	536368	וְהָבֵ֣א	H935	but harvested	
HAG	1	6	536369	מְעָ֗ט	H4592	little	.
HAG	1	6	536370	אָכ֤וֹל	H398	You eat	
HAG	1	6	536371	וְאֵין־	H369	but never	
HAG	1	6	536372	לְשָׂבְעָה֙	H7654	have enough	.
HAG	1	6	536373	שָׁת֣וֹ	H8354	You drink	
HAG	1	6	536374	וְאֵין־	H369	but never	
HAG	1	6	536375	לְשָׁכְרָ֔ה	H7937	have your fill	.
HAG	1	6	536376	לָב֖וֹשׁ	H3847	You put on clothes	
HAG	1	6	536377	וְאֵין־	H369	but never	
HAG	1	6	536378	לְחֹ֣ם	H2552	get warm	
HAG	1	6	536379	ל֑וֹ			.
HAG	1	6	536380	וְהַ֨מִּשְׂתַּכֵּ֔ר	H7936	You earn wages	
HAG	1	6	536381	מִשְׂתַּכֵּ֖ר	H7936	. . .	
HAG	1	6	536382	אֶל־	H413	to put into	
