book	chapter	verse	sort	hebrew	strong	bsb	pnc
HOS	1	1	518881	דְּבַר־	H1697	[This is] the word	
HOS	1	1	518882	יְהוָ֣ה׀	H3068	of the LORD	
HOS	1	1	518883	אֲשֶׁ֣ר	H834	that	
HOS	1	1	518884	הָיָ֗ה	H1961	came	
HOS	1	1	518885	אֶל־	H413	to	
HOS	1	1	518886	הוֹשֵׁ֙עַ֙	H1954	Hosea	
HOS	1	1	518887	בֶּן־	H1121	son	
HOS	1	1	518888	בְּאֵרִ֔י	H882	of Beeri	
HOS	1	1	518889	בִּימֵ֨י	H3117	in the days	
HOS	1	1	518890	עֻזִּיָּ֥ה	H5818	of Uzziah	,
HOS	1	1	518891	יוֹתָ֛ם	H3147	Jotham	,
HOS	1	1	518892	אָחָ֥ז	H271	Ahaz	,
HOS	1	1	518893	יְחִזְקִיָּ֖ה	H3169	and Hezekiah	,
HOS	1	1	518894	מַלְכֵ֣י	H4428	kings	
HOS	1	1	518895	יְהוּדָ֑ה	H3063	of Judah	,
HOS	1	1	518896	וּבִימֵ֛י	H3117	and [of]	
HOS	1	1	518897	יָרָבְעָ֥ם	H3379	Jeroboam	
HOS	1	1	518898	בֶּן־	H1121	son	
HOS	1	1	518899	יוֹאָ֖שׁ	H3101	of Jehoash	,
HOS	1	1	518900	מֶ֥לֶךְ	H4428	king	
HOS	1	1	518901	יִשְׂרָאֵֽל׃	H3478	of Israel	.
HOS	1	2	518914	יְהוָ֖ה	H3068	When the LORD	
HOS	1	2	518912	תְּחִלַּ֥ת	H8462	first	
HOS	1	2	518913	דִּבֶּר־	H1696	spoke	
HOS	1	2	518915	בְּהוֹשֵׁ֑עַ פ	H1954	through Hosea	,
HOS	1	2	518918	יְהוָ֜ה	H3068	He	
HOS	1	2	518917	וַיֹּ֨אמֶר	H559	told	
HOS	1	2	518919	אֶל־	H413	. . .	
HOS	1	2	518920	הוֹשֵׁ֗עַ	H1954	him	,
HOS	1	2	518921	לֵ֣ךְ	H1980	Go	,
HOS	1	2	518922	קַח־	H3947	take	
HOS	1	2	518925	זְנוּנִים֙	H2183	a prostitute	
HOS	1	2	518923	לְךָ֞		as your	
HOS	1	2	518924	אֵ֤שֶׁת	H802	wife	
HOS	1	2	518926	וְיַלְדֵ֣י	H3206	and have children	
HOS	1	2	518927	זְנוּנִ֔ים	H2183	of adultery	,
HOS	1	2	518928	כִּֽי־	H3588	because	
HOS	1	2	518931	הָאָ֔רֶץ	H776	this land	
HOS	1	2	518929	זָנֹ֤ה	H2181	is flagrantly prostituting itself	
HOS	1	2	518930	תִזְנֶה֙	H2181	. . .	
HOS	1	2	518932	מֵֽאַחֲרֵ֖י	H310	[by departing] from	
HOS	1	2	518933	יְהוָֽה׃	H3068	the LORD	.
HOS	1	3	518944	וַיֵּ֙לֶךְ֙	H1980	So [Hosea] went	
HOS	1	3	518945	וַיִּקַּ֔ח	H3947	and married	
HOS	1	3	518946	אֶת־	H853	-	
HOS	1	3	518947	גֹּ֖מֶר	H1586	Gomer	
HOS	1	3	518948	בַּת־	H1323	daughter	
HOS	1	3	518949	דִּבְלָ֑יִם	H1691	of Diblaim	,
HOS	1	3	518950	וַתַּ֥הַר	H2029	and she conceived	
HOS	1	3	518951	וַתֵּֽלֶד־	H3205	and bore	
HOS	1	3	518952	ל֖וֹ		him	
HOS	1	3	518953	בֵּֽן׃	H1121	a son	.
HOS	1	4	518965	יְהוָה֙	H3068	Then the LORD	
HOS	1	4	518964	וַיֹּ֤אמֶר	H559	said	
HOS	1	4	518966	אֵלָ֔יו	H413	to [Hosea]	,
HOS	1	4	518967	קְרָ֥א	H7121	Name him	
HOS	1	4	518968	שְׁמ֖וֹ	H8034	. . .	
HOS	1	4	518969	יִזְרְעֶ֑אל	H3157	Jezreel	,
HOS	1	4	518970	כִּי־	H3588	for	
HOS	1	4	518971	ע֣וֹד	H5750	soon	
HOS	1	4	518972	מְעַ֗ט	H4592	. . .	
HOS	1	4	518973	וּפָ֨קַדְתִּ֜י	H6485	I will bring	
HOS	1	4	518974	אֶת־	H853	-	
HOS	1	4	518975	דְּמֵ֤י	H1818	the bloodshed	
HOS	1	4	518976	יִזְרְעֶאל֙	H3157	of Jezreel	
HOS	1	4	518977	עַל־	H5921	upon	
HOS	1	4	518978	בֵּ֣ית	H1004	the house	
HOS	1	4	518979	יֵה֔וּא	H3058	of Jehu	,
HOS	1	4	518980	וְהִ֨שְׁבַּתִּ֔י	H7673	and I will put an end	
HOS	1	4	518981	מַמְלְכ֖וּת	H4468	to the kingdom	
HOS	1	4	518982	בֵּ֥ית	H1004	vvv	
HOS	1	4	518983	יִשְׂרָאֵֽל׃	H3478	of Israel	.
HOS	1	5	518994	וְהָיָ֖ה	H1961	And	
HOS	1	5	518996	הַה֑וּא	H1931	on that	
HOS	1	5	518995	בַּיּ֣וֹם	H3117	day	
HOS	1	5	518997	וְשָֽׁבַרְתִּי֙	H7665	I will break	
HOS	1	5	518998	אֶת־	H853	-	
HOS	1	5	518999	קֶ֣שֶׁת	H7198	the bow	
HOS	1	5	519000	יִשְׂרָאֵ֔ל	H3478	of Israel	
HOS	1	5	519001	בְּעֵ֖מֶק	H6010	in the Valley	
HOS	1	5	519002	יִזְרְעֶֽאל׃	H3157	of Jezreel	.
HOS	1	6	519014	עוֹד֙	H5750	[Gomer] again	
HOS	1	6	519013	וַתַּ֤הַר	H2029	conceived	
HOS	1	6	519015	וַתֵּ֣לֶד	H3205	and gave birth to	
HOS	1	6	519016	בַּ֔ת	H1323	a daughter	,
HOS	1	6	519017	וַיֹּ֣אמֶר	H559	and [the LORD] said	
HOS	1	6	519018	ל֔וֹ		to [Hosea]	,
HOS	1	6	519019	קְרָ֥א	H7121	Name	
HOS	1	6	519020	שְׁמָ֖הּ	H8034	her	
HOS	1	6	519021	לֹ֣א	H3819	vvv	
HOS	1	6	519022	רֻחָ֑מָה	H3819	Lo-ruhamah	,
HOS	1	6	519023	כִּי֩	H3588	for	
HOS	1	6	519024	לֹ֨א	H3808	I will no	
HOS	1	6	519025	אוֹסִ֜יף	H3254	longer	
HOS	1	6	519026	ע֗וֹד	H5750	. . .	
HOS	1	6	519027	אֲרַחֵם֙	H7355	have compassion	
HOS	1	6	519028	אֶת־	H853	-	
HOS	1	6	519029	בֵּ֣ית	H1004	on the house	
HOS	1	6	519030	יִשְׂרָאֵ֔ל	H3478	of Israel	,
HOS	1	6	519031	כִּֽי־	H3588	that	
HOS	1	6	519032	נָשֹׂ֥א	H5375	I should ever forgive	
HOS	1	6	519033	אֶשָּׂ֖א	H5375	. . .	
HOS	1	6	519034	לָהֶֽם׃		them	.
HOS	1	7	519045	וְאֶת־	H853	Yet	
HOS	1	7	519048	אֲרַחֵ֔ם	H7355	I will have compassion	
HOS	1	7	519046	בֵּ֤ית	H1004	on the house	
HOS	1	7	519047	יְהוּדָה֙	H3063	of Judah	,
HOS	1	7	519049	וְהֽוֹשַׁעְתִּ֖ים	H3467	and I will save them	—
HOS	1	7	519052	וְלֹ֣א	H3808	not	
HOS	1	7	519053	אֽוֹשִׁיעֵ֗ם	H3467	-	
HOS	1	7	519054	בְּקֶ֤שֶׁת	H7198	by bow	
HOS	1	7	519055	וּבְחֶ֙רֶב֙	H2719	or sword	
HOS	1	7	519056	וּבְמִלְחָמָ֔ה	H4421	or war	,
HOS	1	7	519057	בְּסוּסִ֖ים	H5483	not by horses	
HOS	1	7	519058	וּבְפָרָשִֽׁים׃	H6571	and cavalry	,
HOS	1	7	519050	בַּיהוָ֣ה	H3068	but by the LORD	
HOS	1	7	519051	אֱלֹֽהֵיהֶ֑ם	H430	their God	.
HOS	1	8	519069	וַתִּגְמֹ֖ל	H1580	After she had weaned	
HOS	1	8	519070	אֶת־	H853	-	
HOS	1	8	519071	לֹ֣א	H3819	vvv	
HOS	1	8	519072	רֻחָ֑מָה	H3819	Lo-ruhamah	,
HOS	1	8	519073	וַתַּ֖הַר	H2029	[Gomer] conceived	
HOS	1	8	519074	וַתֵּ֥לֶד	H3205	and gave birth to	
HOS	1	8	519075	בֵּֽן׃	H1121	a son	.
HOS	1	9	519086	וַיֹּ֕אמֶר	H559	And [the LORD] said	,
HOS	1	9	519087	קְרָ֥א	H7121	Name	
HOS	1	9	519088	שְׁמ֖וֹ	H8034	him	
HOS	1	9	519089	לֹ֣א	H3818	vvv	
HOS	1	9	519090	עַמִּ֑י	H3818	Lo-ammi	,
HOS	1	9	519091	כִּ֤י	H3588	for	
HOS	1	9	519092	אַתֶּם֙	H859	you	
HOS	1	9	519093	לֹ֣א	H3808	are not	
HOS	1	9	519094	עַמִּ֔י	H5971	My people	,
HOS	1	9	519095	וְאָנֹכִ֖י	H595	and I	
HOS	1	9	519096	לֹֽא־	H3808	am not	
HOS	1	9	519097	אֶהְיֶ֥ה	H1961	your God	
HOS	1	9	519099.5	לָכֶֽם׃ס		. . .	.
HOS	1	10	519111	מִסְפַּ֤ר	H4557	Yet the number	
HOS	1	10	519112	בְּנֵֽי־	H1121	vvv	
HOS	1	10	519113	יִשְׂרָאֵל֙	H3478	of the Israelites	
HOS	1	10	519110	וְֽ֠הָיָה	H1961	will be	
HOS	1	10	519114	כְּח֣וֹל	H2344	like the sand	
HOS	1	10	519115	הַיָּ֔ם	H3220	of the sea	,
HOS	1	10	519116	אֲשֶׁ֥ר	H834	which	
HOS	1	10	519117	לֹֽא־	H3808	cannot	
HOS	1	10	519118	יִמַּ֖ד	H4058	be measured	
HOS	1	10	519119	וְלֹ֣א	H3808	[or]	
HOS	1	10	519120	יִסָּפֵ֑ר	H5608	counted	.
HOS	1	10	519121	וְֽ֠הָיָה	H1961	And it will happen that	
HOS	1	10	519122	בִּמְק֞וֹם	H4725	in the [very] place	
HOS	1	10	519123	אֲשֶׁר־	H834	where	
HOS	1	10	519124	יֵאָמֵ֤ר	H559	it was said	
HOS	1	10	519125	לָהֶם֙		to them	,
HOS	1	10	519128	אַתֶּ֔ם	H859	You	
HOS	1	10	519126	לֹֽא־	H3808	[are] not	
HOS	1	10	519127	עַמִּ֣י	H5971	My people	,
HOS	1	10	519129	יֵאָמֵ֥ר	H559	they will be called	
HOS	1	10	519130	לָהֶ֖ם		. . .	
HOS	1	10	519131	בְּנֵ֥י	H1121	sons	
HOS	1	10	519133	חָֽי׃	H2416	of the living	
HOS	1	10	519132	אֵֽל־	H410	God	.
HOS	1	11	519145	בְּנֵֽי־	H1121	Then the people	
HOS	1	11	519146	יְהוּדָ֤ה	H3063	of Judah	
HOS	1	11	519147	וּבְנֵֽי־	H1121	[and]	
HOS	1	11	519148	יִשְׂרָאֵל֙	H3478	of Israel	
HOS	1	11	519144	וְ֠נִקְבְּצוּ	H6908	will be gathered	
HOS	1	11	519149	יַחְדָּ֔ו	H3162	together	,
HOS	1	11	519150	וְשָׂמ֥וּ	H7760	and they will appoint	
HOS	1	11	519151	לָהֶ֛ם		for themselves	
HOS	1	11	519153	אֶחָ֖ד	H259	one	
HOS	1	11	519152	רֹ֥אשׁ	H7218	leader	,
HOS	1	11	519154	וְעָל֣וּ	H5927	and will go up	
HOS	1	11	519155	מִן־	H4480	out	
HOS	1	11	519156	הָאָ֑רֶץ	H776	of the land	.
HOS	1	11	519157	כִּ֥י	H3588	For	
HOS	1	11	519158	גָד֖וֹל	H1419	great [will be]	
HOS	1	11	519159	י֥וֹם	H3117	the day	
HOS	1	11	519160	יִזְרְעֶֽאל׃	H3157	of Jezreel	.
HOS	2	1	519171	אִמְר֥וּ	H559	Say	
HOS	2	1	519172	לַאֲחֵיכֶ֖ם	H251	of your brothers	,
HOS	2	1	519173	עַמִּ֑י	H5971	My people	,
HOS	2	1	519174	וְלַאֲחֽוֹתֵיכֶ֖ם	H269	and of your sisters	,
HOS	2	1	519175	רֻחָֽמָה׃	H7355	My loved one	.
HOS	2	2	519186	רִ֤יבוּ	H7378	Rebuke	
HOS	2	2	519187	בְאִמְּכֶם֙	H517	your mother	,
HOS	2	2	519188	רִ֔יבוּ	H7378	rebuke her	,
HOS	2	2	519189	כִּֽי־	H3588	for	
HOS	2	2	519190	הִיא֙	H1931	she	
HOS	2	2	519191	לֹ֣א	H3808	is not	
HOS	2	2	519192	אִשְׁתִּ֔י	H802	My wife	,
HOS	2	2	519193	וְאָנֹכִ֖י	H595	and I	
HOS	2	2	519194	לֹ֣א	H3808	am not	
HOS	2	2	519195	אִישָׁ֑הּ	H376	her husband	.
HOS	2	2	519196	וְתָסֵ֤ר	H5493	Let her remove	
HOS	2	2	519197	זְנוּנֶ֙יהָ֙	H2183	the adultery	
HOS	2	2	519198	מִפָּנֶ֔יה	H6440	from her face	
HOS	2	2	519199	וְנַאֲפוּפֶ֖יהָ	H5005	and the unfaithfulness	
HOS	2	2	519200	מִבֵּ֥ין	H996	from between	
HOS	2	2	519201	שָׁדֶֽיהָ׃	H7699	her breasts	.
HOS	2	3	519212	פֶּן־	H6435	Otherwise	,
HOS	2	3	519213	אַפְשִׁיטֶ֣נָּה	H6584	I will strip her	
HOS	2	3	519214	עֲרֻמָּ֔ה	H6174	naked	
HOS	2	3	519215	וְהִ֨צַּגְתִּ֔יהָ	H3322	and expose her	
HOS	2	3	519216	כְּי֖וֹם	H3117	like the day	
HOS	2	3	519217	הִוָּֽלְדָ֑הּ	H3205	of her birth	.
HOS	2	3	519218	וְשַׂמְתִּ֣יהָ	H7760	I will make her	
HOS	2	3	519219	כַמִּדְבָּ֗ר	H4057	like a desert	
HOS	2	3	519220	וְשַׁתִּ֙הָ֙	H7896	and turn her into	
HOS	2	3	519222	צִיָּ֔ה	H6723	a parched	
HOS	2	3	519221	כְּאֶ֣רֶץ	H776	land	,
HOS	2	3	519223	וַהֲמִתִּ֖יהָ	H4191	and I will let her die	
HOS	2	3	519224	בַּצָּמָֽא׃	H6772	of thirst	.
HOS	2	4	519235	וְאֶת־	H853	-	
HOS	2	4	519237	לֹ֣א	H3808	I will have no	
HOS	2	4	519238	אֲרַחֵ֑ם	H7355	compassion	
HOS	2	4	519236	בָּנֶ֖יהָ	H1121	on her children	,
HOS	2	4	519239	כִּֽי־	H3588	because	
HOS	2	4	519242	הֵֽמָּה׃	H1992	they	
HOS	2	4	519240	בְנֵ֥י	H1121	are the children	
HOS	2	4	519241	זְנוּנִ֖ים	H2183	of adultery	.
HOS	2	5	519253	כִּ֤י	H3588	For	
HOS	2	5	519255	אִמָּ֔ם	H517	their mother	
HOS	2	5	519254	זָֽנְתָה֙	H2181	has played the harlot	
HOS	2	5	519257	הֽוֹרָתָ֑ם	H2029	and has conceived them	
HOS	2	5	519256	הֹבִ֖ישָׁה	H954	in disgrace	.
HOS	2	5	519258	כִּ֣י	H3588	For	
HOS	2	5	519259	אָמְרָ֗ה	H559	she thought	,
HOS	2	5	519260	אֵלְכָ֞ה	H1980	I will go	
HOS	2	5	519261	אַחֲרֵ֤י	H310	after	
HOS	2	5	519262	מְאַהֲבַי֙	H157	my lovers	,
HOS	2	5	519263	נֹתְנֵ֤י	H5414	who give me	
HOS	2	5	519264	לַחְמִי֙	H3899	bread	
HOS	2	5	519265	וּמֵימַ֔י	H4325	and water	,
HOS	2	5	519266	צַמְרִ֣י	H6785	wool	
HOS	2	5	519267	וּפִשְׁתִּ֔י	H6593	and linen	,
HOS	2	5	519268	שַׁמְנִ֖י	H8081	oil	
HOS	2	5	519269	וְשִׁקּוּיָֽי׃	H8250	and drink	.
HOS	2	6	519280	לָכֵ֛ן	H3651	Therefore	,
HOS	2	6	519281	הִנְנִי־	H2005	behold	,
HOS	2	6	519282	שָׂ֥ךְ	H7753	I will hedge up	
HOS	2	6	519283	אֶת־	H853	her	
HOS	2	6	519284	דַּרְכֵּ֖ךְ	H1870	path	
HOS	2	6	519285	בַּסִּירִ֑ים	H5518	with thorns	;
HOS	2	6	519286	וְגָֽדַרְתִּי֙	H1443	I will enclose her with a wall	
HOS	2	6	519287	אֶת־	H853	-	
HOS	2	6	519288	גְּדֵרָ֔הּ	H1447	-	,
HOS	2	6	519290	לֹ֥א	H3808	so she cannot	
HOS	2	6	519291	תִמְצָֽא׃	H4672	find	
HOS	2	6	519289	וּנְתִיבוֹתֶ֖יהָ	H5410	her way	.
HOS	2	7	519302	וְרִדְּפָ֤ה	H7291	She will pursue	
HOS	2	7	519303	אֶת־	H853	-	
HOS	2	7	519304	מְאַהֲבֶ֙יהָ֙	H157	her lovers	
HOS	2	7	519305	וְלֹֽא־	H3808	but not	
HOS	2	7	519306	תַשִּׂ֣יג	H5381	catch	
HOS	2	7	519307	אֹתָ֔ם	H853	them	;
HOS	2	7	519308	וּבִקְשָׁ֖תַם	H1245	she will seek them	
HOS	2	7	519309	וְלֹ֣א	H3808	but not	
HOS	2	7	519310	תִמְצָ֑א	H4672	find them	.
HOS	2	7	519311	וְאָמְרָ֗ה	H559	Then she will say	,
HOS	2	7	519312	אֵלְכָ֤ה	H1980	. . .	
HOS	2	7	519313	וְאָשׁ֙וּבָה֙	H7725	I will return	
HOS	2	7	519314	אֶל־	H413	to	
HOS	2	7	519316	הָֽרִאשׁ֔וֹן	H7223	my first	
HOS	2	7	519315	אִישִׁ֣י	H376	husband	,
HOS	2	7	519317	כִּ֣י	H3588	for	
HOS	2	7	519320	אָ֖ז	H227	then	
HOS	2	7	519318	ט֥וֹב	H2896	I was better off	
HOS	2	7	519319	לִ֛י		. . .	
HOS	2	7	519321	מֵעָֽתָּה׃	H6258	than now	.
