book	chapter	verse	sort	hebrew	strong	bsb	pnc
ISA	1	1	407274	חֲזוֹן֙	H2377	[This is] the vision	
ISA	1	1	407280	עַל־	H5921	concerning	
ISA	1	1	407281	יְהוּדָ֖ה	H3063	Judah	
ISA	1	1	407282	וִירוּשָׁלִָ֑ם	H3389	and Jerusalem	
ISA	1	1	407278	אֲשֶׁ֣ר	H834	that	
ISA	1	1	407275	יְשַֽׁעְיָ֣הוּ	H3470	Isaiah	
ISA	1	1	407276	בֶן־	H1121	son	
ISA	1	1	407277	אָמ֔וֹץ	H531	of Amoz	
ISA	1	1	407279	חָזָ֔ה	H2372	saw	
ISA	1	1	407283	בִּימֵ֨י	H3117	during the reigns	
ISA	1	1	407284	עֻזִּיָּ֧הוּ	H5818	of Uzziah	,
ISA	1	1	407285	יוֹתָ֛ם	H3147	Jotham	,
ISA	1	1	407286	אָחָ֥ז	H271	Ahaz	,
ISA	1	1	407287	יְחִזְקִיָּ֖הוּ	H2396	and Hezekiah	,
ISA	1	1	407288	מַלְכֵ֥י	H4428	kings	
ISA	1	1	407289	יְהוּדָֽה׃	H3063	of Judah	.
ISA	1	2	407300	שִׁמְע֤וּ	H8085	Listen	,
ISA	1	2	407301	שָׁמַ֙יִם֙	H8064	O heavens	,
ISA	1	2	407302	וְהַאֲזִ֣ינִי	H238	and give ear	,
ISA	1	2	407303	אֶ֔רֶץ	H776	O earth	,
ISA	1	2	407304	כִּ֥י	H3588	for	
ISA	1	2	407305	יְהוָ֖ה	H3068	the LORD	
ISA	1	2	407306	דִּבֵּ֑ר	H1696	has spoken	:
ISA	1	2	407308	גִּדַּ֣לְתִּי	H1431	I have raised	
ISA	1	2	407307	בָּנִים֙	H1121	children	
ISA	1	2	407309	וְרוֹמַ֔מְתִּי	H7311	and brought them up	,
ISA	1	2	407310	וְהֵ֖ם	H1992	but they	
ISA	1	2	407311	פָּ֥שְׁעוּ	H6586	have rebelled	
ISA	1	2	407312	בִֽי׃		against Me	.
ISA	1	3	407324	שׁוֹר֙	H7794	The ox	
ISA	1	3	407323	יָדַ֥ע	H3045	knows	
ISA	1	3	407325	קֹנֵ֔הוּ	H7069	its owner	,
ISA	1	3	407326	וַחֲמ֖וֹר	H2543	and the donkey	
ISA	1	3	407328	בְּעָלָ֑יו	H1167	its master’s	
ISA	1	3	407327	אֵב֣וּס	H18	manger	,
ISA	1	3	407329	יִשְׂרָאֵל֙	H3478	but Israel	
ISA	1	3	407330	לֹ֣א	H3808	does not	
ISA	1	3	407331	יָדַ֔ע	H3045	know	;
ISA	1	3	407332	עַמִּ֖י	H5971	My people	
ISA	1	3	407333	לֹ֥א	H3808	do not	
ISA	1	3	407334	הִתְבּוֹנָֽן׃	H995	understand	.
ISA	1	4	407345	ה֣וֹי׀	H1945	Alas	,
ISA	1	4	407347	חֹטֵ֗א	H2398	O sinful	
ISA	1	4	407346	גּ֣וֹי	H1471	nation	,
ISA	1	4	407348	עַ֚ם	H5971	a people	
ISA	1	4	407349	כֶּ֣בֶד	H3515	laden	
ISA	1	4	407350	עָוֺ֔ן	H5771	with iniquity	,
ISA	1	4	407351	זֶ֣רַע	H2233	a brood	
ISA	1	4	407352	מְרֵעִ֔ים	H7489	of evildoers	,
ISA	1	4	407353	בָּנִ֖ים	H1121	children	
ISA	1	4	407354	מַשְׁחִיתִ֑ים	H7843	who act corruptly	!
ISA	1	4	407355	עָזְב֣וּ	H5800	They have forsaken	
ISA	1	4	407356	אֶת־	H853	-	
ISA	1	4	407357	יְהוָ֗ה	H3068	the LORD	;
ISA	1	4	407358	נִֽאֲצ֛וּ	H5006	they have despised	
ISA	1	4	407359	אֶת־	H853	-	
ISA	1	4	407360	קְד֥וֹשׁ	H6918	the Holy	
ISA	1	4	407361	יִשְׂרָאֵ֖ל	H3478	One of Israel	
ISA	1	4	407362	נָזֹ֥רוּ	H2114	[and] turned	
ISA	1	4	407363	אָחֽוֹר׃	H268	their backs on Him	.
ISA	1	5	407374	עַ֣ל	H5921	Why	
ISA	1	5	407375	מֶ֥ה	H4100	. . .	
ISA	1	5	407377	ע֖וֹד	H5750	do you want more	
ISA	1	5	407376	תֻכּ֛וּ	H5221	beatings	?
ISA	1	5	407378	תּוֹסִ֣יפוּ	H3254	Why do you keep	
ISA	1	5	407379	סָרָ֑ה	H5627	rebelling	?
ISA	1	5	407381	רֹ֣אשׁ	H7218	Your head	
ISA	1	5	407380	כָּל־	H3605	has a massive	
ISA	1	5	407382	לָחֳלִ֔י	H2483	wound	,
ISA	1	5	407383	וְכָל־	H3605	and your whole	
ISA	1	5	407384	לֵבָ֖ב	H3824	heart	
ISA	1	5	407385	דַּוָּֽי׃	H1742	is afflicted	.
ISA	1	6	407396	מִכַּף־	H3709	From the sole	
ISA	1	6	407397	רֶ֤גֶל	H7272	of your foot	
ISA	1	6	407398	וְעַד־	H5704	to the top	
ISA	1	6	407399	רֹאשׁ֙	H7218	of your head	,
ISA	1	6	407400	אֵֽין־	H369	[there is] no	
ISA	1	6	407401	בּ֣וֹ			
ISA	1	6	407402	מְתֹ֔ם	H4974	soundness	—
ISA	1	6	407403	פֶּ֥צַע	H6482	only wounds	
ISA	1	6	407404	וְחַבּוּרָ֖ה	H2250	and welts	
ISA	1	6	407406	טְרִיָּ֑ה	H2961	and festering	
ISA	1	6	407405	וּמַכָּ֣ה	H4347	sores	
ISA	1	6	407407	לֹא־	H3808	neither	
ISA	1	6	407408	זֹ֙רוּ֙	H2115	cleansed	
ISA	1	6	407409	וְלֹ֣א	H3808	nor	
ISA	1	6	407410	חֻבָּ֔שׁוּ	H2280	bandaged	
ISA	1	6	407411	וְלֹ֥א	H3808	nor	
ISA	1	6	407412	רֻכְּכָ֖ה	H7401	soothed	
ISA	1	6	407413	בַּשָּֽׁמֶן׃	H8081	with oil	.
ISA	1	7	407424	אַרְצְכֶ֣ם	H776	Your land	
ISA	1	7	407425	שְׁמָמָ֔ה	H8077	is desolate	;
ISA	1	7	407426	עָרֵיכֶ֖ם	H5892	your cities	
ISA	1	7	407427	שְׂרֻפ֣וֹת	H8313	[are] burned	
ISA	1	7	407428	אֵ֑שׁ	H784	with fire	.
ISA	1	7	407431	זָרִים֙	H2114	Foreigners	
ISA	1	7	407432	אֹכְלִ֣ים	H398	devour	
ISA	1	7	407433	אֹתָ֔הּ	H853	-	
ISA	1	7	407429	אַדְמַתְכֶ֗ם	H127	your fields	
ISA	1	7	407430	לְנֶגְדְּכֶם֙	H5048	before you	—
ISA	1	7	407434	וּשְׁמָמָ֖ה	H8077	a desolation	
ISA	1	7	407435	כְּמַהְפֵּכַ֥ת	H4114	demolished	
ISA	1	7	407436	זָרִֽים׃	H2114	by strangers	.
ISA	1	8	407448	בַת־	H1323	And the Daughter	
ISA	1	8	407449	צִיּ֖וֹן	H6726	of Zion	
ISA	1	8	407447	וְנוֹתְרָ֥ה	H3498	is abandoned	
ISA	1	8	407450	כְּסֻכָּ֣ה	H5521	like a shelter	
ISA	1	8	407451	בְכָ֑רֶם	H3754	in a vineyard	,
ISA	1	8	407452	כִּמְלוּנָ֥ה	H4412	like a shack	
ISA	1	8	407453	בְמִקְשָׁ֖ה	H4750	in a cucumber field	,
ISA	1	8	407454	כְּעִ֥יר	H5892	like a city	
ISA	1	8	407455	נְצוּרָֽה׃	H5341	besieged	.
ISA	1	9	407466	לוּלֵי֙	H3884	Unless	
ISA	1	9	407467	יְהוָ֣ה	H3068	the LORD	
ISA	1	9	407468	צְבָא֔וֹת	H6635	of Hosts	
ISA	1	9	407469	הוֹתִ֥יר	H3498	had left	
ISA	1	9	407470	לָ֛נוּ		us	
ISA	1	9	407472	כִּמְעָ֑ט	H4592	a few	
ISA	1	9	407471	שָׂרִ֖יד	H8300	survivors	,
ISA	1	9	407474	הָיִ֔ינוּ	H1961	we would have become	
ISA	1	9	407473	כִּסְדֹ֣ם	H5467	like Sodom	,
ISA	1	9	407476	דָּמִֽינוּ׃ס	H1819	we would have resembled	
ISA	1	9	407475	לַעֲמֹרָ֖ה	H6017	Gomorrah	.
ISA	1	10	407488	שִׁמְע֥וּ	H8085	Hear	
ISA	1	10	407489	דְבַר־	H1697	the word	
ISA	1	10	407490	יְהוָ֖ה	H3068	of the LORD	,
ISA	1	10	407491	קְצִינֵ֣י	H7101	you rulers	
ISA	1	10	407492	סְדֹ֑ם	H5467	of Sodom	;
ISA	1	10	407493	הַאֲזִ֛ינוּ	H238	listen	
ISA	1	10	407494	תּוֹרַ֥ת	H8451	to the instruction	
ISA	1	10	407495	אֱלֹהֵ֖ינוּ	H430	of our God	,
ISA	1	10	407496	עַ֥ם	H5971	you people	
ISA	1	10	407497	עֲמֹרָֽה׃	H6017	of Gomorrah	!
ISA	1	11	407508	לָמָּה־	H4100	What [good]	
ISA	1	11	407509	לִּ֤י		to Me	
ISA	1	11	407510	רֹב־	H7230	[is] your multitude	
ISA	1	11	407511	זִבְחֵיכֶם֙	H2077	of sacrifices	?
ISA	1	11	407512	יֹאמַ֣ר	H559	says	
ISA	1	11	407513	יְהוָ֔ה	H3068	the LORD	.
ISA	1	11	407514	שָׂבַ֛עְתִּי	H7646	I am full	
ISA	1	11	407515	עֹל֥וֹת	H5930	from the burnt offerings	
ISA	1	11	407516	אֵילִ֖ים	H352	of rams	
ISA	1	11	407517	וְחֵ֣לֶב	H2459	and the fat	
ISA	1	11	407518	מְרִיאִ֑ים	H4806	of well-fed cattle	;
ISA	1	11	407523	לֹ֥א	H3808	vvv	
ISA	1	11	407524	חָפָֽצְתִּי׃	H2654	I take no delight	
ISA	1	11	407519	וְדַ֨ם	H1818	in the blood	
