book	chapter	verse	sort	hebrew	strong	bsb	pnc
JDG	1	1	156221	וַיְהִ֗י	H1961	-	
JDG	1	1	156222	אַחֲרֵי֙	H310	After	
JDG	1	1	156223	מ֣וֹת	H4194	the death	
JDG	1	1	156224	יְהוֹשֻׁ֔עַ	H3091	of Joshua	,
JDG	1	1	156226	בְּנֵ֣י	H1121	the Israelites	
JDG	1	1	156227	יִשְׂרָאֵ֔ל	H3478	. . .	
JDG	1	1	156225	וַֽיִּשְׁאֲלוּ֙	H7592	inquired	
JDG	1	1	156228	בַּיהוָ֖ה	H3068	of the LORD	,
JDG	1	1	156229	לֵאמֹ֑ר	H559	. . .	
JDG	1	1	156230	מִ֣י	H4310	Who	
JDG	1	1	156235	בַּתְּחִלָּ֖ה	H8462	will be the first	
JDG	1	1	156231	יַעֲלֶה־	H5927	to go up	
JDG	1	1	156236	לְהִלָּ֥חֶם	H3898	and fight	
JDG	1	1	156237	בּֽוֹ׃			
JDG	1	1	156232	לָּ֧נוּ		for us	
JDG	1	1	156233	אֶל־	H413	against	
JDG	1	1	156234	הַֽכְּנַעֲנִ֛י	H3669	the Canaanites	?
JDG	1	2	156250	יְהוּדָ֣ה	H3063	Judah	
JDG	1	2	156251	יַעֲלֶ֑ה	H5927	shall go up	,
JDG	1	2	156248	וַיֹּ֣אמֶר	H559	answered	
JDG	1	2	156249	יְהוָ֖ה	H3068	the LORD	.
JDG	1	2	156252	הִנֵּ֛ה	H2009	Indeed	,
JDG	1	2	156253	נָתַ֥תִּי	H5414	I have delivered	
JDG	1	2	156255	הָאָ֖רֶץ	H776	the land	
JDG	1	2	156254	אֶת־	H853	-	
JDG	1	2	156256	בְּיָדֽוֹ׃	H3027	into their hands	.
JDG	1	3	156268	יְהוּדָה֩	H3063	Then the men of Judah	
JDG	1	3	156267	וַיֹּ֣אמֶר	H559	said	
JDG	1	3	156270	אָחִ֜יו	H251	to their brothers	
JDG	1	3	156269	לְשִׁמְע֨וֹן	H8095	the Simeonites	,
JDG	1	3	156271	עֲלֵ֧ה	H5927	Come up	
JDG	1	3	156272	אִתִּ֣י	H854	with us	
JDG	1	3	156273	בְגוֹרָלִ֗י	H1486	to our allotted territory	,
JDG	1	3	156274	וְנִֽלָּחֲמָה֙	H3898	and let us fight	
JDG	1	3	156275	בַּֽכְּנַעֲנִ֔י	H3669	against the Canaanites	.
JDG	1	3	156278	אֲנִ֛י	H589	And we	
JDG	1	3	156277	גַם־	H1571	likewise	
JDG	1	3	156276	וְהָלַכְתִּ֧י	H1980	will go	
JDG	1	3	156279	אִתְּךָ֖	H854	with you	
JDG	1	3	156280	בְּגוֹרָלֶ֑ךָ	H1486	to your territory	.
JDG	1	3	156283	שִׁמְעֽוֹן׃	H8095	So the Simeonites	
JDG	1	3	156281	וַיֵּ֥לֶךְ	H1980	went	
JDG	1	3	156282	אִתּ֖וֹ	H854	with them	.
JDG	1	4	156295	יְהוּדָ֔ה	H3063	When Judah	
JDG	1	4	156294	וַיַּ֣עַל	H5927	attacked	,
JDG	1	4	156297	יְהוָ֛ה	H3068	the LORD	
JDG	1	4	156298	אֶת־	H853	-	
JDG	1	4	156296	וַיִּתֵּ֧ן	H5414	delivered	
JDG	1	4	156299	הַכְּנַעֲנִ֥י	H3669	the Canaanites	
JDG	1	4	156300	וְהַפְּרִזִּ֖י	H6522	and Perizzites	
JDG	1	4	156301	בְּיָדָ֑ם	H3027	into their hands	,
JDG	1	4	156302	וַיַּכּ֣וּם	H5221	and they struck down	
JDG	1	4	156304	עֲשֶׂ֥רֶת	H6235	ten	
JDG	1	4	156305	אֲלָפִ֖ים	H505	thousand	
JDG	1	4	156306	אִֽישׁ׃	H376	men	
JDG	1	4	156303	בְּבֶ֔זֶק	H966	at Bezek	.
JDG	1	5	156321	בְּבֶ֔זֶק	H966	And [there]	
JDG	1	5	156317	וַֽ֠יִּמְצְאוּ	H4672	they found	
JDG	1	5	156318	אֶת־	H853	-	
JDG	1	5	156319	אֲדֹנִ֥י	H137	vvv	
JDG	1	5	156320	בֶ֙זֶק֙	H137	Adoni-bezek	
JDG	1	5	156322	וַיִּֽלָּחֲמ֖וּ	H3898	and fought	
JDG	1	5	156323	בּ֑וֹ		against him	,
JDG	1	5	156324	וַיַּכּ֕וּ	H5221	striking down	
JDG	1	5	156325	אֶת־	H853	-	
JDG	1	5	156326	הַֽכְּנַעֲנִ֖י	H3669	the Canaanites	
JDG	1	5	156327	וְאֶת־	H853	-	
JDG	1	5	156328	הַפְּרִזִּֽי׃	H6522	and Perizzites	.
JDG	1	6	156340	אֲדֹ֣נִי	H137	As Adoni-bezek	
JDG	1	6	156341	בֶ֔זֶק	H137	. . .	
JDG	1	6	156339	וַיָּ֙נָס֙	H5127	fled	,
JDG	1	6	156342	וַֽיִּרְדְּפ֖וּ	H7291	they pursued him	,
JDG	1	6	156343	אַחֲרָ֑יו	H310	. . .	
JDG	1	6	156344	וַיֹּאחֲז֣וּ	H270	seized him	,
JDG	1	6	156345	אֹת֔וֹ	H853	-	
JDG	1	6	156346	וַֽיְקַצְּצ֔וּ	H7112	and cut off	
JDG	1	6	156347	אֶת־	H853	-	
JDG	1	6	156348	בְּהֹנ֥וֹת	H931	his thumbs	
JDG	1	6	156349	יָדָ֖יו	H3027	. . .	
JDG	1	6	156350	וְרַגְלָֽיו׃	H7272	and big toes	.
JDG	1	7	156363	בֶ֗זֶק	H137	Then Adoni-bezek	
JDG	1	7	156361	וַיֹּ֣אמֶר	H559	said	
JDG	1	7	156362	אֲדֹֽנִי־	H137		,
JDG	1	7	156364	שִׁבְעִ֣ים׀	H7657	Seventy	
JDG	1	7	156365	מְלָכִ֡ים	H4428	kings	
JDG	1	7	156366	בְּֽהֹנוֹת֩	H931	with their thumbs	
JDG	1	7	156367	יְדֵיהֶ֨ם	H3027	. . .	
JDG	1	7	156368	וְרַגְלֵיהֶ֜ם	H7272	and big toes	
JDG	1	7	156369	מְקֻצָּצִ֗ים	H7112	cut off	
JDG	1	7	156370	הָי֤וּ	H1961	. . .	
JDG	1	7	156371	מְלַקְּטִים֙	H3950	have gathered [the scraps]	
JDG	1	7	156372	תַּ֣חַת	H8478	under	
JDG	1	7	156373	שֻׁלְחָנִ֔י	H7979	my table	.
JDG	1	7	156374	כַּאֲשֶׁ֣ר	H834	As	
JDG	1	7	156375	עָשִׂ֔יתִי	H6213	I have done [to them]	,
JDG	1	7	156376	כֵּ֥ן	H3651	so	
JDG	1	7	156379	אֱלֹהִ֑ים	H430	God	
JDG	1	7	156377	שִׁלַּם־	H7999	has repaid	
JDG	1	7	156378	לִ֖י		me	.
JDG	1	7	156380	וַיְבִיאֻ֥הוּ	H935	And they brought him	
JDG	1	7	156381	יְרוּשָׁלִַ֖ם	H3389	to Jerusalem	,
JDG	1	7	156382	וַיָּ֥מָת	H4191	where he died	
JDG	1	7	156383	שָֽׁם׃פ	H8033	. . .	.
JDG	1	8	156396	בְנֵֽי־	H1121	Then the men	
JDG	1	8	156397	יְהוּדָה֙	H3063	of Judah	
JDG	1	8	156395	וַיִּלָּחֲמ֤וּ	H3898	fought	
JDG	1	8	156398	בִּיר֣וּשָׁלִַ֔ם	H3389	against Jerusalem	
JDG	1	8	156399	וַיִּלְכְּד֣וּ	H3920	and captured it	.
JDG	1	8	156400	אוֹתָ֔הּ	H853	-	
JDG	1	8	156401	וַיַּכּ֖וּהָ	H5221	They put [the city]	
JDG	1	8	156402	לְפִי־	H6310	vvv	
JDG	1	8	156403	חָ֑רֶב	H2719	to the sword	
JDG	1	8	156404	וְאֶת־	H853	-	
JDG	1	8	156406	שִׁלְּח֥וּ	H7971	and set	
JDG	1	8	156405	הָעִ֖יר	H5892	it	
JDG	1	8	156407	בָאֵֽשׁ׃	H784	on fire	.
JDG	1	9	156418	וְאַחַ֗ר	H310	Afterward	,
JDG	1	9	156420	בְּנֵ֣י	H1121	the men	
JDG	1	9	156421	יְהוּדָ֔ה	H3063	of Judah	
JDG	1	9	156419	יָֽרְדוּ֙	H3381	marched down	
JDG	1	9	156422	לְהִלָּחֵ֖ם	H3898	to fight	
JDG	1	9	156423	בַּֽכְּנַעֲנִ֑י	H3669	against the Canaanites	
JDG	1	9	156424	יוֹשֵׁ֣ב	H3427	living	
JDG	1	9	156425	הָהָ֔ר	H2022	in the hill country	,
JDG	1	9	156426	וְהַנֶּ֖גֶב	H5045	in the Negev	,
JDG	1	9	156427	וְהַשְּׁפֵלָֽה׃	H8219	and in the foothills	.
JDG	1	10	156439	יְהוּדָ֗ה	H3063	Judah	
JDG	1	10	156438	וַיֵּ֣לֶךְ	H1980	also marched	
JDG	1	10	156440	אֶל־	H413	against	
JDG	1	10	156441	הַֽכְּנַעֲנִי֙	H3669	the Canaanites	
JDG	1	10	156442	הַיּוֹשֵׁ֣ב	H3427	who were living	
JDG	1	10	156443	בְּחֶבְר֔וֹן	H2275	in Hebron	
JDG	1	10	156445	חֶבְר֥וֹן	H2275	-	
JDG	1	10	156446	לְפָנִ֖ים	H6440	formerly	
JDG	1	10	156444	וְשֵׁם־	H8034	known as	
JDG	1	10	156447	קִרְיַ֣ת	H7153	vvv	
JDG	1	10	156448	אַרְבַּ֑ע	H7153	Kiriath-arba	)
JDG	1	10	156449	וַיַּכּ֛וּ	H5221	and they struck down	
JDG	1	10	156450	אֶת־	H853	-	
JDG	1	10	156451	שֵׁשַׁ֥י	H8344	Sheshai	,
JDG	1	10	156452	וְאֶת־	H853	-	
JDG	1	10	156453	אֲחִימַ֖ן	H289	Ahiman	,
JDG	1	10	156454	וְאֶת־	H853	-	
JDG	1	10	156455	תַּלְמָֽי׃	H8526	and Talmai	.
JDG	1	11	156467	מִשָּׁ֔ם	H8033	From there	
JDG	1	11	156466	וַיֵּ֣לֶךְ	H1980	they marched	
JDG	1	11	156468	אֶל־	H413	against	
JDG	1	11	156469	יוֹשְׁבֵ֖י	H3427	the inhabitants	
JDG	1	11	156470	דְּבִ֑יר	H1688	of Debir	
JDG	1	11	156472	דְּבִ֥יר	H1688	-	
JDG	1	11	156473	לְפָנִ֖ים	H6440	formerly	
JDG	1	11	156471	וְשֵׁם־	H8034	known as	
JDG	1	11	156474	קִרְיַת־	H7158	vvv	
JDG	1	11	156475	סֵֽפֶר׃	H7158	Kiriath-sepher	).
JDG	1	12	156487	כָּלֵ֔ב	H3612	And Caleb	
JDG	1	12	156486	וַיֹּ֣אמֶר	H559	said	,
JDG	1	12	156488	אֲשֶׁר־	H834	To the man	
JDG	1	12	156489	יַכֶּ֥ה	H5221	who strikes down	
JDG	1	12	156490	אֶת־	H853	-	
JDG	1	12	156491	קִרְיַת־	H7158	vvv	
JDG	1	12	156492	סֵ֖פֶר	H7158	Kiriath-sepher	
JDG	1	12	156493	וּלְכָדָ֑הּ	H3920	and captures it	,
JDG	1	12	156494	וְנָתַ֥תִּי	H5414	I will give	
JDG	1	12	156495	ל֛וֹ			
JDG	1	12	156496	אֶת־	H853	-	
JDG	1	12	156498	בִתִּ֖י	H1323	my daughter	
JDG	1	12	156497	עַכְסָ֥ה	H5915	Acsah	
JDG	1	12	156499	לְאִשָּֽׁה׃	H802	in marriage	.
JDG	1	13	156511	עָתְנִיאֵ֣ל	H6274	So Othniel	
JDG	1	13	156512	בֶּן־	H1121	son	
JDG	1	13	156515	כָלֵ֖ב	H3612	of Caleb’s	
JDG	1	13	156516	הַקָּטֹ֣ן	H6996	younger	
JDG	1	13	156517	מִמֶּ֑נּוּ	H4480	. . .	
JDG	1	13	156514	אֲחִ֥י	H251	brother	
JDG	1	13	156513	קְנַ֔ז	H7073	Kenaz	
JDG	1	13	156510	וַֽיִּלְכְּדָהּ֙	H3920	captured [the city]	,
JDG	1	13	156518	וַיִּתֶּן־	H5414	and [Caleb] gave	
JDG	1	13	156520	אֶת־	H853	-	
JDG	1	13	156522	בִתּ֖וֹ	H1323	his daughter	
JDG	1	13	156521	עַכְסָ֥ה	H5915	Acsah	
JDG	1	13	156519	ל֛וֹ		to him	
JDG	1	13	156523	לְאִשָּֽׁה׃	H802	in marriage	.
JDG	1	14	156534	וַיְהִ֣י	H1961	One day	
JDG	1	14	156535	בְּבוֹאָ֗הּ	H935	[Acsah] came [to Othniel]	
JDG	1	14	156536	וַתְּסִיתֵ֙הוּ֙	H5496	and urged him	
JDG	1	14	156537	לִשְׁא֤וֹל	H7592	to ask	
JDG	1	14	156538	מֵֽאֵת־	H854	-	
JDG	1	14	156539	אָבִ֙יהָ֙	H1	her father	
JDG	1	14	156540	הַשָּׂדֶ֔ה	H7704	for a field	.
JDG	1	14	156541	וַתִּצְנַ֖ח	H6795	When she got off	
JDG	1	14	156542	מֵעַ֣ל	H5921	. . .	
JDG	1	14	156543	הַחֲמ֑וֹר	H2543	her donkey	,
JDG	1	14	156546	כָּלֵ֖ב	H3612	Caleb	
JDG	1	14	156544	וַיֹּֽאמֶר־	H559	asked	
JDG	1	14	156545	לָ֥הּ		her	,
JDG	1	14	156547	מַה־	H4100	What	
JDG	1	14	156548	לָּֽךְ׃		do you desire	?
JDG	1	15	156561	הָֽבָה־	H3051	Give	
JDG	1	15	156562	לִּ֣י		me	
JDG	1	15	156563	בְרָכָ֗ה	H1293	a blessing	,
JDG	1	15	156559	וַתֹּ֨אמֶר	H559	she answered	
JDG	1	15	156560	ל֜וֹ			.
JDG	1	15	156564	כִּ֣י	H3588	Since	
JDG	1	15	156567	נְתַתָּ֔נִי	H5414	you have given me	
JDG	1	15	156565	אֶ֤רֶץ	H776	land	
JDG	1	15	156566	הַנֶּ֙גֶב֙	H5045	in the Negev	,
JDG	1	15	156568	וְנָתַתָּ֥ה	H5414	give	
JDG	1	15	156569	לִ֖י		me	
JDG	1	15	156570	גֻּלֹּ֣ת	H1543	springs	
JDG	1	15	156571	מָ֑יִם	H4325	of water [as well]	.
JDG	1	15	156574	כָּלֵ֗ב	H3612	So Caleb	
JDG	1	15	156575	אֵ֚ת	H853	-	
JDG	1	15	156572	וַיִּתֶּן־	H5414	gave	
JDG	1	15	156573	לָ֣הּ		her	
JDG	1	15	156577	עִלִּ֔ית	H5942	both the upper	
JDG	1	15	156578	וְאֵ֖ת	H853	-	
JDG	1	15	156579	גֻּלֹּ֥ת	H1543	-	
JDG	1	15	156580	תַּחְתִּֽית׃פ	H8482	and lower	
JDG	1	15	156576	גֻּלֹּ֣ת	H1543	springs	.
JDG	1	16	156592	וּבְנֵ֣י	H1121	Now the descendants	
JDG	1	16	156595	מֹשֶׁ֜ה	H4872	of Moses’	
JDG	1	16	156594	חֹתֵ֨ן	H2859	father-in-law	,
JDG	1	16	156593	קֵינִי֩	H7017	the Kenite	,
JDG	1	16	156596	עָל֨וּ	H5927	went up	
JDG	1	16	156599	אֶת־	H854	with	
JDG	1	16	156600	בְּנֵ֣י	H1121	the men	
JDG	1	16	156601	יְהוּדָ֔ה	H3063	of Judah	
JDG	1	16	156597	מֵעִ֤יר	H5892	from the City	
JDG	1	16	156598	הַתְּמָרִים֙	H8558	of Palms	
JDG	1	16	156602	מִדְבַּ֣ר	H4057	to the Wilderness	
JDG	1	16	156603	יְהוּדָ֔ה	H3063	of Judah	
JDG	1	16	156604	אֲשֶׁ֖ר	H834	-	
JDG	1	16	156605	בְּנֶ֣גֶב	H5045	in the Negev	
JDG	1	16	156606	עֲרָ֑ד	H6166	near Arad	.
JDG	1	16	156607	וַיֵּ֖לֶךְ	H1980	They went	
JDG	1	16	156608	וַיֵּ֥שֶׁב	H3427	to live	
JDG	1	16	156609	אֶת־	H854	among	
JDG	1	16	156610	הָעָֽם׃	H5971	the people	.
JDG	1	17	156622	יְהוּדָה֙	H3063	Then the men of Judah	
JDG	1	17	156621	וַיֵּ֤לֶךְ	H1980	went	
JDG	1	17	156623	אֶת־	H854	with	
JDG	1	17	156625	אָחִ֔יו	H251	their brothers	
JDG	1	17	156624	שִׁמְע֣וֹן	H8095	the Simeonites	,
JDG	1	17	156626	וַיַּכּ֕וּ	H5221	attacked	
JDG	1	17	156627	אֶת־	H853	-	
JDG	1	17	156628	הַֽכְּנַעֲנִ֖י	H3669	the Canaanites	
JDG	1	17	156629	יוֹשֵׁ֣ב	H3427	living	
JDG	1	17	156630	צְפַ֑ת	H6857	in Zephath	,
JDG	1	17	156631	וַיַּחֲרִ֣ימוּ	H2763	and devoted [the city] to destruction	
JDG	1	17	156632	אוֹתָ֔הּ	H853	-	.
JDG	1	17	156633	וַיִּקְרָ֥א	H7121	So [it] was called	
JDG	1	17	156634	אֶת־	H853	-	
JDG	1	17	156635	שֵׁם־	H8034	-	
JDG	1	17	156636	הָעִ֖יר	H5892	. . .	
JDG	1	17	156637	חָרְמָֽה׃	H2767	Hormah	.
JDG	1	18	156649	יְהוּדָה֙	H3063	And Judah	
JDG	1	18	156650	אֶת־	H853	-	
JDG	1	18	156648	וַיִּלְכֹּ֤ד	H3920	also captured	
JDG	1	18	156651	עַזָּ֣ה	H5804	Gaza	
JDG	1	18	156652	וְאֶת־	H853	-	
JDG	1	18	156653	גְּבוּלָ֔הּ	H1366	-	,
JDG	1	18	156654	וְאֶֽת־	H853	-	
JDG	1	18	156655	אַשְׁקְל֖וֹן	H831	Ashkelon	
