book	chapter	verse	sort	hebrew	strong	bsb	pnc
JOL	1	1	523267	דְּבַר־	H1697	[This is] the word	
JOL	1	1	523268	יְהוָה֙	H3068	of the LORD	
JOL	1	1	523269	אֲשֶׁ֣ר	H834	that	
JOL	1	1	523270	הָיָ֔ה	H1961	came	
JOL	1	1	523271	אֶל־	H413	to	
JOL	1	1	523272	יוֹאֵ֖ל	H3100	Joel	
JOL	1	1	523273	בֶּן־	H1121	son	
JOL	1	1	523274	פְּתוּאֵֽל׃	H6602	of Pethuel	:
JOL	1	2	523285	שִׁמְעוּ־	H8085	Hear	
JOL	1	2	523286	זֹאת֙	H2063	this	,
JOL	1	2	523287	הַזְּקֵנִ֔ים	H2205	O elders	;
JOL	1	2	523288	וְהַֽאֲזִ֔ינוּ	H238	and give ear	,
JOL	1	2	523289	כֹּ֖ל	H3605	all	
JOL	1	2	523290	יוֹשְׁבֵ֣י	H3427	who dwell	
JOL	1	2	523291	הָאָ֑רֶץ	H776	in the land	.
JOL	1	2	523293	זֹּאת֙	H2063	Has anything like this	
JOL	1	2	523292	הֶהָ֤יְתָה	H1961	ever happened	
JOL	1	2	523294	בִּֽימֵיכֶ֔ם	H3117	in your days	
JOL	1	2	523295	וְאִ֖ם	H518	or	
JOL	1	2	523296	בִּימֵ֥י	H3117	in the days	
JOL	1	2	523297	אֲבֹֽתֵיכֶֽם׃	H1	of your fathers	?
JOL	1	3	523310	סַפֵּ֑רוּ	H5608	Tell	
JOL	1	3	523308	עָלֶ֖יהָ	H5921	it	
JOL	1	3	523309	לִבְנֵיכֶ֣ם	H1121	to your children	;
JOL	1	3	523311	וּבְנֵיכֶם֙	H1121	let your children	
JOL	1	3	523312	לִבְנֵיהֶ֔ם	H1121	tell it to their children	,
JOL	1	3	523313	וּבְנֵיהֶ֖ם	H1121	and their children	
JOL	1	3	523315	אַחֵֽר׃	H312	to the next	
JOL	1	3	523314	לְד֥וֹר	H1755	generation	.
JOL	1	4	523327	הַגָּזָם֙	H1501	What the devouring locust	
JOL	1	4	523326	יֶ֤תֶר	H3499	has left	,
JOL	1	4	523329	הָֽאַרְבֶּ֔ה	H697	the swarming locust	
JOL	1	4	523328	אָכַ֣ל	H398	has eaten	;
JOL	1	4	523331	הָאַרְבֶּ֖ה	H697	what the swarming locust	
JOL	1	4	523330	וְיֶ֥תֶר	H3499	has left	,
JOL	1	4	523333	הַיָּ֑לֶק	H3218	the young locust	
JOL	1	4	523332	אָכַ֣ל	H398	has eaten	;
JOL	1	4	523335	הַיֶּ֔לֶק	H3218	and what the young locust	
JOL	1	4	523334	וְיֶ֣תֶר	H3499	has left	,
JOL	1	4	523337	הֶחָסִֽיל׃	H2625	the destroying locust	
JOL	1	4	523336	אָכַ֖ל	H398	has eaten	.
JOL	1	5	523348	הָקִ֤יצוּ	H6974	Wake up	,
JOL	1	5	523349	שִׁכּוֹרִים֙	H7910	you drunkards	,
JOL	1	5	523350	וּבְכ֔וּ	H1058	and weep	;
JOL	1	5	523351	וְהֵילִ֖לוּ	H3213	wail	,
JOL	1	5	523352	כָּל־	H3605	all	
JOL	1	5	523353	שֹׁ֣תֵי	H8354	you drinkers	
JOL	1	5	523354	יָ֑יִן	H3196	of wine	,
JOL	1	5	523355	עַל־	H5921	because of	
JOL	1	5	523356	עָסִ֕יס	H6071	the sweet wine	,
JOL	1	5	523357	כִּ֥י	H3588	for	
JOL	1	5	523358	נִכְרַ֖ת	H3772	it has been cut off	
JOL	1	5	523359	מִפִּיכֶֽם׃	H6310	from your mouth	.
JOL	1	6	523370	כִּֽי־	H3588	For	
JOL	1	6	523371	גוֹי֙	H1471	a nation	
JOL	1	6	523372	עָלָ֣ה	H5927	has invaded	
JOL	1	6	523373	עַל־	H5921	. . .	
JOL	1	6	523374	אַרְצִ֔י	H776	My land	,
JOL	1	6	523375	עָצ֖וּם	H6099	powerful	
JOL	1	6	523376	וְאֵ֣ין	H369	and without	
JOL	1	6	523377	מִסְפָּ֑ר	H4557	number	;
JOL	1	6	523378	שִׁנָּיו֙	H8127	its teeth	
JOL	1	6	523379	שִׁנֵּ֣י	H8127	[are] the teeth	
JOL	1	6	523380	אַרְיֵ֔ה	H738	of a lion	,
JOL	1	6	523381	וּֽמְתַלְּע֥וֹת	H4973	and its fangs [are the fangs]	
JOL	1	6	523382	לָבִ֖יא	H3833	of a lioness	
JOL	1	6	523383	לֽוֹ׃			.
JOL	1	7	523394	שָׂ֤ם	H7760	It has laid	
JOL	1	7	523396	לְשַׁמָּ֔ה	H8047	waste	
JOL	1	7	523395	גַּפְנִי֙	H1612	My grapevine	
JOL	1	7	523398	לִקְצָפָ֑ה	H7111	and splintered	
JOL	1	7	523397	וּתְאֵנָתִ֖י	H8384	My fig tree	.
JOL	1	7	523399	חָשֹׂ֤ף	H2834	It has stripped off the bark	
JOL	1	7	523400	חֲשָׂפָהּ֙	H2834	. . .	
JOL	1	7	523401	וְהִשְׁלִ֔יךְ	H7993	and thrown it away	;
JOL	1	7	523403	שָׂרִיגֶֽיהָ׃	H8299	the branches	
JOL	1	7	523402	הִלְבִּ֖ינוּ	H3835	have turned white	.
JOL	1	8	523414	אֱלִ֕י	H421	Wail	
JOL	1	8	523415	כִּבְתוּלָ֥ה	H1330	like a virgin	
JOL	1	8	523416	חֲגֻֽרַת־	H2296	dressed	
JOL	1	8	523417	שַׂ֖ק	H8242	in sackcloth	,
JOL	1	8	523418	עַל־	H5921	grieving for	
JOL	1	8	523419	בַּ֥עַל	H1167	the husband	
JOL	1	8	523420	נְעוּרֶֽיהָ׃	H5271	of her youth	.
JOL	1	9	523432	מִנְחָ֛ה	H4503	Grain and drink offerings	
JOL	1	9	523433	וָנֶ֖סֶךְ	H5262	. . .	
JOL	1	9	523431	הָכְרַ֥ת	H3772	have been cut off	
JOL	1	9	523434	מִבֵּ֣ית	H1004	from the house	
JOL	1	9	523435	יְהוָ֑ה	H3068	of the LORD	;
JOL	1	9	523437	הַכֹּ֣הֲנִ֔ים	H3548	the priests	
JOL	1	9	523436	אָֽבְלוּ֙	H56	are in mourning	,
JOL	1	9	523438	מְשָׁרְתֵ֖י	H8334	those who minister	
JOL	1	9	523439	יְהוָֽה׃	H3068	before the LORD	.
JOL	1	10	523451	שָׂדֶ֔ה	H7704	The field	
JOL	1	10	523450	שֻׁדַּ֣ד	H7703	is ruined	;
JOL	1	10	523453	אֲדָמָ֑ה	H127	the land	
JOL	1	10	523452	אָבְלָ֖ה	H56	mourns	.
JOL	1	10	523454	כִּ֚י	H3588	For	
JOL	1	10	523456	דָּגָ֔ן	H1715	the grain	
JOL	1	10	523455	שֻׁדַּ֣ד	H7703	is destroyed	,
