book	chapter	verse	sort	hebrew	strong	bsb	pnc
JON	1	1	529009	דְּבַר־	H1697	Now the word	
JON	1	1	529010	יְהוָ֔ה	H3068	of the LORD	
JON	1	1	529008	וַֽיְהִי֙	H1961	came	
JON	1	1	529011	אֶל־	H413	to	
JON	1	1	529012	יוֹנָ֥ה	H3124	Jonah	
JON	1	1	529013	בֶן־	H1121	son	
JON	1	1	529014	אֲמִתַּ֖י	H573	of Amittai	,
JON	1	1	529015	לֵאמֹֽר׃	H559	saying	,
JON	1	2	529026	ק֠וּם	H6965	Get up	!
JON	1	2	529027	לֵ֧ךְ	H1980	Go	
JON	1	2	529028	אֶל־	H413	to	
JON	1	2	529031	הַגְּדוֹלָ֖ה	H1419	the great	
JON	1	2	529030	הָעִ֥יר	H5892	city	
JON	1	2	529029	נִֽינְוֵ֛ה	H5210	of Nineveh	
JON	1	2	529032	וּקְרָ֣א	H7121	and preach	
JON	1	2	529033	עָלֶ֑יהָ	H5921	against it	,
JON	1	2	529034	כִּֽי־	H3588	because	
JON	1	2	529036	רָעָתָ֖ם	H7451	its wickedness	
JON	1	2	529035	עָלְתָ֥ה	H5927	has come up	
JON	1	2	529037	לְפָנָֽי׃	H6440	before Me	.
JON	1	3	529049	יוֹנָה֙	H3124	Jonah, however	,
JON	1	3	529048	וַיָּ֤קָם	H6965	got up	
JON	1	3	529050	לִבְרֹ֣חַ	H1272	to flee	
JON	1	3	529051	תַּרְשִׁ֔ישָׁה	H8659	to Tarshish	,
JON	1	3	529052	מִלִּפְנֵ֖י	H6440	away from the presence	
JON	1	3	529053	יְהוָ֑ה	H3068	of the LORD	.
JON	1	3	529054	וַיֵּ֨רֶד	H3381	He went down	
JON	1	3	529055	יָפ֜וֹ	H3305	to Joppa	
JON	1	3	529056	וַיִּמְצָ֥א	H4672	and found	
JON	1	3	529057	אָנִיָּ֣ה׀	H591	a ship	
JON	1	3	529058	בָּאָ֣ה	H935	bound	
JON	1	3	529059	תַרְשִׁ֗ישׁ	H8659	for Tarshish	.
JON	1	3	529060	וַיִּתֵּ֨ן	H5414	So he paid	
JON	1	3	529061	שְׂכָרָ֜הּ	H7939	the fare	
JON	1	3	529062	וַיֵּ֤רֶד	H3381	and went aboard	
JON	1	3	529063	בָּהּ֙		. . .	
JON	1	3	529064	לָב֤וֹא	H935	to sail	
JON	1	3	529065	עִמָּהֶם֙	H5973	. . .	
JON	1	3	529066	תַּרְשִׁ֔ישָׁה	H8659	for Tarshish	,
JON	1	3	529067	מִלִּפְנֵ֖י	H6440	away from the presence	
JON	1	3	529068	יְהוָֽה׃	H3068	of the LORD	.
JON	1	4	529079	וַֽיהוָ֗ה	H3068	Then the LORD	
JON	1	4	529080	הֵטִ֤יל	H2904	hurled	
JON	1	4	529082	גְּדוֹלָה֙	H1419	a great	
JON	1	4	529081	רֽוּחַ־	H7307	wind	
JON	1	4	529083	אֶל־	H413	upon	
JON	1	4	529084	הַיָּ֔ם	H3220	the sea	,
JON	1	4	529087	גָּד֖וֹל	H1419	and such a violent	
JON	1	4	529086	סַֽעַר־	H5591	storm	
JON	1	4	529085	וַיְהִ֥י	H1961	arose	
JON	1	4	529088	בַּיָּ֑ם	H3220	-	
JON	1	4	529089	וְהָ֣אֳנִיָּ֔ה	H591	that the ship	
JON	1	4	529090	חִשְּׁבָ֖ה	H2803	was in danger	
JON	1	4	529091	לְהִשָּׁבֵֽר׃	H7665	of breaking apart	.
JON	1	5	529103	הַמַּלָּחִ֗ים	H4419	The sailors	
JON	1	5	529102	וַיִּֽירְא֣וּ	H3372	were afraid	,
JON	1	5	529105	אִ֣ישׁ	H376	and each	
JON	1	5	529104	וַֽיִּזְעֲקוּ֮	H2199	cried out	
JON	1	5	529106	אֶל־	H413	to	
JON	1	5	529107	אֱלֹהָיו֒	H430	his own god	.
JON	1	5	529108	וַיָּטִ֨לוּ	H2904	And they threw	
JON	1	5	529109	אֶת־	H853	-	
JON	1	5	529112	בָּֽאֳנִיָּה֙	H591	the ship’s	
JON	1	5	529110	הַכֵּלִ֜ים	H3627	cargo	
JON	1	5	529111	אֲשֶׁ֤ר	H834	-	
JON	1	5	529113	אֶל־	H413	into	
JON	1	5	529114	הַיָּ֔ם	H3220	the sea	
JON	1	5	529115	לְהָקֵ֖ל	H7043	to lighten	
JON	1	5	529116	מֵֽעֲלֵיהֶ֑ם	H5921	the load	.
JON	1	5	529117	וְיוֹנָ֗ה	H3124	But Jonah	
JON	1	5	529118	יָרַד֙	H3381	had gone down	
JON	1	5	529119	אֶל־	H413	to	
JON	1	5	529120	יַרְכְּתֵ֣י	H3411	the lowest part	
JON	1	5	529121	הַסְּפִינָ֔ה	H5600	of the vessel	,
JON	1	5	529122	וַיִּשְׁכַּ֖ב	H7901	where he lay down	
JON	1	5	529123	וַיֵּרָדַֽם׃	H7290	and fell into a deep sleep	.
JON	1	6	529136	רַ֣ב	H7227	The captain	
JON	1	6	529137	הַחֹבֵ֔ל	H2259	. . .	
JON	1	6	529134	וַיִּקְרַ֤ב	H7126	approached	
JON	1	6	529135	אֵלָיו֙	H413	him	
JON	1	6	529138	וַיֹּ֥אמֶר	H559	and said	
JON	1	6	529139	ל֖וֹ			,
JON	1	6	529140	מַה־	H4100	How	
JON	1	6	529141	לְּךָ֣		can you	
JON	1	6	529142	נִרְדָּ֑ם	H7290	sleep	?
JON	1	6	529143	ק֚וּם	H6965	Get up	
JON	1	6	529144	קְרָ֣א	H7121	[and] call	
JON	1	6	529145	אֶל־	H413	upon	
JON	1	6	529146	אֱלֹהֶ֔יךָ	H430	your God	.
JON	1	6	529147	אוּלַ֞י	H194	Perhaps	
JON	1	6	529149	הָאֱלֹהִ֛ים	H430	this God	
JON	1	6	529148	יִתְעַשֵּׁ֧ת	H6245	will consider	
JON	1	6	529150	לָ֖נוּ		us	,
JON	1	6	529151	וְלֹ֥א	H3808	so that	
JON	1	6	529152	נֹאבֵֽד׃	H6	we may not perish	.
JON	1	7	529167	לְכוּ֙	H1980	Come	!
JON	1	7	529163	וַיֹּאמְר֞וּ	H559	said the sailors	
JON	1	7	529165	אֶל־	H413	to	
JON	1	7	529164	אִ֣ישׁ	H376		
JON	1	7	529166	רֵעֵ֗הוּ	H7453	one another	.
JON	1	7	529168	וְנַפִּ֣ילָה	H5307	Let us cast	
JON	1	7	529169	גֽוֹרָל֔וֹת	H1486	lots	
JON	1	7	529170	וְנֵ֣דְעָ֔ה	H3045	to find out	
JON	1	7	529171	בְּשֶׁלְּמִ֛י	H4310	who is responsible	
JON	1	7	529173	הַזֹּ֖את	H2063	for this	
JON	1	7	529172	הָרָעָ֥ה	H7451	calamity	
JON	1	7	529174	לָ֑נוּ		that is upon us	.
JON	1	7	529175	וַיַּפִּ֙לוּ֙	H5307	So they cast	
JON	1	7	529176	גּֽוֹרָל֔וֹת	H1486	lots	,
JON	1	7	529178	הַגּוֹרָ֖ל	H1486	and the lot	
JON	1	7	529177	וַיִּפֹּ֥ל	H5307	fell	
JON	1	7	529179	עַל־	H5921	on	
