book	chapter	verse	sort	hebrew	strong	bsb	pnc
JOS	1	1	139400	וַיְהִ֗י	H1961	Now	
JOS	1	1	139401	אַחֲרֵ֛י	H310	after	
JOS	1	1	139402	מ֥וֹת	H4194	the death	
JOS	1	1	139405	יְהוָ֑ה	H3068	of His	
JOS	1	1	139404	עֶ֣בֶד	H5650	servant	
JOS	1	1	139403	מֹשֶׁ֖ה	H4872	Moses	,
JOS	1	1	139407	יְהוָה֙	H3068	the LORD	
JOS	1	1	139406	וַיֹּ֤אמֶר	H559	spoke	
JOS	1	1	139408	אֶל־	H413	to	
JOS	1	1	139409	יְהוֹשֻׁ֣עַ	H3091	Joshua	
JOS	1	1	139410	בִּן־	H1121	son	
JOS	1	1	139411	נ֔וּן	H5126	of Nun	,
JOS	1	1	139413	מֹשֶׁ֖ה	H4872	Moses’	
JOS	1	1	139412	מְשָׁרֵ֥ת	H8334	assistant	,
JOS	1	1	139414	לֵאמֹֽר׃	H559	saying	,
JOS	1	2	139425	מֹשֶׁ֥ה	H4872	Moses	
JOS	1	2	139426	עַבְדִּ֖י	H5650	My servant	
JOS	1	2	139427	מֵ֑ת	H4191	is dead	.
JOS	1	2	139428	וְעַתָּה֩	H6258	Now therefore	
JOS	1	2	139429	ק֨וּם	H6965	arise	,
JOS	1	2	139434	אַתָּה֙	H859	you	
JOS	1	2	139435	וְכָל־	H3605	and all	
JOS	1	2	139436	הָעָ֣ם	H5971	these people	,
JOS	1	2	139430	עֲבֹ֜ר	H5674	[and] cross over	
JOS	1	2	139431	אֶת־	H853	-	
JOS	1	2	139432	הַיַּרְדֵּ֣ן	H3383	the Jordan	
JOS	1	2	139433	הַזֶּ֗ה	H2088	-	
JOS	1	2	139437	הַזֶּ֔ה	H2088	-	
JOS	1	2	139438	אֶל־	H413	into	
JOS	1	2	139439	הָאָ֕רֶץ	H776	the land	
JOS	1	2	139440	אֲשֶׁ֧ר	H834	that	
JOS	1	2	139441	אָנֹכִ֛י	H595	I	
JOS	1	2	139442	נֹתֵ֥ן	H5414	am giving	
JOS	1	2	139443	לָהֶ֖ם		to	
JOS	1	2	139444	לִבְנֵ֥י	H1121	the children	
JOS	1	2	139445	יִשְׂרָאֵֽל׃	H3478	of Israel	.
JOS	1	3	139464	נְתַתִּ֑יו	H5414	I have given you	
JOS	1	3	139456	כָּל־	H3605	every	
JOS	1	3	139457	מָק֗וֹם	H4725	place	
JOS	1	3	139458	אֲשֶׁ֨ר	H834	where	
JOS	1	3	139460	כַּֽף־	H3709	the sole	
JOS	1	3	139461	רַגְלְכֶ֛ם	H7272	of your foot	
JOS	1	3	139462	בּ֖וֹ			
JOS	1	3	139463	לָכֶ֣ם			
JOS	1	3	139459	תִּדְרֹ֧ךְ	H1869	will tread	,
JOS	1	3	139465	כַּאֲשֶׁ֥ר	H834	just as	
JOS	1	3	139466	דִּבַּ֖רְתִּי	H1696	I promised	
JOS	1	3	139467	אֶל־	H413	to	
JOS	1	3	139468	מֹשֶֽׁה׃	H4872	Moses	.
JOS	1	4	139496	גְּבוּלְכֶֽם׃	H1366	Your territory	
JOS	1	4	139495	יִֽהְיֶ֖ה	H1961	shall extend	
JOS	1	4	139479	מֵהַמִּדְבָּר֩	H4057	from the wilderness	
JOS	1	4	139480	וְהַלְּבָנ֨וֹן	H3844	and Lebanon	
JOS	1	4	139481	הַזֶּ֜ה	H2088	. . .	
JOS	1	4	139482	וְֽעַד־	H5704	to	
JOS	1	4	139484	הַגָּד֣וֹל	H1419	the great	
JOS	1	4	139485	נְהַר־	H5104	River	
JOS	1	4	139486	פְּרָ֗ת	H6578	Euphrates	
JOS	1	4	139483	הַנָּהָ֧ר	H5104	-	—
JOS	1	4	139487	כֹּ֚ל	H3605	all	
JOS	1	4	139488	אֶ֣רֶץ	H776	the land	
JOS	1	4	139489	הַֽחִתִּ֔ים	H2850	of the Hittites	—
JOS	1	4	139493	מְב֣וֹא	H3996	and west	
JOS	1	4	139494	הַשָּׁ֑מֶשׁ	H8121	. . .	
JOS	1	4	139490	וְעַד־	H5704	as far as	
JOS	1	4	139492	הַגָּד֖וֹל	H1419	the Great	
JOS	1	4	139491	הַיָּ֥ם	H3220	Sea	.
JOS	1	5	139507	לֹֽא־	H3808	No	
JOS	1	5	139509	אִישׁ֙	H376	one	
JOS	1	5	139508	יִתְיַצֵּ֥ב	H3320	shall stand	
JOS	1	5	139510	לְפָנֶ֔יךָ	H6440	against you	
JOS	1	5	139511	כֹּ֖ל	H3605	all	
JOS	1	5	139512	יְמֵ֣י	H3117	the days	
JOS	1	5	139513	חַיֶּ֑יךָ	H2416	of your life	.
JOS	1	5	139514	כַּֽאֲשֶׁ֨ר	H834	As	
JOS	1	5	139518	אֶהְיֶ֣ה	H1961	I was	
JOS	1	5	139519	עִמָּ֔ךְ	H5973	with	
JOS	1	5	139517	מֹשֶׁה֙	H4872	Moses	,
JOS	1	5	139515	הָיִ֤יתִי	H1961	so will I be	
JOS	1	5	139516	עִם־	H5973	with you	;
JOS	1	5	139520	לֹ֥א	H3808	I will never	
JOS	1	5	139521	אַרְפְּךָ֖	H7503	leave you	
JOS	1	5	139522	וְלֹ֥א	H3808	nor	
JOS	1	5	139523	אֶעֶזְבֶֽךָּ׃	H5800	forsake you	.
JOS	1	6	139534	חֲזַ֖ק	H2388	Be strong	
JOS	1	6	139535	וֶאֱמָ֑ץ	H553	and courageous	,
JOS	1	6	139536	כִּ֣י	H3588	for	
JOS	1	6	139537	אַתָּ֗ה	H859	you	
JOS	1	6	139538	תַּנְחִיל֙	H5157	shall give these people the inheritance	
JOS	1	6	139539	אֶת־	H853	-	
