book	chapter	verse	sort	hebrew	strong	bsb	pnc
LAM	1	1	473701	אֵיכָ֣ה׀	H349	How	
LAM	1	1	473703	בָדָ֗ד	H910	lonely	
LAM	1	1	473702	יָשְׁבָ֣ה	H3427	lies	
LAM	1	1	473704	הָעִיר֙	H5892	the city	,
LAM	1	1	473705	רַבָּ֣תִי	H7227	once so full	
LAM	1	1	473706	עָ֔ם	H5971	of people	!
LAM	1	1	473709	רַּבָּ֣תִי	H7227	She who was great	
LAM	1	1	473710	בַגּוֹיִ֗ם	H1471	among the nations	
LAM	1	1	473707	הָיְתָ֖ה	H1961	has become	
LAM	1	1	473708	כְּאַלְמָנָ֑ה	H490	a widow	.
LAM	1	1	473711	שָׂרָ֙תִי֙	H8282	The princess	
LAM	1	1	473712	בַּמְּדִינ֔וֹת	H4082	of the provinces	
LAM	1	1	473713	הָיְתָ֖ה	H1961	has become	
LAM	1	1	473714	לָמַֽס׃ס	H4522	a slave	.
LAM	1	2	473726	בָּכ֨וֹ	H1058	She weeps aloud	
LAM	1	2	473727	תִבְכֶּ֜ה	H1058	. . .	
LAM	1	2	473728	בַּלַּ֗יְלָה	H3915	in the night	,
LAM	1	2	473729	וְדִמְעָתָהּ֙	H1832	with tears	
LAM	1	2	473730	עַ֣ל	H5921	upon	
LAM	1	2	473731	לֶֽחֱיָ֔הּ	H3895	her cheeks	.
LAM	1	2	473735	מִכָּל־	H3605	Among all	
LAM	1	2	473736	אֹהֲבֶ֑יהָ	H157	her lovers	
LAM	1	2	473732	אֵֽין־	H369	there is no one	
LAM	1	2	473733	לָ֥הּ			
LAM	1	2	473734	מְנַחֵ֖ם	H5162	to comfort [her]	.
LAM	1	2	473737	כָּל־	H3605	All	
LAM	1	2	473738	רֵעֶ֙יהָ֙	H7453	her friends	
LAM	1	2	473739	בָּ֣גְדוּ	H898	have betrayed	
LAM	1	2	473740	בָ֔הּ		her	;
LAM	1	2	473741	הָ֥יוּ	H1961	they have become	
LAM	1	2	473742	לָ֖הּ		her	
LAM	1	2	473743	לְאֹיְבִֽים׃ס	H341	enemies	.
LAM	1	3	473756	יְהוּדָ֤ה	H3063	Judah	
LAM	1	3	473755	גָּֽלְתָ֨ה	H1540	has gone into exile	
LAM	1	3	473757	מֵעֹ֙נִי֙	H6040	under affliction	
LAM	1	3	473758	וּמֵרֹ֣ב	H7230	and harsh	
LAM	1	3	473759	עֲבֹדָ֔ה	H5656	slavery	;
LAM	1	3	473760	הִ֚יא	H1931	she	
LAM	1	3	473761	יָשְׁבָ֣ה	H3427	dwells	
LAM	1	3	473762	בַגּוֹיִ֔ם	H1471	among the nations	
LAM	1	3	473764	מָצְאָ֖ה	H4672	but finds	
LAM	1	3	473763	לֹ֥א	H3808	no	
LAM	1	3	473765	מָנ֑וֹחַ	H4494	place to rest	.
LAM	1	3	473766	כָּל־	H3605	All	
LAM	1	3	473767	רֹדְפֶ֥יהָ	H7291	her pursuers	
LAM	1	3	473768	הִשִּׂיג֖וּהָ	H5381	have overtaken her	
LAM	1	3	473769	בֵּ֥ין	H996	in the midst	
LAM	1	3	473770	הַמְּצָרִֽים׃ס	H4712	of her distress	.
LAM	1	4	473782	דַּרְכֵ֨י	H1870	The roads	
LAM	1	4	473783	צִיּ֜וֹן	H6726	to Zion	
LAM	1	4	473784	אֲבֵל֗וֹת	H57	mourn	,
LAM	1	4	473785	מִבְּלִי֙	H1097	because no one	
LAM	1	4	473786	בָּאֵ֣י	H935	comes	
LAM	1	4	473787	מוֹעֵ֔ד	H4150	to her appointed feasts	.
LAM	1	4	473788	כָּל־	H3605	All	
LAM	1	4	473789	שְׁעָרֶ֙יהָ֙	H8179	her gates	
LAM	1	4	473790	שֽׁוֹמֵמִ֔ין	H8074	are deserted	;
LAM	1	4	473791	כֹּהֲנֶ֖יהָ	H3548	her priests	
LAM	1	4	473792	נֶאֱנָחִ֑ים	H584	groan	,
LAM	1	4	473793	בְּתוּלֹתֶ֥יהָ	H1330	her maidens	
LAM	1	4	473794	נּוּג֖וֹת	H3013	grieve	,
LAM	1	4	473795	וְהִ֥יא	H1931	and she herself	
LAM	1	4	473796	מַר־	H4751	is bitter with anguish	
LAM	1	4	473797	לָֽהּ׃ס			.
LAM	1	5	473810	צָרֶ֤יהָ	H6862	Her foes	
LAM	1	5	473809	הָי֨וּ	H1961	have become	
LAM	1	5	473811	לְרֹאשׁ֙	H7218	her masters	;
LAM	1	5	473812	אֹיְבֶ֣יהָ	H341	her enemies	
LAM	1	5	473813	שָׁל֔וּ	H7951	are at ease	.
LAM	1	5	473814	כִּֽי־	H3588	For	
LAM	1	5	473815	יְהוָ֥ה	H3068	the LORD	
LAM	1	5	473816	הוֹגָ֖הּ	H3013	has brought her grief	
LAM	1	5	473817	עַ֣ל	H5921	because of	
LAM	1	5	473818	רֹב־	H7230	her many	
LAM	1	5	473819	פְּשָׁעֶ֑יהָ	H6588	transgressions	.
LAM	1	5	473820	עוֹלָלֶ֛יהָ	H5768	Her children	
LAM	1	5	473821	הָלְכ֥וּ	H1980	have gone away	
LAM	1	5	473822	שְׁבִ֖י	H7628	as captives	
LAM	1	5	473823	לִפְנֵי־	H6440	before	
LAM	1	5	473824	צָֽר׃ס	H6862	the enemy	.
LAM	1	6	473843	כָּל־	H3605	All	
LAM	1	6	473844	הֲדָרָ֑הּ	H1926	the splendor	
LAM	1	6	473836	וַיֵּצֵ֥א	H3318	has departed	
LAM	1	6	473840	מִן־	H4480	from	
LAM	1	6	473840.5	בַּת	H1323	the Daughter	
LAM	1	6	473841	צִיּ֖וֹן	H6726	of Zion	.
LAM	1	6	473846	שָׂרֶ֗יהָ	H8269	Her princes	
LAM	1	6	473845	הָי֣וּ	H1961	are	
LAM	1	6	473847	כְּאַיָּלִים֙	H354	like deer	
LAM	1	6	473849	מָצְא֣וּ	H4672	that find	
LAM	1	6	473848	לֹא־	H3808	no	
LAM	1	6	473850	מִרְעֶ֔ה	H4829	pasture	;
LAM	1	6	473852	בְלֹא־	H3808	they lack	
LAM	1	6	473853	כֹ֖חַ	H3581	the strength	
LAM	1	6	473851	וַיֵּלְכ֥וּ	H1980	to flee	
LAM	1	6	473854	לִפְנֵ֥י	H6440	in the face of	
LAM	1	6	473855	רוֹדֵֽף׃ס	H7291	the hunter	.
LAM	1	7	473869	יְמֵ֤י	H3117	In the days	
LAM	1	7	473870	עָנְיָהּ֙	H6040	of her affliction	
LAM	1	7	473871	וּמְרוּדֶ֔יהָ	H4788	and wandering	
LAM	1	7	473868	יְרוּשָׁלִַ֗ם	H3389	Jerusalem	
LAM	1	7	473867	זָֽכְרָ֣ה	H2142	remembers	
LAM	1	7	473872	כֹּ֚ל	H3605	all	
LAM	1	7	473873	מַחֲמֻדֶ֔יהָ	H4262	the treasures	
LAM	1	7	473874	אֲשֶׁ֥ר	H834	that	
LAM	1	7	473875	הָי֖וּ	H1961	were hers	
LAM	1	7	473876	מִ֣ימֵי	H3117	in days	
LAM	1	7	473877	קֶ֑דֶם	H6924	of old	.
LAM	1	7	473879	עַמָּ֣הּ	H5971	When her people	
LAM	1	7	473878	בִּנְפֹ֧ל	H5307	fell	
LAM	1	7	473881	צָ֗ר	H6862	into enemy	
LAM	1	7	473880	בְּיַד־	H3027	hands	
LAM	1	7	473882	וְאֵ֤ין	H369	she received no	
LAM	1	7	473883	עוֹזֵר֙	H5826	help	
LAM	1	7	473884	לָ֔הּ		-	.
LAM	1	7	473886	צָרִ֔ים	H6862	Her enemies	
LAM	1	7	473885	רָא֣וּהָ	H7200	looked upon her	,
LAM	1	7	473887	שָׂחֲק֖וּ	H7832	laughing	
LAM	1	7	473888	עַ֥ל	H5921	at	
LAM	1	7	473889	מִשְׁבַּתֶּֽהָ׃ס	H4868	her downfall	.
LAM	1	8	473903	יְר֣וּשָׁלִַ֔ם	H3389	Jerusalem	
LAM	1	8	473901	חֵ֤טְא	H2399	has sinned greatly	
LAM	1	8	473902	חָֽטְאָה֙	H2398	. . .	;
LAM	1	8	473904	עַל־	H5921	therefore	
LAM	1	8	473905	כֵּ֖ן	H3651	. . .	
LAM	1	8	473907	הָיָ֑תָה	H1961	she has become	
LAM	1	8	473906	לְנִידָ֣ה	H5206	an object of scorn	.
LAM	1	8	473908	כָּֽל־	H3605	All	
LAM	1	8	473909	מְכַבְּדֶ֤יהָ	H3513	who honored her	
LAM	1	8	473910	הִזִּיל֙וּהָ֙	H2107	now despise her	,
LAM	1	8	473911	כִּי־	H3588	for	
LAM	1	8	473912	רָא֣וּ	H7200	they have seen	
LAM	1	8	473913	עֶרְוָתָ֔הּ	H6172	her nakedness	
LAM	1	8	473914	גַּם־	H1571	. . .	;
LAM	1	8	473915	הִ֥יא	H1931	she herself	
LAM	1	8	473916	נֶאֶנְחָ֖ה	H584	groans	
LAM	1	8	473917	וַתָּ֥שָׁב	H7725	and turns	
LAM	1	8	473918	אָחֽוֹר׃ס	H268	away	.
LAM	1	9	473930	טֻמְאָתָ֣הּ	H2932	Her uncleanness	
LAM	1	9	473931	בְּשׁוּלֶ֗יהָ	H7757	stains her skirts	;
LAM	1	9	473932	לֹ֤א	H3808	she did not	
LAM	1	9	473933	זָֽכְרָה֙	H2142	consider	
LAM	1	9	473934	אַחֲרִיתָ֔הּ	H319	her end	.
LAM	1	9	473935	וַתֵּ֣רֶד	H3381	Her downfall	
LAM	1	9	473936	פְּלָאִ֔ים	H6382	was astounding	;
LAM	1	9	473937	אֵ֥ין	H369	there was no one	
LAM	1	9	473938	מְנַחֵ֖ם	H5162	to comfort	
LAM	1	9	473939	לָ֑הּ		her	.
LAM	1	9	473940	רְאֵ֤ה	H7200	Look	,
LAM	1	9	473941	יְהוָה֙	H3068	O LORD	,
LAM	1	9	473942	אֶת־	H853	-	
LAM	1	9	473943	עָנְיִ֔י	H6040	on my affliction	,
LAM	1	9	473944	כִּ֥י	H3588	for	
LAM	1	9	473946	אוֹיֵֽב׃ס	H341	the enemy	
LAM	1	9	473945	הִגְדִּ֖יל	H1431	has triumphed	!
LAM	1	10	473960	צָ֔ר	H6862	The adversary	
LAM	1	10	473958	יָדוֹ֙	H3027	has seized	
LAM	1	10	473959	פָּ֣רַשׂ	H6566	. . .	
LAM	1	10	473961	עַ֖ל	H5921	. . .	
LAM	1	10	473962	כָּל־	H3605	all	
LAM	1	10	473963	מַחֲמַדֶּ֑יהָ	H4261	her treasures	.
LAM	1	10	473964	כִּֽי־	H3588	For	
LAM	1	10	473965	רָאֲתָ֤ה	H7200	she has seen	
LAM	1	10	473966	גוֹיִם֙	H1471	the nations	
LAM	1	10	473967	בָּ֣אוּ	H935	enter	
LAM	1	10	473968	מִקְדָּשָׁ֔הּ	H4720	her sanctuary	—
LAM	1	10	473969	אֲשֶׁ֣ר	H834	those	
LAM	1	10	473970	צִוִּ֔יתָה	H6680	You had forbidden	
LAM	1	10	473971	לֹא־	H3808	. . .	
LAM	1	10	473972	יָבֹ֥אוּ	H935	to enter	
LAM	1	10	473973	בַקָּהָ֖ל	H6951	Your assembly	
LAM	1	10	473974	לָֽךְ׃ס			.
LAM	1	11	473986	כָּל־	H3605	All	
LAM	1	11	473987	עַמָּ֤הּ	H5971	her people	
LAM	1	11	473988	נֶאֱנָחִים֙	H584	groan	
LAM	1	11	473989	מְבַקְּשִׁ֣ים	H1245	as they search	
LAM	1	11	473990	לֶ֔חֶם	H3899	for bread	.
LAM	1	11	473991	נָתְנ֧וּ	H5414	They have traded	
LAM	1	11	473994	מַחֲמוֹדֵּיהֶם	H4262	their treasures	
LAM	1	11	473996	בְּאֹ֖כֶל	H400	for food	
LAM	1	11	473997	לְהָשִׁ֣יב	H7725	to keep themselves alive	
LAM	1	11	473998	נָ֑פֶשׁ	H5315	. . .	.
LAM	1	11	473999	רְאֵ֤ה	H7200	Look	,
LAM	1	11	474000	יְהוָה֙	H3068	O LORD	,
LAM	1	11	474001	וְֽהַבִּ֔יטָה	H5027	and consider	,
LAM	1	11	474002	כִּ֥י	H3588	for	
LAM	1	11	474003	הָיִ֖יתִי	H1961	I have become	
LAM	1	11	474004	זוֹלֵלָֽה׃ס	H2151	despised	.
LAM	1	12	474016	ל֣וֹא	H3808	Is this nothing	
LAM	1	12	474017	אֲלֵיכֶם֮	H413	to you	,
LAM	1	12	474018	כָּל־	H3605	all	
LAM	1	12	474019	עֹ֣בְרֵי	H5674	you who pass by	?
LAM	1	12	474020	דֶרֶךְ֒	H1870	. . .	
LAM	1	12	474021	הַבִּ֣יטוּ	H5027	Look around	
LAM	1	12	474022	וּרְא֗וּ	H7200	and see	!
LAM	1	12	474023	אִם־	H518	. . .	
LAM	1	12	474024	יֵ֤שׁ	H3426	Is there	
LAM	1	12	474025	מַכְאוֹב֙	H4341	any sorrow	
LAM	1	12	474026	כְּמַכְאֹבִ֔י	H4341	like mine	,
LAM	1	12	474027	אֲשֶׁ֥ר	H834	which	
LAM	1	12	474028	עוֹלַ֖ל	H5953	was inflicted	
LAM	1	12	474029	לִ֑י		on me	,
LAM	1	12	474030	אֲשֶׁר֙	H834	which	
LAM	1	12	474032	יְהוָ֔ה	H3068	the LORD	
LAM	1	12	474031	הוֹגָ֣ה	H3013	made me suffer	
LAM	1	12	474033	בְּי֖וֹם	H3117	on the day	
LAM	1	12	474034	חֲר֥וֹן	H2740	of His fierce	
LAM	1	12	474035	אַפּֽוֹ׃ס	H639	anger	?
LAM	1	13	474048	שָֽׁלַח־	H7971	He sent	
LAM	1	13	474049	אֵ֥שׁ	H784	fire	
LAM	1	13	474047	מִמָּר֛וֹם	H4791	from on high	,
LAM	1	13	474051	וַיִּרְדֶּ֑נָּה	H7287	and it overpowered	
LAM	1	13	474050	בְּעַצְמֹתַ֖י	H6106	my bones	.
LAM	1	13	474052	פָּרַ֨שׂ	H6566	He spread	
LAM	1	13	474053	רֶ֤שֶׁת	H7568	a net	
LAM	1	13	474054	לְרַגְלַי֙	H7272	for my feet	
LAM	1	13	474055	הֱשִׁיבַ֣נִי	H7725	and turned me	
LAM	1	13	474056	אָח֔וֹר	H268	back	.
LAM	1	13	474057	נְתָנַ֙נִי֙	H5414	He made me	
LAM	1	13	474058	שֹֽׁמֵמָ֔ה	H8076	desolate	,
LAM	1	13	474061	דָּוָֽה׃ס	H1739	faint	
LAM	1	13	474059	כָּל־	H3605	all	
LAM	1	13	474060	הַיּ֖וֹם	H3117	the day long	.
LAM	1	14	474075	פְּשָׁעַ֜י	H6588	My transgressions	
LAM	1	14	474073	נִשְׂקַד֩	H8244	are bound into	
LAM	1	14	474074	עֹ֨ל	H5923	a yoke	,
LAM	1	14	474077	יִשְׂתָּֽרְג֛וּ	H8276	knit together	
LAM	1	14	474076	בְּיָד֗וֹ	H3027	by His hand	;
LAM	1	14	474078	עָל֥וּ	H5927	they are draped	
LAM	1	14	474079	עַל־	H5921	over	
LAM	1	14	474080	צַוָּארִ֖י	H6677	my neck	,
LAM	1	14	474084	אֲדֹנָ֔י	H136	and the Lord	
LAM	1	14	474081	הִכְשִׁ֣יל	H3782	has broken	
LAM	1	14	474082	כֹּחִ֑י	H3581	my strength	.
LAM	1	14	474083	נְתָנַ֣נִי	H5414	He has delivered me	
LAM	1	14	474085	בִּידֵ֖י	H3027	into the hands	
LAM	1	14	474086	לֹא־	H3808	of those I cannot	
LAM	1	14	474087	אוּכַ֥ל	H3201	. . .	
LAM	1	14	474088	קֽוּם׃ס	H6965	withstand	.
LAM	1	15	474103	אֲדֹנָי֙	H136	The Lord	
LAM	1	15	474100	סִלָּ֨ה	H5541	has rejected	
LAM	1	15	474101	כָל־	H3605	all	
LAM	1	15	474102	אַבִּירַ֤י׀	H47	the mighty men	
LAM	1	15	474104	בְּקִרְבִּ֔י	H7130	in my midst	;
LAM	1	15	474105	קָרָ֥א	H7121	He has summoned	
LAM	1	15	474107	מוֹעֵ֖ד	H4150	an army	
LAM	1	15	474106	עָלַ֛י	H5921	against me	
LAM	1	15	474108	לִשְׁבֹּ֣ר	H7665	to crush	
LAM	1	15	474109	בַּחוּרָ֑י	H970	my young warriors	.
LAM	1	15	474110	גַּ֚ת	H1660	Like grapes in a winepress	,
LAM	1	15	474112	אֲדֹנָ֔י	H136	the Lord	
LAM	1	15	474111	דָּרַ֣ךְ	H1869	has trampled	
LAM	1	15	474113	לִבְתוּלַ֖ת	H1330	the Virgin	
LAM	1	15	474114	בַּת־	H1323	Daughter	
LAM	1	15	474115	יְהוּדָֽה׃ס	H3063	of Judah	.
LAM	1	16	474127	עַל־	H5921	For	
LAM	1	16	474128	אֵ֣לֶּה׀	H428	these things	
LAM	1	16	474129	אֲנִ֣י	H589	I	
LAM	1	16	474130	בוֹכִיָּ֗ה	H1058	weep	;
LAM	1	16	474131	עֵינִ֤י׀	H5869	my eyes	
LAM	1	16	474132	עֵינִי֙	H5869	. . .	
LAM	1	16	474133	יֹ֣רְדָה	H3381	flow	
LAM	1	16	474134	מַּ֔יִם	H4325	with tears	.
LAM	1	16	474135	כִּֽי־	H3588	For	
LAM	1	16	474136	רָחַ֥ק	H7368	there is no one nearby	
LAM	1	16	474137	מִמֶּ֛נִּי	H4480	. . .	
LAM	1	16	474138	מְנַחֵ֖ם	H5162	to comfort me	,
LAM	1	16	474139	מֵשִׁ֣יב	H7725	no one to revive	
LAM	1	16	474140	נַפְשִׁ֑י	H5315	my soul	.
LAM	1	16	474142	בָנַי֙	H1121	My children	
LAM	1	16	474141	הָי֤וּ	H1961	are	
LAM	1	16	474143	שֽׁוֹמֵמִ֔ים	H8074	destitute	
LAM	1	16	474144	כִּ֥י	H3588	because	
LAM	1	16	474146	אוֹיֵֽב׃ס	H341	the enemy	
LAM	1	16	474145	גָבַ֖ר	H1396	has prevailed	.
LAM	1	17	474159	צִיּ֜וֹן	H6726	Zion	
LAM	1	17	474158	פֵּֽרְשָׂ֨ה	H6566	stretches out	
LAM	1	17	474160	בְּיָדֶ֗יהָ	H3027	her hands	,
LAM	1	17	474161	אֵ֤ין	H369	but there is no	
LAM	1	17	474162	מְנַחֵם֙	H5162	one to comfort	
LAM	1	17	474163	לָ֔הּ		her	.
LAM	1	17	474165	יְהוָ֛ה	H3068	The LORD	
LAM	1	17	474164	צִוָּ֧ה	H6680	has decreed	
LAM	1	17	474166	לְיַעֲקֹ֖ב	H3290	against Jacob	
LAM	1	17	474167	סְבִיבָ֣יו	H5439	that his neighbors	
LAM	1	17	474168	צָרָ֑יו	H6862	become his foes	.
LAM	1	17	474170	יְרוּשָׁלִַ֛ם	H3389	Jerusalem	
LAM	1	17	474169	הָיְתָ֧ה	H1961	has become	
LAM	1	17	474171	לְנִדָּ֖ה	H5079	an unclean thing	
LAM	1	17	474172	בֵּינֵיהֶֽם׃ס	H996	among them	.
LAM	1	18	474186	יְהוָ֖ה	H3068	The LORD	
LAM	1	18	474184	צַדִּ֥יק	H6662	is righteous	
LAM	1	18	474185	ה֛וּא	H1931	. . .	,
LAM	1	18	474187	כִּ֣י	H3588	yet	
LAM	1	18	474189	מָרִ֑יתִי	H4784	I rebelled	
LAM	1	18	474188	פִ֣יהוּ	H6310	against His command	.
LAM	1	18	474190	שִׁמְעוּ־	H8085	Listen	,
LAM	1	18	474191	נָ֣א	H4994	. . .	
LAM	1	18	474192	כָל־	H3605	all you people	
LAM	1	18	474195	עַמִּים	H5971	. . .	;
LAM	1	18	474197	וּרְאוּ֙	H7200	look upon	
LAM	1	18	474198	מַכְאֹבִ֔י	H4341	my suffering	.
LAM	1	18	474200	וּבַחוּרַ֖י	H970	My young men	
LAM	1	18	474199	בְּתוּלֹתַ֥י	H1330	and maidens	
LAM	1	18	474201	הָלְכ֥וּ	H1980	have gone	
LAM	1	18	474202	בַשֶּֽׁבִי׃ס	H7628	into captivity	.
LAM	1	19	474214	קָרָ֤אתִי	H7121	I called out	
LAM	1	19	474215	לַֽמְאַהֲבַי֙	H157	to my lovers	,
LAM	1	19	474216	הֵ֣מָּה	H1992	but they	
LAM	1	19	474217	רִמּ֔וּנִי	H7411	have betrayed me	.
LAM	1	19	474218	כֹּהֲנַ֥י	H3548	My priests	
LAM	1	19	474219	וּזְקֵנַ֖י	H2205	and elders	
LAM	1	19	474221	גָּוָ֑עוּ	H1478	perished	
LAM	1	19	474220	בָּעִ֣יר	H5892	in the city	
LAM	1	19	474222	כִּֽי־	H3588	while	
LAM	1	19	474223	בִקְשׁ֥וּ	H1245	they searched for	
LAM	1	19	474224	אֹ֙כֶל֙	H400	food	
LAM	1	19	474225	לָ֔מוֹ			
LAM	1	19	474226	וְיָשִׁ֖יבוּ	H7725	to keep themselves	
LAM	1	19	474227	אֶת־	H853	-	
LAM	1	19	474228	נַפְשָֽׁם׃ס	H5315	alive	.
LAM	1	20	474240	רְאֵ֨ה	H7200	See	,
LAM	1	20	474241	יְהוָ֤ה	H3068	O LORD	,
LAM	1	20	474242	כִּֽי־	H3588	how	
LAM	1	20	474243	צַר־	H6862	distressed	
LAM	1	20	474244	לִי֙		I [am]	!
LAM	1	20	474246	חֳמַרְמָ֔רוּ	H2560	I am churning	
LAM	1	20	474245	מֵעַ֣י	H4578	within	;
LAM	1	20	474248	לִבִּי֙	H3820	my heart	
LAM	1	20	474247	נֶהְפַּ֤ךְ	H2015	is pounding	
LAM	1	20	474249	בְּקִרְבִּ֔י	H7130	within me	,
LAM	1	20	474250	כִּ֥י	H3588	for	
LAM	1	20	474251	מָר֖וֹ	H4784	I have been most rebellious	
LAM	1	20	474252	מָרִ֑יתִי	H4784	. . .	.
LAM	1	20	474253	מִח֥וּץ	H2351	Outside	,
LAM	1	20	474255	חֶ֖רֶב	H2719	the sword	
LAM	1	20	474254	שִׁכְּלָה־	H7921	bereaves	;
LAM	1	20	474256	בַּבַּ֥יִת	H1004	inside	,
LAM	1	20	474257	כַּמָּֽוֶת׃ס	H4194	there is death	.
LAM	1	21	474269	שָׁמְע֞וּ	H8085	People have heard	
LAM	1	21	474272	אָ֗נִי	H589	my	
LAM	1	21	474271	נֶאֱנָחָ֣ה	H584	groaning	,
LAM	1	21	474270	כִּ֧י	H3588		
LAM	1	21	474273	אֵ֤ין	H369	but there is no	
LAM	1	21	474274	מְנַחֵם֙	H5162	one to comfort	
LAM	1	21	474275	לִ֔י		me	.
LAM	1	21	474276	כָּל־	H3605	All	
LAM	1	21	474277	אֹ֨יְבַ֜י	H341	my enemies	
LAM	1	21	474278	שָׁמְע֤וּ	H8085	have heard	
LAM	1	21	474279	רָֽעָתִי֙	H7451	of my trouble	;
LAM	1	21	474280	שָׂ֔שׂוּ	H7797	they are glad	
LAM	1	21	474281	כִּ֥י	H3588	that	
LAM	1	21	474282	אַתָּ֖ה	H859	You	
LAM	1	21	474283	עָשִׂ֑יתָ	H6213	have caused it	.
LAM	1	21	474284	הֵבֵ֥אתָ	H935	May You bring	
LAM	1	21	474285	יוֹם־	H3117	the day	
LAM	1	21	474286	קָרָ֖אתָ	H7121	You have announced	,
LAM	1	21	474287	וְיִֽהְי֥וּ	H1961	so that they may become	
LAM	1	21	474288	כָמֽוֹנִי׃ס	H3644	like me	.
LAM	1	22	474301	כָל־	H3605	Let all	
LAM	1	22	474302	רָעָתָ֤ם	H7451	their wickedness	
LAM	1	22	474300	תָּבֹ֨א	H935	come	
LAM	1	22	474303	לְפָנֶ֙יךָ֙	H6440	before You	,
LAM	1	22	474304	וְעוֹלֵ֣ל	H5953	and deal	
LAM	1	22	474305	לָ֔מוֹ		with them	
LAM	1	22	474306	כַּאֲשֶׁ֥ר	H834	as	
LAM	1	22	474307	עוֹלַ֛לְתָּ	H5953	You have dealt	
LAM	1	22	474308	לִ֖י		with me	
LAM	1	22	474309	עַ֣ל	H5921	because of	
LAM	1	22	474310	כָּל־	H3605	all	
LAM	1	22	474311	פְּשָׁעָ֑י	H6588	my transgressions	.
LAM	1	22	474312	כִּֽי־	H3588	For	
LAM	1	22	474314	אַנְחֹתַ֖י	H585	my groans	
LAM	1	22	474313	רַבּ֥וֹת	H7227	are many	,
LAM	1	22	474315	וְלִבִּ֥י	H3820	and my heart	
LAM	1	22	474316	דַוָּֽי׃פ	H1742	is faint	.
LAM	2	1	474328	אֵיכָה֩	H349	How	
LAM	2	1	474331	אֲדֹנָי֙	H136	the Lord	
LAM	2	1	474332	אֶת־	H853	-	
LAM	2	1	474329	יָעִ֨יב	H5743	has covered	
LAM	2	1	474333	בַּת־	H1323	the Daughter	
LAM	2	1	474334	צִיּ֔וֹן	H6726	of Zion	
LAM	2	1	474330	בְּאַפּ֤וֹ׀	H639	with the cloud of His anger	!
