book	chapter	verse	sort	hebrew	strong	bsb	pnc
LEV	1	1	65134	יְהוָה֙	H3068	Then the LORD	
LEV	1	1	65135	אֵלָ֔יו	H413	. . .	
LEV	1	1	65130	וַיִּקְרָ֖א	H7121	called to	
LEV	1	1	65132	מֹשֶׁ֑ה	H4872	Moses	
LEV	1	1	65133	וַיְדַבֵּ֤ר	H1696	and spoke	
LEV	1	1	65131	אֶל־	H413	to him	
LEV	1	1	65136	מֵאֹ֥הֶל	H168	from the Tent	
LEV	1	1	65137	מוֹעֵ֖ד	H4150	of Meeting	,
LEV	1	1	65138	לֵאמֹֽר׃	H559	saying	,
LEV	1	2	65149	דַּבֵּ֞ר	H1696	Speak	
LEV	1	2	65150	אֶל־	H413	to	
LEV	1	2	65151	בְּנֵ֤י	H1121	the Israelites	
LEV	1	2	65152	יִשְׂרָאֵל֙	H3478	. . .	
LEV	1	2	65153	וְאָמַרְתָּ֣	H559	and tell	
LEV	1	2	65154	אֲלֵהֶ֔ם	H413	them	:
LEV	1	2	65156	כִּֽי־	H3588	When	
LEV	1	2	65155	אָדָ֗ם	H120	any	
LEV	1	2	65158	מִכֶּ֛ם		of	
LEV	1	2	65157	יַקְרִ֥יב	H7126	you brings	
LEV	1	2	65159	קָרְבָּ֖ן	H7133	an offering	
LEV	1	2	65160	לַֽיהוָ֑ה	H3068	to the LORD	,
LEV	1	2	65167	תַּקְרִ֖יבוּ	H7126	you may bring	
LEV	1	2	65168	אֶת־	H853	-	
LEV	1	2	65169	קָרְבַּנְכֶֽם׃	H7133	as your offering	
LEV	1	2	65161	מִן־	H4480	an	
LEV	1	2	65162	הַבְּהֵמָ֗ה	H929	animal	
LEV	1	2	65163	מִן־	H4480	from	
LEV	1	2	65164	הַבָּקָר֙	H1241	the herd	
LEV	1	2	65165	וּמִן־	H4480	. . .	
LEV	1	2	65166	הַצֹּ֔אן	H6629	or the flock	.
LEV	1	3	65180	אִם־	H518	If	
LEV	1	3	65182	קָרְבָּנוֹ֙	H7133	his offering	
LEV	1	3	65181	עֹלָ֤ה	H5930	is a burnt offering	
LEV	1	3	65183	מִן־	H4480	from	
LEV	1	3	65184	הַבָּקָ֔ר	H1241	the herd	,
LEV	1	3	65187	יַקְרִיבֶ֑נּוּ	H7126	he is to present	
LEV	1	3	65186	תָּמִ֖ים	H8549	an unblemished	
LEV	1	3	65185	זָכָ֥ר	H2145	male	.
LEV	1	3	65192	יַקְרִ֣יב	H7126	He must bring	
LEV	1	3	65193	אֹת֔וֹ	H853	it	
LEV	1	3	65188	אֶל־	H413	to	
LEV	1	3	65189	פֶּ֝תַח	H6607	the entrance	
LEV	1	3	65190	אֹ֤הֶל	H168	to the Tent	
LEV	1	3	65191	מוֹעֵד֙	H4150	of Meeting	
LEV	1	3	65194	לִרְצֹנ֖וֹ	H7522	for its acceptance	
LEV	1	3	65195	לִפְנֵ֥י	H6440	before	
LEV	1	3	65196	יְהוָֽה׃	H3068	the LORD	.
LEV	1	4	65207	וְסָמַ֣ךְ	H5564	He is to lay	
LEV	1	4	65208	יָד֔וֹ	H3027	his hand	
LEV	1	4	65209	עַ֖ל	H5921	on	
LEV	1	4	65210	רֹ֣אשׁ	H7218	the head	
LEV	1	4	65211	הָעֹלָ֑ה	H5930	of the burnt offering	,
LEV	1	4	65212	וְנִרְצָ֥ה	H7521	so it can be accepted	
LEV	1	4	65213	ל֖וֹ		on his behalf	
LEV	1	4	65214	לְכַפֵּ֥ר	H3722	to make atonement	
LEV	1	4	65215	עָלָֽיו׃	H5921	for him	.
