book	chapter	verse	sort	hebrew	strong	bsb	pnc
MAL	1	1	542530	מַשָּׂ֥א	H4853	[This is] the burden	
MAL	1	1	542531	דְבַר־	H1697	of the word	
MAL	1	1	542532	יְהוָ֖ה	H3068	of the LORD	
MAL	1	1	542533	אֶל־	H413	to	
MAL	1	1	542534	יִשְׂרָאֵ֑ל	H3478	Israel	
MAL	1	1	542535	בְּיַ֖ד	H3027	through	
MAL	1	1	542536	מַלְאָכִֽי׃	H4401	Malachi	:
MAL	1	2	542547	אָהַ֤בְתִּי	H157	I have loved you	,
MAL	1	2	542548	אֶתְכֶם֙	H853	-	
MAL	1	2	542549	אָמַ֣ר	H559	says	
MAL	1	2	542550	יְהוָ֔ה	H3068	the LORD	.
MAL	1	2	542551	וַאֲמַרְתֶּ֖ם	H559	But you ask	,
MAL	1	2	542552	בַּמָּ֣ה	H4100	How	
MAL	1	2	542553	אֲהַבְתָּ֑נוּ	H157	have You loved us	?
MAL	1	2	542554	הֲלוֹא־	H3808	Was not	
MAL	1	2	542556	עֵשָׂ֤ו	H6215	Esau	
MAL	1	2	542557	לְיַֽעֲקֹב֙	H3290	Jacob’s	
MAL	1	2	542555	אָ֨ח	H251	brother	?
MAL	1	2	542558	נְאֻם־	H5002	declares	
MAL	1	2	542559	יְהוָ֔ה	H3068	the LORD	.
MAL	1	2	542562	יַעֲקֹֽב׃	H3290	Yet Jacob	
MAL	1	2	542560	וָאֹהַ֖ב	H157	I have loved	
MAL	1	2	542561	אֶֽת־	H853	-	,
MAL	1	3	542573	וְאֶת־	H853	but	
MAL	1	3	542574	עֵשָׂ֖ו	H6215	Esau	
MAL	1	3	542575	שָׂנֵ֑אתִי	H8130	I have hated	,
MAL	1	3	542576	וָאָשִׂ֤ים	H7760	and I have made	
MAL	1	3	542577	אֶת־	H853		
MAL	1	3	542578	הָרָיו֙	H2022	his mountains	
MAL	1	3	542579	שְׁמָמָ֔ה	H8077	a wasteland	
MAL	1	3	542580	וְאֶת־	H853	-	
MAL	1	3	542581	נַחֲלָת֖וֹ	H5159	and left his inheritance	
MAL	1	3	542583	מִדְבָּֽר׃	H4057	to the desert	
MAL	1	3	542582	לְתַנּ֥וֹת	H8568	jackals	.
MAL	1	4	542594	כִּֽי־	H3588	Though	
MAL	1	4	542596	אֱד֜וֹם	H123	Edom	
MAL	1	4	542595	תֹאמַ֨ר	H559	may say	,
MAL	1	4	542597	רֻשַּׁ֗שְׁנוּ	H7567	We have been devastated	,
MAL	1	4	542598	וְנָשׁוּב֙	H7725	but we will rebuild	
MAL	1	4	542599	וְנִבְנֶ֣ה	H1129	. . .	
MAL	1	4	542600	חֳרָב֔וֹת	H2723	the ruins	,
MAL	1	4	542601	כֹּ֤ה	H3541	this is what	
MAL	1	4	542603	יְהוָ֣ה	H3068	the LORD	
MAL	1	4	542604	צְבָא֔וֹת	H6635	of Hosts	
MAL	1	4	542602	אָמַר֙	H559	says	:
MAL	1	4	542605	הֵ֥מָּה	H1992	They	
MAL	1	4	542606	יִבְנ֖וּ	H1129	may build	,
MAL	1	4	542607	וַאֲנִ֣י	H589	but I	
MAL	1	4	542608	אֶהֱר֑וֹס	H2040	will demolish	.
MAL	1	4	542609	וְקָרְא֤וּ	H7121	They will be called	
MAL	1	4	542610	לָהֶם֙			
MAL	1	4	542611	גְּב֣וּל	H1366	the Land	
MAL	1	4	542612	רִשְׁעָ֔ה	H7564	of Wickedness	,
MAL	1	4	542613	וְהָעָ֛ם	H5971	and a people	
MAL	1	4	542614	אֲשֶׁר־	H834	with whom	
MAL	1	4	542616	יְהוָ֖ה	H3068	the LORD	
MAL	1	4	542615	זָעַ֥ם	H2194	is indignant	
MAL	1	4	542617	עַד־	H5704	forever	
MAL	1	4	542618	עוֹלָֽם׃	H5769	. . .	.
MAL	1	5	542630	תִּרְאֶ֑ינָה	H7200	You will see this	
MAL	1	5	542629	וְעֵינֵיכֶ֖ם	H5869	with your own eyes	,
MAL	1	5	542631	וְאַתֶּ֤ם	H859	and you yourselves	
MAL	1	5	542632	תֹּֽאמְרוּ֙	H559	will say	,
MAL	1	5	542634	יְהוָ֔ה	H3068	The LORD	
MAL	1	5	542633	יִגְדַּ֣ל	H1431	is great	—
MAL	1	5	542635	מֵעַ֖ל	H5921	even beyond	
MAL	1	5	542636	לִגְב֥וּל	H1366	the borders	
MAL	1	5	542637	יִשְׂרָאֵֽל׃	H3478	of Israel	.
MAL	1	6	542648	בֵּ֛ן	H1121	A son	
MAL	1	6	542649	יְכַבֵּ֥ד	H3513	honors	
MAL	1	6	542650	אָ֖ב	H1	his father	,
MAL	1	6	542651	וְעֶ֣בֶד	H5650	and a servant	
MAL	1	6	542652	אֲדֹנָ֑יו	H113	his master	.
MAL	1	6	542653	וְאִם־	H518	But if	
MAL	1	6	542655	אָ֣נִי	H589	I	
MAL	1	6	542654	אָ֣ב	H1	am a father	,
MAL	1	6	542656	אַיֵּ֣ה	H346	where	
MAL	1	6	542657	כְבוֹדִ֡י	H3519	is My honor	?
MAL	1	6	542658	וְאִם־	H518	And if	
MAL	1	6	542660	אָנִי֩	H589	I	
MAL	1	6	542659	אֲדוֹנִ֣ים	H113	am a master	,
MAL	1	6	542661	אַיֵּ֨ה	H346	where	
MAL	1	6	542662	מוֹרָאִ֜י	H4172	is your fear of Me	?
MAL	1	6	542663	אָמַ֣ר׀	H559	says	
MAL	1	6	542664	יְהוָ֣ה	H3068	the LORD	
MAL	1	6	542665	צְבָא֗וֹת	H6635	of Hosts	
MAL	1	6	542666	לָכֶם֙		to you	
MAL	1	6	542667	הַכֹּֽהֲנִים֙	H3548	priests	
MAL	1	6	542668	בּוֹזֵ֣י	H959	who despise	
MAL	1	6	542669	שְׁמִ֔י	H8034	My name	.
MAL	1	6	542670	וַאֲמַרְתֶּ֕ם	H559	But you ask	,
MAL	1	6	542671	בַּמֶּ֥ה	H4100	How	
MAL	1	6	542672	בָזִ֖ינוּ	H959	have we despised	
MAL	1	6	542673	אֶת־	H853	-	
MAL	1	6	542674	שְׁמֶֽךָ׃	H8034	Your name	?
MAL	1	7	542685	מַגִּישִׁ֤ים	H5066	By presenting	
MAL	1	7	542689	מְגֹאָ֔ל	H1351	defiled	
MAL	1	7	542688	לֶ֣חֶם	H3899	food	
MAL	1	7	542686	עַֽל־	H5921	on	
MAL	1	7	542687	מִזְבְּחִי֙	H4196	My altar	.
MAL	1	7	542690	וַאֲמַרְתֶּ֖ם	H559	But you ask	,
MAL	1	7	542691	בַּמֶּ֣ה	H4100	How	
MAL	1	7	542692	גֵֽאַלְנ֑וּךָ	H1351	have we defiled You	
MAL	1	7	542693	בֶּאֱמָרְכֶ֕ם	H559	By saying that	
MAL	1	7	542694	שֻׁלְחַ֥ן	H7979	the table	
MAL	1	7	542695	יְהוָ֖ה	H3068	of the LORD	
MAL	1	7	542696	נִבְזֶ֥ה	H959	is contemptible	
MAL	1	7	542697	הֽוּא׃	H1931	. . .	.
MAL	1	8	542708	וְכִֽי־	H3588	When	
MAL	1	8	542709	תַגִּשׁ֨וּן	H5066	you offer	
MAL	1	8	542710	עִוֵּ֤ר	H5787	blind animals	
MAL	1	8	542711	לִזְבֹּ֙חַ֙	H2076	for sacrifice	,
MAL	1	8	542712	אֵ֣ין	H369	is it not	
MAL	1	8	542713	רָ֔ע	H7451	wrong	?
MAL	1	8	542714	וְכִ֥י	H3588	And when	
MAL	1	8	542715	תַגִּ֛ישׁוּ	H5066	you present	
MAL	1	8	542716	פִּסֵּ֥חַ	H6455	the lame	
MAL	1	8	542717	וְחֹלֶ֖ה	H2470	and sick [ones]	,
MAL	1	8	542718	אֵ֣ין	H369	is it not	
MAL	1	8	542719	רָ֑ע	H7451	wrong	?
MAL	1	8	542720	הַקְרִיבֵ֨הוּ	H7126	Try offering them	
MAL	1	8	542721	נָ֜א	H4994	. . .	
MAL	1	8	542722	לְפֶחָתֶ֗ךָ	H6346	to your governor	!
MAL	1	8	542723	הֲיִּרְצְךָ֙	H7521	Would he be pleased	
MAL	1	8	542724	א֚וֹ	H176	with you or	
MAL	1	8	542725	הֲיִשָּׂ֣א	H5375	show you favor	
MAL	1	8	542726	פָנֶ֔יךָ	H6440	. . .	?
MAL	1	8	542727	אָמַ֖ר	H559	asks	
MAL	1	8	542728	יְהוָ֥ה	H3068	the LORD	
MAL	1	8	542729	צְבָאֽוֹת׃	H6635	of Hosts	.
