book	chapter	verse	sort	hebrew	strong	bsb	pnc
MIC	1	1	530179	דְּבַר־	H1697	[This is] the word	
MIC	1	1	530180	יְהוָ֣ה׀	H3068	of the LORD	
MIC	1	1	530181	אֲשֶׁ֣ר	H834	that	
MIC	1	1	530182	הָיָ֗ה	H1961	came	
MIC	1	1	530183	אֶל־	H413	to	
MIC	1	1	530184	מִיכָה֙	H4318	Micah	
MIC	1	1	530185	הַמֹּ֣רַשְׁתִּ֔י	H4183	the Moreshite	
MIC	1	1	530186	בִּימֵ֥י	H3117	in the days	
MIC	1	1	530187	יוֹתָ֛ם	H3147	of Jotham	,
MIC	1	1	530188	אָחָ֥ז	H271	Ahaz	,
MIC	1	1	530189	יְחִזְקִיָּ֖ה	H3169	and Hezekiah	,
MIC	1	1	530190	מַלְכֵ֣י	H4428	kings	
MIC	1	1	530191	יְהוּדָ֑ה	H3063	of Judah	—
MIC	1	1	530192	אֲשֶׁר־	H834	what	
MIC	1	1	530193	חָזָ֥ה	H2372	he saw	
MIC	1	1	530194	עַל־	H5921	regarding	
MIC	1	1	530195	שֹׁמְר֖וֹן	H8111	Samaria	
MIC	1	1	530196	וִירֽוּשָׁלִָֽם׃	H3389	and Jerusalem	:
MIC	1	2	530207	שִׁמְעוּ֙	H8085	Hear	,
MIC	1	2	530208	עַמִּ֣ים	H5971	O peoples	,
MIC	1	2	530209	כֻּלָּ֔ם	H3605	all of you	;
MIC	1	2	530210	הַקְשִׁ֖יבִי	H7181	listen	,
MIC	1	2	530211	אֶ֣רֶץ	H776	O earth	,
MIC	1	2	530212	וּמְלֹאָ֑הּ	H4393	and everyone in it	!
MIC	1	2	530214	אֲדֹנָ֨י	H136	May the Lord	
MIC	1	2	530215	יְהוִ֤ה	H3069	GOD	
MIC	1	2	530213	וִיהִי֩	H1961	bear	
MIC	1	2	530217	לְעֵ֔ד	H5707	witness	
MIC	1	2	530216	בָּכֶם֙		against you	,
MIC	1	2	530218	אֲדֹנָ֖י	H136	the Lord	
MIC	1	2	530220	קָדְשֽׁוֹ׃	H6944	from His holy	
MIC	1	2	530219	מֵהֵיכַ֥ל	H1964	temple	.
MIC	1	3	530231	כִּֽי־	H3588	For	
MIC	1	3	530232	הִנֵּ֥ה	H2009	behold	,
MIC	1	3	530233	יְהוָ֖ה	H3068	the LORD	
MIC	1	3	530234	יֹצֵ֣א	H3318	comes forth	
MIC	1	3	530235	מִמְּקוֹמ֑וֹ	H4725	from His dwelling place	;
MIC	1	3	530236	וְיָרַ֥ד	H3381	He will come down	
MIC	1	3	530237	וְדָרַ֖ךְ	H1869	and tread	
MIC	1	3	530238	עַל־	H5921	on	
MIC	1	3	530241	בָּמוֹתֵי	H1116	the high places	
