book	chapter	verse	sort	hebrew	strong	bsb	pnc
NAM	1	1	532653	מַשָּׂ֖א	H4853	This is the burden	
NAM	1	1	532654	נִֽינְוֵ֑ה	H5210	against Nineveh	,
NAM	1	1	532655	סֵ֧פֶר	H5612	the book	
NAM	1	1	532656	חֲז֛וֹן	H2377	of the vision	
NAM	1	1	532657	נַח֖וּם	H5151	of Nahum	
NAM	1	1	532658	הָאֶלְקֹשִֽׁי׃	H512	the Elkoshite	:
NAM	1	2	532672	יְהוָ֔ה	H3068	The LORD	
NAM	1	2	532670	קַנּ֤וֹא	H7072	is a jealous	
NAM	1	2	532671	וְנֹקֵם֙	H5358	and avenging	
NAM	1	2	532669	אֵ֣ל	H410	God	;
NAM	1	2	532674	יְהוָ֖ה	H3068	the LORD	
NAM	1	2	532673	נֹקֵ֥ם	H5358	is avenging	
NAM	1	2	532675	וּבַ֣עַל	H1167	and full	
NAM	1	2	532676	חֵמָ֑ה	H2534	of wrath	.
NAM	1	2	532678	יְהוָה֙	H3068	The LORD	
NAM	1	2	532677	נֹקֵ֤ם	H5358	takes vengeance	
NAM	1	2	532679	לְצָרָ֔יו	H6862	on His foes	
NAM	1	2	532681	ה֖וּא	H1931	-	
NAM	1	2	532680	וְנוֹטֵ֥ר	H5201	and reserves [wrath]	
NAM	1	2	532682	לְאֹיְבָֽיו׃	H341	for His enemies	.
NAM	1	3	532693	יְהֹוָ֗ה	H3068	The LORD	
NAM	1	3	532694	אֶ֤רֶךְ	H750	is slow	
NAM	1	3	532695	אַפַּ֙יִם֙	H639	to anger	
NAM	1	3	532698	וּגְדוֹל	H1419	and great	
NAM	1	3	532699	כֹּ֔חַ	H3581	in power	;
NAM	1	3	532704	יְהוָ֗ה	H3068	the LORD	
NAM	1	3	532702	לֹ֣א	H3808	will by no means	
NAM	1	3	532701	וְנַקֵּ֖ה	H5352	leave the guilty unpunished	
NAM	1	3	532703	יְנַקֶּ֑ה	H5352	. . .	.
NAM	1	3	532707	דַּרְכּ֔וֹ	H1870	His path	
NAM	1	3	532705	בְּסוּפָ֤ה	H5492	is in the whirlwind	
NAM	1	3	532706	וּבִשְׂעָרָה֙	H8183	and storm	,
NAM	1	3	532708	וְעָנָ֖ן	H6051	and clouds	
NAM	1	3	532709	אֲבַ֥ק	H80	are the dust	
NAM	1	3	532710	רַגְלָֽיו׃	H7272	beneath His feet	.
NAM	1	4	532721	גּוֹעֵ֤ר	H1605	He rebukes	
NAM	1	4	532722	בַּיָּם֙	H3220	the sea	
NAM	1	4	532723	וַֽיַּבְּשֵׁ֔הוּ	H3001	and dries it up	;
NAM	1	4	532724	וְכָל־	H3605	He makes all	
NAM	1	4	532725	הַנְּהָר֖וֹת	H5104	the rivers	
NAM	1	4	532726	הֶֽחֱרִ֑יב	H2717	run dry	.
NAM	1	4	532728	בָּשָׁן֙	H1316	Bashan	
NAM	1	4	532729	וְכַרְמֶ֔ל	H3760	and Carmel	
NAM	1	4	532727	אֻמְלַ֤ל	H535	wither	,
NAM	1	4	532730	וּפֶ֥רַח	H6525	and the flower	
NAM	1	4	532731	לְבָנ֖וֹן	H3844	of Lebanon	
NAM	1	4	532732	אֻמְלָֽל׃	H535	wilts	.
NAM	1	5	532743	הָרִים֙	H2022	The mountains	
NAM	1	5	532744	רָעֲשׁ֣וּ	H7493	quake	
NAM	1	5	532745	מִמֶּ֔נּוּ	H4480	before Him	,
NAM	1	5	532746	וְהַגְּבָע֖וֹת	H1389	and the hills	
NAM	1	5	532747	הִתְמֹגָ֑גוּ	H4127	melt away	;
NAM	1	5	532749	הָאָ֙רֶץ֙	H776	the earth	
NAM	1	5	532748	וַתִּשָּׂ֤א	H5375	trembles	
NAM	1	5	532750	מִפָּנָ֔יו	H6440	at His presence	—
