book	chapter	verse	sort	hebrew	strong	bsb	pnc
NEH	1	1	305259	דִּבְרֵ֥י	H1697	[These are] the words	
NEH	1	1	305260	נְחֶמְיָ֖ה	H5166	of Nehemiah	
NEH	1	1	305261	בֶּן־	H1121	son	
NEH	1	1	305262	חֲכַלְיָ֑ה	H2446	of Hacaliah	:
NEH	1	1	305263	וַיְהִ֤י	H1961	vvv	
NEH	1	1	305264	בְחֹֽדֶשׁ־	H2320	In the month	
NEH	1	1	305267	כִּסְלֵו	H3691	of Chislev	,
NEH	1	1	305270	עֶשְׂרִ֔ים	H6242	in the twentieth	
NEH	1	1	305269	שְׁנַ֣ת	H8141	year	,
NEH	1	1	305271	וַאֲנִ֥י	H589	while I	
NEH	1	1	305272	הָיִ֖יתִי	H1961	was	
NEH	1	1	305274	הַבִּירָֽה׃	H1002	in the citadel	
NEH	1	1	305273	בְּשׁוּשַׁ֥ן	H7800	of Susa	,
NEH	1	2	305286	חֲנָ֜נִי	H2607	Hanani	,
NEH	1	2	305287	אֶחָ֧ד	H259	one	
NEH	1	2	305288	מֵאַחַ֛י	H251	of my brothers	,
NEH	1	2	305289	ה֥וּא	H1931	. . .	
NEH	1	2	305285	וַיָּבֹ֨א	H935	arrived	
NEH	1	2	305290	וַאֲנָשִׁ֖ים	H582	with men	
NEH	1	2	305291	מִֽיהוּדָ֑ה	H3063	from Judah	.
NEH	1	2	305292	וָאֶשְׁאָלֵ֞ם	H7592	So I questioned them	
NEH	1	2	305293	עַל־	H5921	about	
NEH	1	2	305295	הַפְּלֵיטָ֛ה	H6413	the remnant	
NEH	1	2	305294	הַיְּהוּדִ֧ים	H3064	of the Jews	
NEH	1	2	305296	אֲשֶֽׁר־	H834	who	
NEH	1	2	305297	נִשְׁאֲר֥וּ	H7604	had survived	
NEH	1	2	305298	מִן־	H4480		
NEH	1	2	305299	הַשֶּׁ֖בִי	H7628	the exile	,
NEH	1	2	305300	וְעַל־	H5921	and also about	
NEH	1	2	305301	יְרוּשָׁלִָֽם׃	H3389	Jerusalem	.
NEH	1	3	305312	וַיֹּאמְרוּ֮	H559	And they told	
NEH	1	3	305313	לִי֒		me	,
NEH	1	3	305314	הַֽנִּשְׁאָרִ֞ים	H7604	The remnant	
NEH	1	3	305315	אֲשֶֽׁר־	H834	who	
NEH	1	3	305316	נִשְׁאֲר֤וּ	H7604	survived	
NEH	1	3	305317	מִן־	H4480	. . .	
NEH	1	3	305318	הַשְּׁבִי֙	H7628	the exile	
NEH	1	3	305319	שָׁ֣ם	H8033	[are] there	
NEH	1	3	305320	בַּמְּדִינָ֔ה	H4082	in the province	,
NEH	1	3	305322	גְדֹלָ֖ה	H1419	in great	
NEH	1	3	305321	בְּרָעָ֥ה	H7451	trouble	
NEH	1	3	305323	וּבְחֶרְפָּ֑ה	H2781	and disgrace	.
NEH	1	3	305324	וְחוֹמַ֤ת	H2346	The wall	
NEH	1	3	305325	יְרוּשָׁלִַ֙ם֙	H3389	of Jerusalem	
NEH	1	3	305326	מְפֹרָ֔צֶת	H6555	[is] broken down	,
NEH	1	3	305327	וּשְׁעָרֶ֖יהָ	H8179	and its gates	
NEH	1	3	305328	נִצְּת֥וּ	H3341	have been burned	
NEH	1	3	305329	בָאֵֽשׁ׃	H784	with fire	.
NEH	1	4	305340	וַיְהִ֞י	H1961	-	
NEH	1	4	305341	כְּשָׁמְעִ֣י׀	H8085	When I heard	
NEH	1	4	305342	אֶת־	H853	-	
NEH	1	4	305344	הָאֵ֗לֶּה	H428	these	
NEH	1	4	305343	הַדְּבָרִ֣ים	H1697	words	,
NEH	1	4	305345	יָשַׁ֙בְתִּי֙	H3427	I sat down	
NEH	1	4	305346	וָֽאֶבְכֶּ֔ה	H1058	and wept	.
NEH	1	4	305347	וָאֶתְאַבְּלָ֖ה	H56	I mourned	
NEH	1	4	305348	יָמִ֑ים	H3117	for days	,
NEH	1	4	305349	וָֽאֱהִ֥י	H1961	. . .	
NEH	1	4	305350	צָם֙	H6684	fasting	
NEH	1	4	305351	וּמִתְפַּלֵּ֔ל	H6419	and praying	
NEH	1	4	305352	לִפְנֵ֖י	H6440	before	
NEH	1	4	305353	אֱלֹהֵ֥י	H430	the God	
NEH	1	4	305354	הַשָּׁמָֽיִם׃	H8064	of heaven	.
NEH	1	5	305365	וָאֹמַ֗ר	H559	Then I said	:
NEH	1	5	305366	אָֽנָּ֤א	H577	O	
NEH	1	5	305367	יְהוָה֙	H3068	LORD	,
NEH	1	5	305368	אֱלֹהֵ֣י	H430	God	
NEH	1	5	305369	הַשָּׁמַ֔יִם	H8064	of heaven	,
NEH	1	5	305371	הַגָּד֖וֹל	H1419	the great	
NEH	1	5	305372	וְהַנּוֹרָ֑א	H3372	and awesome	
NEH	1	5	305370	הָאֵ֥ל	H410	God	
NEH	1	5	305373	שֹׁמֵ֤ר	H8104	who keeps	
NEH	1	5	305374	הַבְּרִית֙	H1285	His covenant	
NEH	1	5	305375	וָחֶ֔סֶד	H2617	of loving devotion	
NEH	1	5	305376	לְאֹהֲבָ֖יו	H157	with those who love Him	
NEH	1	5	305377	וּלְשֹׁמְרֵ֥י	H8104	and keep	
NEH	1	5	305378	מִצְוֺתָֽיו׃	H4687	His commandments	,
NEH	1	6	305393	וְֽעֵינֶ֪יךָ	H5869	let Your eyes	
NEH	1	6	305389	תְּהִ֣י	H1961	be	
NEH	1	6	305390	נָ֣א	H4994	. . .	
NEH	1	6	305394	פְתֻוּח֟וֹת	H6605	open	
NEH	1	6	305391	אָזְנְךָֽ־	H241	and Your ears	
NEH	1	6	305392	קַשֶּׁ֣בֶת	H7183	attentive	
NEH	1	6	305395	לִשְׁמֹ֣עַ	H8085	to hear	
NEH	1	6	305396	אֶל־	H413	. . .	
NEH	1	6	305397	תְּפִלַּ֣ת	H8605	the prayer	
NEH	1	6	305399	אֲשֶׁ֣ר	H834	that	
NEH	1	6	305400	אָנֹכִי֩	H595	I	,
NEH	1	6	305398	עַבְדְּךָ֡	H5650	Your servant	,
NEH	1	6	305403	הַיּוֹם֙	H3117	now	
NEH	1	6	305401	מִתְפַּלֵּ֨ל	H6419	pray	
NEH	1	6	305402	לְפָנֶ֤יךָ	H6440	before You	
NEH	1	6	305404	יוֹמָ֣ם	H3119	day	
NEH	1	6	305405	וָלַ֔יְלָה	H3915	and night	
NEH	1	6	305406	עַל־	H5921	for	
NEH	1	6	305409	עֲבָדֶ֑יךָ	H5650	Your servants	,
NEH	1	6	305407	בְּנֵ֥י	H1121	the Israelites	
NEH	1	6	305408	יִשְׂרָאֵ֖ל	H3478	. . .	.
NEH	1	6	305410	וּמִתְוַדֶּ֗ה	H3034	I confess	
NEH	1	6	305411	עַל־	H5921	. . .	
NEH	1	6	305412	חַטֹּ֤אות	H2403	the sins	
