book	chapter	verse	sort	hebrew	strong	bsb	pnc
OBA	1	1	528504	חֲז֖וֹן	H2377	[This is] the vision	
OBA	1	1	528505	עֹֽבַדְיָ֑ה	H5662	of Obadiah	:
OBA	1	1	528506	כֹּֽה־	H3541	This is what	
OBA	1	1	528508	אֲדֹנָ֨י	H136	the Lord	
OBA	1	1	528509	יְהוִ֜ה	H3069	GOD	
OBA	1	1	528507	אָמַר֩	H559	says	
OBA	1	1	528510	לֶאֱד֗וֹם	H123	about Edom	—
OBA	1	1	528512	שָׁמַ֜עְנוּ	H8085	We have heard	
OBA	1	1	528513	מֵאֵ֤ת	H854	. . .	
OBA	1	1	528511	שְׁמוּעָ֨ה	H8052	a message	
OBA	1	1	528514	יְהוָה֙	H3068	from the LORD	;
OBA	1	1	528515	וְצִיר֙	H6735	an envoy	
OBA	1	1	528517	שֻׁלָּ֔ח	H7971	has been sent	
OBA	1	1	528516	בַּגּוֹיִ֣ם	H1471	among the nations	
OBA	1	1	528518	ק֛וּמוּ	H6965	[to say,] “Rise up	,
OBA	1	1	528519	וְנָק֥וּמָה	H6965	and let us go	
OBA	1	1	528521	לַמִּלְחָמָֽה׃	H4421	to battle	
OBA	1	1	528520	עָלֶיהָ	H5921	against her	!”—
OBA	1	2	528532	הִנֵּ֥ה	H2009	Behold	,
OBA	1	2	528534	נְתַתִּ֖יךָ	H5414	I will make you	
OBA	1	2	528533	קָטֹ֛ן	H6996	small	
OBA	1	2	528535	בַּגּוֹיִ֑ם	H1471	among the nations	;
OBA	1	2	528537	אַתָּ֖ה	H859	you	
OBA	1	2	528538	מְאֹֽד׃	H3966	will be deeply	
OBA	1	2	528536	בָּז֥וּי	H959	despised	.
OBA	1	3	528549	זְד֤וֹן	H2087	The pride	
OBA	1	3	528550	לִבְּךָ֙	H3820	of your heart	
OBA	1	3	528551	הִשִּׁיאֶ֔ךָ	H5377	has deceived you	,
OBA	1	3	528552	שֹׁכְנִ֥י	H7931	O dwellers	
OBA	1	3	528553	בְחַגְוֵי־	H2288	in the clefts	
OBA	1	3	528554	סֶּ֖לַע	H5553	of the rocks	
OBA	1	3	528556	שִׁבְתּ֑וֹ	H7675	whose habitation is	
OBA	1	3	528555	מְר֣וֹם	H4791	the heights	,
OBA	1	3	528557	אֹמֵ֣ר	H559	who say	
OBA	1	3	528558	בְּלִבּ֔וֹ	H3820	in your heart	,
OBA	1	3	528559	מִ֥י	H4310	Who	
OBA	1	3	528560	יוֹרִדֵ֖נִי	H3381	can bring me down	
OBA	1	3	528561	אָֽרֶץ׃	H776	to the ground	?
OBA	1	4	528572	אִם־	H518	Though	
OBA	1	4	528573	תַּגְבִּ֣יהַּ	H1361	you soar	
OBA	1	4	528574	כַּנֶּ֔שֶׁר	H5404	like the eagle	
OBA	1	4	528575	וְאִם־	H518	. . .	
OBA	1	4	528578	שִׂ֣ים	H7760	and make	
OBA	1	4	528579	קִנֶּ֑ךָ	H7064	your nest	
OBA	1	4	528576	בֵּ֥ין	H996	among	
OBA	1	4	528577	כּֽוֹכָבִ֖ים	H3556	the stars	,
OBA	1	4	528580	מִשָּׁ֥ם	H8033	even from there	
OBA	1	4	528581	אוֹרִֽידְךָ֖	H3381	I will bring you down	,
OBA	1	4	528582	נְאֻם־	H5002	declares	
OBA	1	4	528583	יְהוָֽה׃	H3068	the LORD	.
OBA	1	5	528594	אִם־	H518	If	
OBA	1	5	528595	גַּנָּבִ֤ים	H1590	thieves	
OBA	1	5	528596	בָּאֽוּ־	H935	came	
OBA	1	5	528597	לְךָ֙		to you	,
OBA	1	5	528598	אִם־	H518	if	
OBA	1	5	528599	שׁ֣וֹדְדֵי	H7703	robbers	
OBA	1	5	528600	לַ֔יְלָה	H3915	by night	—
OBA	1	5	528601	אֵ֣יךְ	H349	oh, how	
OBA	1	5	528602	נִדְמֵ֔יתָה	H1820	you will be ruined	—
OBA	1	5	528603	הֲל֥וֹא	H3808	would they not	
OBA	1	5	528604	יִגְנְב֖וּ	H1589	steal	
