book	chapter	verse	sort	hebrew	strong	bsb	pnc
PRO	1	1	383254	מִ֭שְׁלֵי	H4912	[These are] the proverbs	
PRO	1	1	383255	שְׁלֹמֹ֣ה	H8010	of Solomon	
PRO	1	1	383256	בֶן־	H1121	son	
PRO	1	1	383257	דָּוִ֑ד	H1732	of David	,
PRO	1	1	383258	מֶ֝֗לֶךְ	H4428	king	
PRO	1	1	383259	יִשְׂרָאֵֽל׃	H3478	of Israel	,
PRO	1	2	383270	לָדַ֣עַת	H3045	for gaining	
PRO	1	2	383271	חָכְמָ֣ה	H2451	wisdom	
PRO	1	2	383272	וּמוּסָ֑ר	H4148	and discipline	,
PRO	1	2	383273	לְ֝הָבִ֗ין	H995	for comprehending	
PRO	1	2	383274	אִמְרֵ֥י	H561	words	
PRO	1	2	383275	בִינָֽה׃	H998	of insight	,
PRO	1	3	383286	לָ֭קַחַת	H3947	[and] for receiving	
PRO	1	3	383287	מוּסַ֣ר	H4148	instruction	
PRO	1	3	383288	הַשְׂכֵּ֑ל	H7919	in wise living	
PRO	1	3	383289	צֶ֥דֶק	H6664	and in righteousness	,
PRO	1	3	383290	וּ֝מִשְׁפָּ֗ט	H4941	justice	,
PRO	1	3	383291	וּמֵישָׁרִֽים׃	H4339	and equity	.
PRO	1	4	383302	לָתֵ֣ת	H5414	To impart	
PRO	1	4	383304	עָרְמָ֑ה	H6195	prudence	
PRO	1	4	383303	לִפְתָאיִ֣ם	H6612	to the simple	
PRO	1	4	383306	דַּ֣עַת	H1847	[and] knowledge	
PRO	1	4	383307	וּמְזִמָּֽה׃	H4209	and discretion	
PRO	1	4	383305	לְ֝נַ֗עַר	H5288	to the young	,
PRO	1	5	383319	חָ֭כָם	H2450	{let} the wise	
PRO	1	5	383318	יִשְׁמַ֣ע	H8085	listen	
PRO	1	5	383320	וְי֣וֹסֶף	H3254	and gain	
PRO	1	5	383321	לֶ֑קַח	H3948	instruction	,
PRO	1	5	383322	וְ֝נָב֗וֹן	H995	and the discerning	
PRO	1	5	383324	יִקְנֶֽה׃	H7069	acquire	
PRO	1	5	383323	תַּחְבֻּל֥וֹת	H8458	wise counsel	
PRO	1	6	383335	לְהָבִ֣ין	H995	by understanding	
PRO	1	6	383336	מָ֭שָׁל	H4912	the proverbs	
PRO	1	6	383337	וּמְלִיצָ֑ה	H4426	and parables	,
PRO	1	6	383338	דִּבְרֵ֥י	H1697	the sayings	
PRO	1	6	383340	וְחִידֹתָֽם׃	H2420	and riddles	
PRO	1	6	383339	חֲ֝כָמִ֗ים	H2450	of the wise	.
PRO	1	7	383351	יִרְאַ֣ת	H3374	The fear	
PRO	1	7	383352	יְ֭הוָה	H3068	of the LORD	
PRO	1	7	383353	רֵאשִׁ֣ית	H7225	[is] the beginning	
PRO	1	7	383354	דָּ֑עַת	H1847	of knowledge	,
