book	chapter	verse	sort	hebrew	strong	bsb	pnc
PSA	1	1	338846	אַ֥שְֽׁרֵי־	H835	Blessed	
PSA	1	1	338847	הָאִ֗ישׁ	H376	[is] the man	
PSA	1	1	338848	אֲשֶׁ֤ר׀	H834	who	
PSA	1	1	338849	לֹ֥א	H3808	does not	
PSA	1	1	338850	הָלַךְ֮	H1980	walk	
PSA	1	1	338851	בַּעֲצַ֪ת	H6098	in the counsel	
PSA	1	1	338852	רְשָׁ֫עִ֥ים	H7563	of the wicked	,
PSA	1	1	338855	לֹ֥א	H3808	or	
PSA	1	1	338856	עָמָ֑ד	H5975	set foot	
PSA	1	1	338853	וּבְדֶ֣רֶךְ	H1870	on the path	
PSA	1	1	338854	חַ֭טָּאִים	H2400	of sinners	,
PSA	1	1	338859	לֹ֣א	H3808	or	
PSA	1	1	338860	יָשָֽׁב׃	H3427	sit	
PSA	1	1	338857	וּבְמוֹשַׁ֥ב	H4186	in the seat	
PSA	1	1	338858	לֵ֝צִ֗ים	H3887	of mockers	.
PSA	1	2	338871	כִּ֤י	H3588	But	
PSA	1	2	338872	אִ֥ם	H518	. . .	
PSA	1	2	338875	חֶ֫פְצ֥וֹ	H2656	his delight	
PSA	1	2	338873	בְּתוֹרַ֥ת	H8451	[is] in the Law	
PSA	1	2	338874	יְהוָ֗ה	H3068	of the LORD	,
PSA	1	2	338876	וּֽבְתוֹרָת֥וֹ	H8451	and on His law	
PSA	1	2	338877	יֶהְגֶּ֗ה	H1897	he meditates	
PSA	1	2	338878	יוֹמָ֥ם	H3119	day	
PSA	1	2	338879	וָלָֽיְלָה׃	H3915	and night	.
PSA	1	3	338890	וְֽהָיָ֗ה	H1961	He is	
PSA	1	3	338891	כְּעֵץ֮	H6086	like a tree	
PSA	1	3	338892	שָׁת֪וּל	H8362	planted	
PSA	1	3	338893	עַֽל־	H5921	by	
PSA	1	3	338894	פַּלְגֵ֫י	H6388	streams	
PSA	1	3	338895	מָ֥יִם	H4325	of water	,
PSA	1	3	338896	אֲשֶׁ֤ר	H834	vvv	
PSA	1	3	338898	יִתֵּ֬ן	H5414	yielding	
PSA	1	3	338897	פִּרְי֨וֹ׀	H6529	its fruit	
PSA	1	3	338899	בְּעִתּ֗וֹ	H6256	in season	,
PSA	1	3	338900	וְעָלֵ֥הוּ	H5929	whose leaf	
PSA	1	3	338901	לֹֽא־	H3808	does not	
PSA	1	3	338902	יִבּ֑וֹל	H5034	wither	,
PSA	1	3	338903	וְכֹ֖ל	H3605	and	
PSA	1	3	338906	יַצְלִֽיחַ׃	H6743	who prospers	
PSA	1	3	338904	אֲשֶׁר־	H834	-	
PSA	1	3	338905	יַעֲשֶׂ֣ה	H6213	in all he does	.
PSA	1	4	338917	לֹא־	H3808	Not	
PSA	1	4	338918	כֵ֥ן	H3651	so	
PSA	1	4	338919	הָרְשָׁעִ֑ים	H7563	the wicked	!
PSA	1	4	338920	כִּ֥י	H3588	For	
PSA	1	4	338921	אִם־	H518	[they are]	
PSA	1	4	338922	כַּ֝מֹּ֗ץ	H4671	like chaff	
PSA	1	4	338923	אֲ‍ֽשֶׁר־	H834	-	
PSA	1	4	338924	תִּדְּפֶ֥נּוּ	H5086	driven off	
PSA	1	4	338925	רֽוּחַ׃	H7307	by the wind	.
PSA	1	5	338936	עַל־	H5921	Therefore	
PSA	1	5	338937	כֵּ֤ן׀	H3651	. . .	
PSA	1	5	338940	רְ֭שָׁעִים	H7563	the wicked	
PSA	1	5	338938	לֹא־	H3808	{will} not	
PSA	1	5	338939	יָקֻ֣מוּ	H6965	stand	
PSA	1	5	338941	בַּמִּשְׁפָּ֑ט	H4941	in the judgment	,
PSA	1	5	338942	וְ֝חַטָּאִ֗ים	H2400	nor sinners	
PSA	1	5	338943	בַּעֲדַ֥ת	H5712	in the assembly	
PSA	1	5	338944	צַדִּיקִֽים׃	H6662	of the righteous	.
PSA	1	6	338955	כִּֽי־	H3588	For	
PSA	1	6	338957	יְ֭הוָה	H3068	the LORD	
PSA	1	6	338956	יוֹדֵ֣עַ	H3045	guards	
PSA	1	6	338958	דֶּ֣רֶךְ	H1870	the path	
PSA	1	6	338959	צַדִּיקִ֑ים	H6662	of the righteous	,
PSA	1	6	338960	וְדֶ֖רֶךְ	H1870	but the way	
PSA	1	6	338961	רְשָׁעִ֣ים	H7563	of the wicked	
PSA	1	6	338962	תֹּאבֵֽד׃	H6	will perish	.
PSA	2	1	338973	לָ֭מָּה	H4100	Why	
PSA	2	1	338975	גוֹיִ֑ם	H1471	do the nations	
PSA	2	1	338974	רָגְשׁ֣וּ	H7283	rage	
PSA	2	1	338976	וּ֝לְאֻמִּ֗ים	H3816	and the peoples	
PSA	2	1	338977	יֶהְגּוּ־	H1897	plot	
PSA	2	1	338978	רִֽיק׃	H7385	in vain	?
PSA	2	2	338990	מַלְכֵי־	H4428	The kings	
PSA	2	2	338991	אֶ֗רֶץ	H776	of the earth	
PSA	2	2	338989	יִ֥תְיַצְּב֨וּ׀	H3320	take their stand	
PSA	2	2	338992	וְרוֹזְנִ֥ים	H7336	and the rulers	
PSA	2	2	338993	נֽוֹסְדוּ־	H3245	gather	
PSA	2	2	338994	יָ֑חַד	H3162	together	,
PSA	2	2	338995	עַל־	H5921	against	
PSA	2	2	338996	יְ֝הוָה	H3068	the LORD	
PSA	2	2	338997	וְעַל־	H5921	and against	
PSA	2	2	338998	מְשִׁיחֽוֹ׃	H4899	His Anointed One	:
PSA	2	3	339009	נְֽ֭נַתְּקָה	H5423	Let us break	
PSA	2	3	339010	אֶת־	H853	-	
PSA	2	3	339011	מֽוֹסְרוֹתֵ֑ימוֹ	H4147	Their chains	
PSA	2	3	339012	וְנַשְׁלִ֖יכָה	H7993	and cast away	
PSA	2	3	339013	מִמֶּ֣נּוּ	H4480	. . .	
PSA	2	3	339014	עֲבֹתֵֽימוֹ׃	H5688	Their cords	.
PSA	2	4	339025	יוֹשֵׁ֣ב	H3427	The One enthroned	
PSA	2	4	339026	בַּשָּׁמַ֣יִם	H8064	in heaven	
PSA	2	4	339027	יִשְׂחָ֑ק	H7832	laughs	;
PSA	2	4	339028	אֲ֝דֹנָ֗י	H136	the Lord	
PSA	2	4	339029	יִלְעַג־	H3932	taunts them	
PSA	2	4	339030	לָֽמוֹ׃		-	.
PSA	2	5	339041	אָ֤ז	H227	Then	
PSA	2	5	339042	יְדַבֵּ֣ר	H1696	He rebukes	
PSA	2	5	339043	אֵלֵ֣ימוֹ	H413	them	
PSA	2	5	339044	בְאַפּ֑וֹ	H639	in His anger	,
PSA	2	5	339046	יְבַהֲלֵֽמוֹ׃	H926	and terrifies them	
PSA	2	5	339045	וּֽבַחֲרוֹנ֥וֹ	H2740	in His fury	:
PSA	2	6	339057	וַ֭אֲנִי	H589	I have	
PSA	2	6	339058	נָסַ֣כְתִּי	H5258	installed	
PSA	2	6	339059	מַלְכִּ֑י	H4428	My King	
PSA	2	6	339060	עַל־	H5921	on	
PSA	2	6	339061	צִ֝יּ֗וֹן	H6726	Zion	,
PSA	2	6	339063	קָדְשִֽׁי׃	H6944	[upon] My holy	
PSA	2	6	339062	הַר־	H2022	mountain	.
PSA	2	7	339074	אֲסַפְּרָ֗ה	H5608	I will proclaim	
PSA	2	7	339075	אֶֽ֫ל	H413	. . .	
PSA	2	7	339076	חֹ֥ק	H2706	the decree	
PSA	2	7	339078	אָמַ֘ר	H559	spoken	
PSA	2	7	339079	אֵלַ֥י	H413	to Me	
PSA	2	7	339077	יְֽהוָ֗ה	H3068	by the LORD	:
PSA	2	7	339081	אַ֑תָּה	H859	You	
PSA	2	7	339080	בְּנִ֥י	H1121	[are] My Son	;
PSA	2	7	339083	הַיּ֥וֹם	H3117	today	
PSA	2	7	339082	אֲ֝נִ֗י	H589	I	
PSA	2	7	339084	יְלִדְתִּֽיךָ׃	H3205	have become Your Father	.
PSA	2	8	339095	שְׁאַ֤ל	H7592	Ask	
PSA	2	8	339096	מִמֶּ֗נִּי	H4480	Me	,
PSA	2	8	339097	וְאֶתְּנָ֣ה	H5414	and I {will} make	
PSA	2	8	339098	ג֭וֹיִם	H1471	the nations	
PSA	2	8	339099	נַחֲלָתֶ֑ךָ	H5159	Your inheritance	,
PSA	2	8	339101	אַפְסֵי־	H657	the ends	
PSA	2	8	339102	אָֽרֶץ׃	H776	of the earth	
PSA	2	8	339100	וַ֝אֲחֻזָּתְךָ֗	H272	Your possession	.
PSA	2	9	339113	תְּ֭רֹעֵם	H7489	You will break them	
PSA	2	9	339115	בַּרְזֶ֑ל	H1270	with an iron	
PSA	2	9	339114	בְּשֵׁ֣בֶט	H7626	scepter	;
PSA	2	9	339118	תְּנַפְּצֵֽם׃	H5310	You will shatter them	
PSA	2	9	339117	יוֹצֵ֣ר	H3335	like pottery	
PSA	2	9	339116	כִּכְלִ֖י	H3627	. . .	.
PSA	2	10	339129	וְ֭עַתָּה	H6258	Therefore	
PSA	2	10	339131	הַשְׂכִּ֑ילוּ	H7919	be wise	,
PSA	2	10	339130	מְלָכִ֣ים	H4428	O kings	;
PSA	2	10	339132	הִ֝וָּסְר֗וּ	H3256	be admonished	,
PSA	2	10	339133	שֹׁ֣פְטֵי	H8199	O judges	
PSA	2	10	339134	אָֽרֶץ׃	H776	of the earth	.
PSA	2	11	339145	עִבְד֣וּ	H5647	Serve	
PSA	2	11	339146	אֶת־	H853	-	
PSA	2	11	339147	יְהוָ֣ה	H3068	the LORD	
PSA	2	11	339148	בְּיִרְאָ֑ה	H3374	with fear	,
PSA	2	11	339149	וְ֝גִ֗ילוּ	H1523	and rejoice	
PSA	2	11	339150	בִּרְעָדָֽה׃	H7461	with trembling	.
PSA	2	12	339161	נַשְּׁקוּ־	H5401	Kiss	
PSA	2	12	339162	בַ֡ר	H1248	the Son	,
PSA	2	12	339163	פֶּן־	H6435	lest	
PSA	2	12	339164	יֶאֱנַ֤ף׀	H599	He be angry	
PSA	2	12	339165	וְתֹ֬אבְדוּ	H6	and you perish	
PSA	2	12	339166	דֶ֗רֶךְ	H1870	in your rebellion	,
PSA	2	12	339167	כִּֽי־	H3588	when	
PSA	2	12	339170	אַפּ֑וֹ	H639	His wrath	
PSA	2	12	339168	יִבְעַ֣ר	H1197	ignites	
PSA	2	12	339169	כִּמְעַ֣ט	H4592	in an instant	.
PSA	2	12	339171	אַ֝שְׁרֵ֗י	H835	Blessed	
PSA	2	12	339172	כָּל־	H3605	[are] all	
PSA	2	12	339173	ח֥וֹסֵי	H2620	who take refuge	
PSA	2	12	339174	בֽוֹ׃		in Him	.
PSA	3	1	339185	מִזְמ֥וֹר	H4210	A Psalm	
