book	chapter	verse	sort	hebrew	strong	bsb	pnc
RUT	1	1	172442	בִּימֵי֙	H3117	In the days	
RUT	1	1	172444	הַשֹּׁפְטִ֔ים	H8199	when the judges	
RUT	1	1	172443	שְׁפֹ֣ט	H8199	ruled	,
RUT	1	1	172445	וַיְהִ֥י	H1961	. . .	
RUT	1	1	172441	וַיְהִ֗י	H1961	there was	
RUT	1	1	172446	רָעָ֖ב	H7458	a famine	
RUT	1	1	172447	בָּאָ֑רֶץ	H776	in the land	.
RUT	1	1	172449	אִ֜ישׁ	H376	And a certain man	
RUT	1	1	172450	מִבֵּ֧ית	H1035	vvv	
RUT	1	1	172451	לֶ֣חֶם	H1035	from Bethlehem	
RUT	1	1	172452	יְהוּדָ֗ה	H3063	in Judah	,
RUT	1	1	172457	וְאִשְׁתּ֖וֹ	H802	with his wife	
RUT	1	1	172458	וּשְׁנֵ֥י	H8147	and two	
RUT	1	1	172459	בָנָֽיו׃	H1121	sons	,
RUT	1	1	172448	וַיֵּ֨לֶךְ	H1980	went	
RUT	1	1	172453	לָגוּר֙	H1481	to reside	
RUT	1	1	172454	בִּשְׂדֵ֣י	H7704	in the land	
RUT	1	1	172455	מוֹאָ֔ב	H4124	of Moab	.
RUT	1	1	172456	ה֥וּא	H1931	-	
RUT	1	2	172471	הָאִ֣ישׁ	H376	The man’s	
RUT	1	2	172470	וְשֵׁ֣ם	H8034	name	
RUT	1	2	172472	אֱ‍ֽלִימֶ֡לֶךְ	H458	was Elimelech	,
RUT	1	2	172474	אִשְׁתּ֨וֹ	H802	his wife’s	
RUT	1	2	172473	וְשֵׁם֩	H8034	name	
RUT	1	2	172475	נָעֳמִ֜י	H5281	was Naomi	,
RUT	1	2	172476	וְשֵׁ֥ם	H8034	and the names	
RUT	1	2	172477	שְׁנֵֽי־	H8147	of his two	
RUT	1	2	172478	בָנָ֣יו׀	H1121	sons	
RUT	1	2	172479	מַחְל֤וֹן	H4248	were Mahlon	
RUT	1	2	172480	וְכִלְיוֹן֙	H3630	and Chilion	.
RUT	1	2	172481	אֶפְרָתִ֔ים	H673	They were Ephrathites	
RUT	1	2	172482	מִבֵּ֥ית	H1035	from	
RUT	1	2	172483	לֶ֖חֶם	H1035	Bethlehem	
RUT	1	2	172484	יְהוּדָ֑ה	H3063	in Judah	,
RUT	1	2	172485	וַיָּבֹ֥אוּ	H935	and they entered	
RUT	1	2	172486	שְׂדֵי־	H7704	the land	
RUT	1	2	172487	מוֹאָ֖ב	H4124	of Moab	
RUT	1	2	172488	וַיִּֽהְיוּ־	H1961	and settled	
RUT	1	2	172489	שָֽׁם׃	H8033	there	.
RUT	1	3	172503	נָעֳמִ֑י	H5281	Then Naomi’s	
RUT	1	3	172502	אִ֣ישׁ	H376	husband	
RUT	1	3	172501	אֱלִימֶ֖לֶךְ	H458	Elimelech	
RUT	1	3	172500	וַיָּ֥מָת	H4191	died	,
RUT	1	3	172505	הִ֖יא	H1931	and she	
RUT	1	3	172504	וַתִּשָּׁאֵ֥ר	H7604	was left	
RUT	1	3	172506	וּשְׁנֵ֥י	H8147	with her two	
RUT	1	3	172507	בָנֶֽיהָ׃	H1121	sons	,
RUT	1	4	172518	וַיִּשְׂא֣וּ	H5375	who took	
RUT	1	4	172519	לָהֶ֗ם		-	
RUT	1	4	172521	מֹֽאֲבִיּ֔וֹת	H4125	Moabite	
RUT	1	4	172520	נָשִׁים֙	H802	women as their wives	,
RUT	1	4	172523	הָֽאַחַת֙	H259	one	
RUT	1	4	172522	שֵׁ֤ם	H8034	named	
RUT	1	4	172524	עָרְפָּ֔ה	H6204	Orpah	
RUT	1	4	172526	הַשֵּׁנִ֖ית	H8145	and the other	
RUT	1	4	172525	וְשֵׁ֥ם	H8034	named	
RUT	1	4	172527	ר֑וּת	H7327	Ruth	.
RUT	1	4	172528	וַיֵּ֥שְׁבוּ	H3427	And after they had lived	
RUT	1	4	172529	שָׁ֖ם	H8033	in Moab	
RUT	1	4	172530	כְּעֶ֥שֶׂר	H6235	about ten	
RUT	1	4	172531	שָׁנִֽים׃	H8141	years	,
RUT	1	5	172544	שְׁנֵיהֶ֖ם	H8147	both	
RUT	1	5	172545	מַחְל֣וֹן	H4248	Mahlon	
RUT	1	5	172546	וְכִלְי֑וֹן	H3630	and Chilion	
RUT	1	5	172543	גַם־	H1571	also	
RUT	1	5	172542	וַיָּמ֥וּתוּ	H4191	died	,
RUT	1	5	172548	הָֽאִשָּׁ֔ה	H802	and Naomi	
RUT	1	5	172547	וַתִּשָּׁאֵר֙	H7604	was left	
RUT	1	5	172549	מִשְּׁנֵ֥י	H8147	without her two	
RUT	1	5	172550	יְלָדֶ֖יהָ	H3206	sons	
RUT	1	5	172551	וּמֵאִישָֽׁהּ׃	H376	and without her husband	.
RUT	1	6	172568	כִּ֤י	H3588	When	
RUT	1	6	172569	שָֽׁמְעָה֙	H8085	[Naomi] heard	
RUT	1	6	172570	בִּשְׂדֵ֣ה	H7704	. . .	
RUT	1	6	172571	מוֹאָ֔ב	H4124	in Moab	
RUT	1	6	172572	כִּֽי־	H3588	that	
RUT	1	6	172574	יְהוָה֙	H3068	the LORD	
RUT	1	6	172573	פָקַ֤ד	H6485	had attended to	
RUT	1	6	172575	אֶת־	H853	-	
RUT	1	6	172576	עַמּ֔וֹ	H5971	His people	
RUT	1	6	172577	לָתֵ֥ת	H5414	by providing	
RUT	1	6	172578	לָהֶ֖ם		them	
RUT	1	6	172579	לָֽחֶם׃	H3899	with food	,
RUT	1	6	172563	הִיא֙	H1931	she	
RUT	1	6	172564	וְכַלֹּתֶ֔יהָ	H3618	and her daughters-in-law	
RUT	1	6	172562	וַתָּ֤קָם	H6965	prepared	
RUT	1	6	172565	וַתָּ֖שָׁב	H7725	to leave	
RUT	1	6	172566	מִשְּׂדֵ֣י	H7704	the land	
RUT	1	6	172567	מוֹאָ֑ב	H4124	of Moab	.
RUT	1	7	172598	עִמָּ֑הּ	H5973	Accompanied by	
RUT	1	7	172596	וּשְׁתֵּ֥י	H8147	her two	
RUT	1	7	172597	כַלֹּתֶ֖יהָ	H3618	daughters-in-law	,
RUT	1	7	172590	וַתֵּצֵ֗א	H3318	she left	
RUT	1	7	172591	מִן־	H4480	. . .	
