book	chapter	verse	sort	hebrew	strong	bsb	pnc
ZEC	1	1	537238	הַשְּׁמִינִ֔י	H8066	In the eighth	
ZEC	1	1	537237	בַּחֹ֙דֶשׁ֙	H2320	month	
ZEC	1	1	537240	שְׁתַּ֖יִם	H8147	of the second	
ZEC	1	1	537239	בִּשְׁנַ֥ת	H8141	year	
ZEC	1	1	537241	לְדָרְיָ֑וֶשׁ	H1867	of Darius	,
ZEC	1	1	537243	דְבַר־	H1697	the word	
ZEC	1	1	537244	יְהוָ֗ה	H3068	of the LORD	
ZEC	1	1	537242	הָיָ֣ה	H1961	came	
ZEC	1	1	537245	אֶל־	H413	to	
ZEC	1	1	537251	הַנָּבִ֖יא	H5030	the prophet	
ZEC	1	1	537246	זְכַרְיָה֙	H2148	Zechariah	
ZEC	1	1	537247	בֶּן־	H1121	son	
ZEC	1	1	537248	בֶּ֣רֶכְיָ֔ה	H1296	of Berechiah	,
ZEC	1	1	537249	בֶּן־	H1121	the son	
ZEC	1	1	537250	עִדּ֥וֹ	H5714	of Iddo	,
ZEC	1	1	537252	לֵאמֹֽר׃	H559	saying	:
ZEC	1	2	537264	יְהוָ֛ה	H3068	The LORD	
ZEC	1	2	537267	קָֽצֶף׃	H7110	was very	
ZEC	1	2	537263	קָצַ֧ף	H7107	angry	
ZEC	1	2	537265	עַל־	H5921	with	
ZEC	1	2	537266	אֲבֽוֹתֵיכֶ֖ם	H1	your fathers	.
ZEC	1	3	537278	וְאָמַרְתָּ֣	H559	So tell	
ZEC	1	3	537279	אֲלֵהֶ֗ם	H413	[the people]	
ZEC	1	3	537280	כֹּ֤ה	H3541	that this is what	
ZEC	1	3	537282	יְהוָ֣ה	H3068	the LORD	
ZEC	1	3	537283	צְבָא֔וֹת	H6635	of Hosts	
ZEC	1	3	537281	אָמַר֙	H559	says	:
ZEC	1	3	537284	שׁ֣וּבוּ	H7725	Return	
ZEC	1	3	537285	אֵלַ֔י	H413	to Me	,
ZEC	1	3	537286	נְאֻ֖ם	H5002	declares	
ZEC	1	3	537287	יְהוָ֣ה	H3068	the LORD	
ZEC	1	3	537288	צְבָא֑וֹת	H6635	of Hosts	,
ZEC	1	3	537289	וְאָשׁ֣וּב	H7725	and I will return	
ZEC	1	3	537290	אֲלֵיכֶ֔ם	H413	to you	,
ZEC	1	3	537291	אָמַ֖ר	H559	says	
ZEC	1	3	537292	יְהוָ֥ה	H3068	the LORD	
ZEC	1	3	537293	צְבָאֽוֹת׃	H6635	of Hosts	.
ZEC	1	4	537304	אַל־	H408	Do not	
ZEC	1	4	537305	תִּהְי֣וּ	H1961	be	
ZEC	1	4	537306	כַאֲבֹֽתֵיכֶ֡ם	H1	like your fathers	,
ZEC	1	4	537307	אֲשֶׁ֣ר	H834	to whom	
ZEC	1	4	537311	הָרִֽאשֹׁנִ֜ים	H7223	the former	
ZEC	1	4	537310	הַנְּבִיאִ֨ים	H5030	prophets	
ZEC	1	4	537308	קָרְאֽוּ־	H7121	proclaimed	
ZEC	1	4	537309	אֲלֵיהֶם֩	H413	-	
ZEC	1	4	537313	כֹּ֤ה	H3541	that this is what	
ZEC	1	4	537314	אָמַר֙	H559	. . .	
ZEC	1	4	537315	יְהוָ֣ה	H3068	the LORD	
ZEC	1	4	537316	צְבָא֔וֹת	H6635	of Hosts	
ZEC	1	4	537312	לֵאמֹ֗ר	H559	says	:
ZEC	1	4	537317	שׁ֤וּבוּ	H7725	Turn	
ZEC	1	4	537318	נָא֙	H4994	now	
ZEC	1	4	537320	הָרָעִ֔ים	H7451	from your evil	
ZEC	1	4	537319	מִדַּרְכֵיכֶ֣ם	H1870	ways	
ZEC	1	4	537325	הָֽרָעִ֑ים	H7451	[and]	
ZEC	1	4	537323	וּמַעֲלִילֵיכֶם	H4611	deeds	.
ZEC	1	4	537326	וְלֹ֥א	H3808	But they did not	
ZEC	1	4	537327	שָׁמְע֛וּ	H8085	listen	
ZEC	1	4	537328	וְלֹֽא־	H3808	. . .	
ZEC	1	4	537329	הִקְשִׁ֥יבוּ	H7181	or pay attention	
ZEC	1	4	537330	אֵלַ֖י	H413	to Me	,
ZEC	1	4	537331	נְאֻם־	H5002	declares	
ZEC	1	4	537332	יְהוָֽה׃	H3068	the LORD	.
ZEC	1	5	537344	אַיֵּה־	H346	Where	
ZEC	1	5	537345	הֵ֑ם	H1992	. . .	
ZEC	1	5	537343	אֲבֽוֹתֵיכֶ֖ם	H1	are your fathers now	?
ZEC	1	5	537346	וְהַ֨נְּבִאִ֔ים	H5030	And the prophets	,
ZEC	1	5	537348	יִֽחְיֽוּ׃	H2421	do they live	
ZEC	1	5	537347	הַלְעוֹלָ֖ם	H5769	forever	?
ZEC	1	6	537359	אַ֣ךְ׀	H389	But	
ZEC	1	6	537367	הֲל֥וֹא	H3808	did not	
ZEC	1	6	537360	דְּבָרַ֣י	H1697	My words	
ZEC	1	6	537361	וְחֻקַּ֗י	H2706	and My statutes	,
ZEC	1	6	537362	אֲשֶׁ֤ר	H834	which	
ZEC	1	6	537363	צִוִּ֙יתִי֙	H6680	I commanded	
ZEC	1	6	537364	אֶת־	H853	-	
ZEC	1	6	537365	עֲבָדַ֣י	H5650	My servants	
ZEC	1	6	537366	הַנְּבִיאִ֔ים	H5030	the prophets	,
ZEC	1	6	537368	הִשִּׂ֖יגוּ	H5381	overtake	
ZEC	1	6	537369	אֲבֹתֵיכֶ֑ם	H1	your fathers	?
ZEC	1	6	537370	וַיָּשׁ֣וּבוּ	H7725	They repented	
ZEC	1	6	537371	וַיֹּאמְר֗וּ	H559	and said	,
ZEC	1	6	537372	כַּאֲשֶׁ֨ר	H834	Just as	
ZEC	1	6	537374	יְהוָ֤ה	H3068	the LORD	
ZEC	1	6	537375	צְבָאוֹת֙	H6635	of Hosts	
