book	chapter	verse	sort	hebrew	strong	bsb	pnc
ZEP	1	1	534939	דְּבַר־	H1697	[This is] the word	
ZEP	1	1	534940	יְהוָ֣ה׀	H3068	of the LORD	
ZEP	1	1	534941	אֲשֶׁ֣ר	H834	that	
ZEP	1	1	534942	הָיָ֗ה	H1961	came	
ZEP	1	1	534943	אֶל־	H413	to	
ZEP	1	1	534944	צְפַנְיָה֙	H6846	Zephaniah	
ZEP	1	1	534945	בֶּן־	H1121	son	
ZEP	1	1	534946	כּוּשִׁ֣י	H3569	of Cushi	,
ZEP	1	1	534947	בֶן־	H1121	the son	
ZEP	1	1	534948	גְּדַלְיָ֔ה	H1436	of Gedaliah	,
ZEP	1	1	534949	בֶּן־	H1121	the son	
ZEP	1	1	534950	אֲמַרְיָ֖ה	H568	of Amariah	,
ZEP	1	1	534951	בֶּן־	H1121	the son	
ZEP	1	1	534952	חִזְקִיָּ֑ה	H2396	of Hezekiah	,
ZEP	1	1	534953	בִּימֵ֛י	H3117	in the days	
ZEP	1	1	534954	יֹאשִׁיָּ֥הוּ	H2977	of Josiah	
ZEP	1	1	534955	בֶן־	H1121	son	
ZEP	1	1	534956	אָמ֖וֹן	H526	of Amon	
ZEP	1	1	534957	מֶ֥לֶךְ	H4428	king	
ZEP	1	1	534958	יְהוּדָֽה׃	H3063	of Judah	:
ZEP	1	2	534969	אָסֹ֨ף	H622	I will completely sweep away	
ZEP	1	2	534970	אָסֵ֜ף	H5486	. . .	
ZEP	1	2	534971	כֹּ֗ל	H3605	everything	
ZEP	1	2	534972	מֵעַ֛ל	H5921	from	
ZEP	1	2	534973	פְּנֵ֥י	H6440	the face	
ZEP	1	2	534974	הָאֲדָמָ֖ה	H127	of the earth	,
ZEP	1	2	534975	נְאֻם־	H5002	declares	
ZEP	1	2	534976	יְהוָֽה׃	H3068	the LORD	.
ZEP	1	3	534987	אָסֵ֨ף	H5486	I will sweep away	
ZEP	1	3	534988	אָדָ֜ם	H120	man	
ZEP	1	3	534989	וּבְהֵמָ֗ה	H929	and beast	;
ZEP	1	3	534990	אָסֵ֤ף	H5486	I will sweep away	
ZEP	1	3	534991	עוֹף־	H5775	the birds	
ZEP	1	3	534992	הַשָּׁמַ֙יִם֙	H8064	of the air	,
ZEP	1	3	534993	וּדְגֵ֣י	H1709	and the fish	
ZEP	1	3	534994	הַיָּ֔ם	H3220	of the sea	,
ZEP	1	3	534995	וְהַמַּכְשֵׁל֖וֹת	H4384	and the idols	
ZEP	1	3	534996	אֶת־	H854	with	
ZEP	1	3	534997	הָרְשָׁעִ֑ים	H7563	their wicked {worshipers}	.
ZEP	1	3	534998	וְהִכְרַתִּ֣י	H3772	I will cut off	
ZEP	1	3	534999	אֶת־	H853	-	
ZEP	1	3	535000	הָאָדָ֗ם	H120	mankind	
ZEP	1	3	535001	מֵעַ֛ל	H5921	from	
ZEP	1	3	535002	פְּנֵ֥י	H6440	the face	
ZEP	1	3	535003	הָאֲדָמָ֖ה	H127	of the earth	,
ZEP	1	3	535004	נְאֻם־	H5002	declares	
ZEP	1	3	535005	יְהוָֽה׃	H3068	the LORD	.
ZEP	1	4	535016	וְנָטִ֤יתִי	H5186	I will stretch out	
ZEP	1	4	535017	יָדִי֙	H3027	My hand	
ZEP	1	4	535018	עַל־	H5921	against	
ZEP	1	4	535019	יְהוּדָ֔ה	H3063	Judah	
ZEP	1	4	535020	וְעַ֖ל	H5921	and against	
ZEP	1	4	535021	כָּל־	H3605	all	
ZEP	1	4	535022	יוֹשְׁבֵ֣י	H3427	who dwell	
ZEP	1	4	535023	יְרוּשָׁלִָ֑ם	H3389	in Jerusalem	.
ZEP	1	4	535024	וְהִכְרַתִּ֞י	H3772	I will cut off	
ZEP	1	4	535025	מִן־	H4480	from	
ZEP	1	4	535027	הַזֶּה֙	H2088	this	
ZEP	1	4	535028	אֶת־	H853	-	
ZEP	1	4	535026	הַמָּק֤וֹם	H4725	place	
ZEP	1	4	535029	שְׁאָ֣ר	H7605	every remnant	
ZEP	1	4	535030	הַבַּ֔עַל	H1168	of Baal	
ZEP	1	4	535031	אֶת־	H853	-	,
ZEP	1	4	535032	שֵׁ֥ם	H8034	the names	
ZEP	1	4	535033	הַכְּמָרִ֖ים	H3649	of the idolatrous	
ZEP	1	4	535034	עִם־	H5973	and	
ZEP	1	4	535035	הַכֹּהֲנִֽים׃	H3548	[pagan] priests	—
ZEP	1	5	535046	וְאֶת־	H853	-	
ZEP	1	5	535047	הַמִּשְׁתַּחֲוִ֥ים	H7812	those who bow	
ZEP	1	5	535048	עַל־	H5921	on	
ZEP	1	5	535049	הַגַּגּ֖וֹת	H1406	the rooftops	
ZEP	1	5	535050	לִצְבָ֣א	H6635	{to worship} the host	
ZEP	1	5	535051	הַשָּׁמָ֑יִם	H8064	of heaven	,
ZEP	1	5	535052	וְאֶת־	H853	-	
ZEP	1	5	535053	הַמִּֽשְׁתַּחֲוִים֙	H7812	those who bow down	
ZEP	1	5	535054	הַנִּשְׁבָּעִ֣ים	H7650	and swear	
ZEP	1	5	535055	לַֽיהוָ֔ה	H3068	by the LORD	
ZEP	1	5	535056	וְהַנִּשְׁבָּעִ֖ים	H7650	but also swear	
ZEP	1	5	535057	בְּמַלְכָּֽם׃	H4428	by Milcom	,
ZEP	1	6	535068	וְאֶת־	H853	and	
ZEP	1	6	535069	הַנְּסוֹגִ֖ים	H5472	those who turn back	
ZEP	1	6	535070	מֵאַחֲרֵ֣י	H310	from [following]	
ZEP	1	6	535071	יְהוָ֑ה	H3068	the LORD	,
ZEP	1	6	535072	וַאֲשֶׁ֛ר	H834	-	
ZEP	1	6	535073	לֹֽא־	H3808	neither	
ZEP	1	6	535074	בִקְשׁ֥וּ	H1245	seeking	
ZEP	1	6	535075	אֶת־	H853	-	
ZEP	1	6	535076	יְהוָ֖ה	H3068	the LORD	
ZEP	1	6	535077	וְלֹ֥א	H3808	nor	
ZEP	1	6	535078	דְרָשֻֽׁהוּ׃	H1875	inquiring of Him	.
ZEP	1	7	535089	הַ֕ס	H2013	Be silent	
ZEP	1	7	535090	מִפְּנֵ֖י	H6440	in the presence	
ZEP	1	7	535091	אֲדֹנָ֣י	H136	of the Lord	
ZEP	1	7	535092	יְהוִ֑ה	H3069	GOD	,
ZEP	1	7	535093	כִּ֤י	H3588	for	
ZEP	1	7	535095	י֣וֹם	H3117	the Day	
ZEP	1	7	535096	יְהוָ֔ה	H3068	of the LORD	
ZEP	1	7	535094	קָרוֹב֙	H7138	is near	.
ZEP	1	7	535097	כִּֽי־	H3588	Indeed	,
ZEP	1	7	535099	יְהוָ֛ה	H3068	the LORD	
ZEP	1	7	535098	הֵכִ֧ין	H3559	has prepared	
ZEP	1	7	535100	זֶ֖בַח	H2077	a sacrifice	;
ZEP	1	7	535101	הִקְדִּ֥ישׁ	H6942	He has consecrated	
ZEP	1	7	535102	קְרֻאָֽיו׃	H7121	His guests	.
ZEP	1	8	535113	וְהָיָ֗ה	H1961	-	
ZEP	1	8	535114	בְּיוֹם֙	H3117	On the Day	
ZEP	1	8	535116	יְהוָ֔ה	H3068	of the LORD’s	
ZEP	1	8	535115	זֶ֣בַח	H2077	sacrifice	
ZEP	1	8	535117	וּפָקַדְתִּ֥י	H6485	I will punish	
ZEP	1	8	535118	עַל־	H5921	. . .	
ZEP	1	8	535119	הַשָּׂרִ֖ים	H8269	the princes	,
ZEP	1	8	535120	וְעַל־	H5921	-	
ZEP	1	8	535121	בְּנֵ֣י	H1121	the sons	
ZEP	1	8	535122	הַמֶּ֑לֶךְ	H4428	of the king	,
ZEP	1	8	535123	וְעַ֥ל	H5921	and	
ZEP	1	8	535124	כָּל־	H3605	all	
ZEP	1	8	535125	הַלֹּבְשִׁ֖ים	H3847	who are dressed	
ZEP	1	8	535127	נָכְרִֽי׃	H5237	in foreign	
ZEP	1	8	535126	מַלְבּ֥וּשׁ	H4403	apparel	.
ZEP	1	9	535145	הַה֑וּא	H1931	On that	
ZEP	1	9	535144	בַּיּ֣וֹם	H3117	day	
ZEP	1	9	535138	וּפָקַדְתִּ֗י	H6485	I will punish	
ZEP	1	9	535140	כָּל־	H3605	all	
ZEP	1	9	535141	הַדּוֹלֵ֛ג	H1801	who leap	
ZEP	1	9	535142	עַל־	H5921	. . .	
ZEP	1	9	535139	עַ֧ל	H5921	over	
ZEP	1	9	535143	הַמִּפְתָּ֖ן	H4670	the threshold	,
ZEP	1	9	535146	הַֽמְמַלְאִ֛ים	H4390	who fill	
ZEP	1	9	535147	בֵּ֥ית	H1004	the house	
ZEP	1	9	535148	אֲדֹנֵיהֶ֖ם	H113	of their master	
ZEP	1	9	535149	חָמָ֥ס	H2555	with violence	
ZEP	1	9	535150	וּמִרְמָֽה׃ס	H4820	and deceit	.
ZEP	1	10	535164	הַה֜וּא	H1931	On that	
ZEP	1	10	535163	בַיּ֨וֹם	H3117	day	,
ZEP	1	10	535165	נְאֻם־	H5002	declares	
ZEP	1	10	535166	יְהוָ֗ה	H3068	the LORD	,
ZEP	1	10	535167	ק֤וֹל	H6963	a cry	
ZEP	1	10	535168	צְעָקָה֙	H6818	. . .	
ZEP	1	10	535162	וְהָיָה֩	H1961	will go up	
ZEP	1	10	535172	מִן־	H4480	from	
ZEP	1	10	535170	הַדָּגִ֔ים	H1709	the Fish	
ZEP	1	10	535169	מִשַּׁ֣עַר	H8179	Gate	,
ZEP	1	10	535171	וִֽילָלָ֖ה	H3215	a wail	
ZEP	1	10	535173	הַמִּשְׁנֶ֑ה	H4932	from the Second District	,
ZEP	1	10	535175	גָּד֖וֹל	H1419	and a loud	
ZEP	1	10	535174	וְשֶׁ֥בֶר	H7667	crashing	
ZEP	1	10	535176	מֵהַגְּבָעֽוֹת׃	H1389	from the hills	.
ZEP	1	11	535187	הֵילִ֖ילוּ	H3213	Wail	,
ZEP	1	11	535188	יֹשְׁבֵ֣י	H3427	O dwellers	
ZEP	1	11	535189	הַמַּכְתֵּ֑שׁ	H4389	of the Hollow	,
ZEP	1	11	535190	כִּ֤י	H3588	for	
ZEP	1	11	535192	כָּל־	H3605	all	
ZEP	1	11	535193	עַ֣ם	H5971	your merchants	
ZEP	1	11	535194	כְּנַ֔עַן	H3667	. . .	
ZEP	1	11	535191	נִדְמָה֙	H1820	will be silenced	;
ZEP	1	11	535196	כָּל־	H3605	all	
ZEP	1	11	535197	נְטִ֥ילֵי	H5187	who weigh out	
ZEP	1	11	535198	כָֽסֶף׃	H3701	silver	
ZEP	1	11	535195	נִכְרְת֖וּ	H3772	will be cut off	.
ZEP	1	12	535209	וְהָיָה֙	H1961	And	
ZEP	1	12	535211	הַהִ֔יא	H1931	at that	
ZEP	1	12	535210	בָּעֵ֣ת	H6256	time	
ZEP	1	12	535212	אֲחַפֵּ֥שׂ	H2664	I will search	
ZEP	1	12	535213	אֶת־	H853	-	
ZEP	1	12	535214	יְרוּשָׁלִַ֖ם	H3389	Jerusalem	
ZEP	1	12	535215	בַּנֵּר֑וֹת	H5216	with lamps	
ZEP	1	12	535216	וּפָקַדְתִּ֣י	H6485	and punish	
ZEP	1	12	535217	עַל־	H5921	-	
ZEP	1	12	535218	הָאֲנָשִׁ֗ים	H582	the men	
ZEP	1	12	535219	הַקֹּֽפְאִים֙	H7087	settled	
ZEP	1	12	535220	עַל־	H5921	in	
ZEP	1	12	535221	שִׁמְרֵיהֶ֔ם	H8105	complacency	,
ZEP	1	12	535222	הָאֹֽמְרִים֙	H559	who say	
ZEP	1	12	535223	בִּלְבָבָ֔ם	H3824	to themselves	,
ZEP	1	12	535226	יְהוָ֖ה	H3068	The LORD	
ZEP	1	12	535227	וְלֹ֥א	H3808	. . .	
ZEP	1	12	535224	לֹֽא־	H3808	will do nothing	,
ZEP	1	12	535225	יֵיטִ֥יב	H3190	either good	
ZEP	1	12	535228	יָרֵֽעַ׃	H7489	or bad	.
ZEP	1	13	535240	חֵילָם֙	H2428	Their wealth	
ZEP	1	13	535239	וְהָיָ֤ה	H1961	will be	
ZEP	1	13	535241	לִמְשִׁסָּ֔ה	H4933	plundered	
ZEP	1	13	535242	וּבָתֵּיהֶ֖ם	H1004	and their houses	
ZEP	1	13	535243	לִשְׁמָמָ֑ה	H8077	laid waste	.
ZEP	1	13	535244	וּבָנ֤וּ	H1129	They will build	
ZEP	1	13	535245	בָתִּים֙	H1004	houses	
ZEP	1	13	535246	וְלֹ֣א	H3808	but not	
ZEP	1	13	535247	יֵשֵׁ֔בוּ	H3427	inhabit [them]	,
ZEP	1	13	535248	וְנָטְע֣וּ	H5193	and plant	
ZEP	1	13	535249	כְרָמִ֔ים	H3754	vineyards	
ZEP	1	13	535250	וְלֹ֥א	H3808	but never	
ZEP	1	13	535251	יִשְׁתּ֖וּ	H8354	drink	
ZEP	1	13	535252	אֶת־	H853	-	
ZEP	1	13	535253	יֵינָֽם׃	H3196	their wine	.
ZEP	1	14	535267	הַגָּד֔וֹל	H1419	The great	
ZEP	1	14	535265	יוֹם־	H3117	Day	
ZEP	1	14	535266	יְהוָה֙	H3068	of the LORD	
ZEP	1	14	535264	קָר֤וֹב	H7138	is near	—
ZEP	1	14	535268	קָר֖וֹב	H7138	near	
ZEP	1	14	535269	וּמַהֵ֣ר	H4118	and coming	
ZEP	1	14	535270	מְאֹ֑ד	H3966	quickly	.
ZEP	1	14	535271	ק֚וֹל	H6963	Listen	,
ZEP	1	14	535272	י֣וֹם	H3117	the Day	
ZEP	1	14	535273	יְהוָ֔ה	H3068	of the LORD	!
ZEP	1	14	535276	שָׁ֥ם	H8033	Then	
ZEP	1	14	535275	צֹרֵ֖חַ	H6873	the cry	
ZEP	1	14	535277	גִּבּֽוֹר׃	H1368	of the mighty	
ZEP	1	14	535274	מַ֥ר	H4751	will be bitter	.
ZEP	1	15	535291	הַה֑וּא	H1931	That	
ZEP	1	15	535288	י֥וֹם	H3117	day will be	
ZEP	1	15	535290	הַיּ֣וֹם	H3117	a day	
ZEP	1	15	535289	עֶבְרָ֖ה	H5678	of wrath	,
ZEP	1	15	535292	י֧וֹם	H3117	a day	
ZEP	1	15	535293	צָרָ֣ה	H6869	of trouble	
ZEP	1	15	535294	וּמְצוּקָ֗ה	H4691	and distress	,
ZEP	1	15	535295	י֤וֹם	H3117	a day	
ZEP	1	15	535296	שֹׁאָה֙	H7722	of destruction	
ZEP	1	15	535297	וּמְשׁוֹאָ֔ה	H4875	and desolation	,
ZEP	1	15	535298	י֥וֹם	H3117	a day	
ZEP	1	15	535299	חֹ֙שֶׁךְ֙	H2822	of darkness	
ZEP	1	15	535300	וַאֲפֵלָ֔ה	H653	and gloom	,
ZEP	1	15	535301	י֥וֹם	H3117	a day	
ZEP	1	15	535302	עָנָ֖ן	H6051	of clouds	
ZEP	1	15	535303	וַעֲרָפֶֽל׃	H6205	and blackness	,
ZEP	1	16	535314	י֥וֹם	H3117	a day	
ZEP	1	16	535315	שׁוֹפָ֖ר	H7782	of horn [blast]	
ZEP	1	16	535316	וּתְרוּעָ֑ה	H8643	and battle cry	
ZEP	1	16	535317	עַ֚ל	H5921	against	
ZEP	1	16	535319	הַבְּצֻר֔וֹת	H1219	the fortified	
ZEP	1	16	535318	הֶעָרִ֣ים	H5892	cities	,
ZEP	1	16	535320	וְעַ֖ל	H5921	and against	
ZEP	1	16	535322	הַגְּבֹהֽוֹת׃	H1364	the high	
ZEP	1	16	535321	הַפִּנּ֥וֹת	H6438	corner towers	.
ZEP	1	17	535333	וַהֲצֵרֹ֣תִי	H6887	I will bring such distress	
ZEP	1	17	535334	לָאָדָ֗ם	H120	on mankind	
ZEP	1	17	535335	וְהָֽלְכוּ֙	H1980	that they will walk	
ZEP	1	17	535336	כַּֽעִוְרִ֔ים	H5787	like the blind	,
ZEP	1	17	535337	כִּ֥י	H3588	because	
ZEP	1	17	535339	חָטָ֑אוּ	H2398	they have sinned	
ZEP	1	17	535338	לַֽיהוָ֖ה	H3068	against the LORD	.
ZEP	1	17	535341	דָּמָם֙	H1818	Their blood	
ZEP	1	17	535340	וְשֻׁפַּ֤ךְ	H8210	will be poured out	
ZEP	1	17	535342	כֶּֽעָפָ֔ר	H6083	like dust	
ZEP	1	17	535343	וּלְחֻמָ֖ם	H3894	and their flesh	
ZEP	1	17	535344	כַּגְּלָלִֽים׃	H1557	like dung	.
ZEP	1	18	535356	כַּסְפָּ֨ם	H3701	[Neither] their silver	
ZEP	1	18	535357	גַּם־	H1571	. . .	
ZEP	1	18	535355	גַּם־	H1571	nor	
ZEP	1	18	535358	זְהָבָ֜ם	H2091	their gold	
ZEP	1	18	535359	לֹֽא־	H3808	-	
ZEP	1	18	535360	יוּכַ֣ל	H3201	will be able	
ZEP	1	18	535361	לְהַצִּילָ֗ם	H5337	to deliver them	
ZEP	1	18	535362	בְּיוֹם֙	H3117	on the Day	
ZEP	1	18	535364	יְהוָ֔ה	H3068	of the LORD’s	
ZEP	1	18	535363	עֶבְרַ֣ת	H5678	wrath	.
ZEP	1	18	535368	כָּל־	H3605	The whole	
ZEP	1	18	535369	הָאָ֑רֶץ	H776	earth	
ZEP	1	18	535367	תֵּאָכֵ֖ל	H398	will be consumed	
ZEP	1	18	535365	וּבְאֵשׁ֙	H784	by the fire	
ZEP	1	18	535366	קִנְאָת֔וֹ	H7068	of His jealousy	.
ZEP	1	18	535370	כִּֽי־	H3588	For	
ZEP	1	18	535372	אַךְ־	H389	indeed	,
ZEP	1	18	535374	יַֽעֲשֶׂ֔ה	H6213	He will make	
